MissionInfoId,TaskName,TaskDescription
1101,装備をレベルアップ,装備レベルアップ材料を{0}個使おう（{1} / {2}）
1102,強化を試す,装備強化を{0}回試そう（{1} / {2}）
1103,特性強化を試す,特性強化を{0}回試そう（{1} / {2}）
1104,ソウルストーン獲得,HNランク以上ソウルストーンを{0}個獲得しよう（{1} / {2}）
1105,装備獲得,HNランク以上装備アイテムを{0}個獲得しよう（{1} / {2}）
1106,魔物討伐,レア召喚石モンスターを{0}体倒そう（{1} / {2}）
1201,装備をレベルアップ,装備レベルアップ材料を{0}個使おう（{1} / {2}）
1202,強化を試す,装備強化を{0}回試そう（{1} / {2}）
1203,特性強化を試す,特性強化を{0}回試そう（{1} / {2}）
1204,ソウルストーン獲得,HNランク以上ソウルストーンを{0}個獲得しよう（{1} / {2}）
1205,装備獲得,HNランク以上装備アイテムを{0}個獲得しよう（{1} / {2}）
1206,魔物討伐,レア召喚石モンスターを{0}体倒そう（{1} / {2}）
1301,装備をレベルアップ,装備レベルアップ材料を{0}個使おう（{1} / {2}）
1302,強化を試す,装備強化を{0}回試そう（{1} / {2}）
1303,特性強化を試す,特性強化を{0}回試そう（{1} / {2}）
1304,ソウルストーン獲得,HNランク以上ソウルストーンを{0}個獲得しよう（{1} / {2}）
1305,装備獲得,Rランク以上装備アイテムを{0}個獲得しよう（{1} / {2}）
1306,魔物討伐,レア召喚石モンスターを{0}体倒そう（{1} / {2}）
1401,装備をレベルアップ,装備レベルアップ材料を{0}個使おう（{1} / {2}）
1402,強化を試す,装備強化を{0}回試そう（{1} / {2}）
1403,特性強化を試す,特性強化を{0}回試そう（{1} / {2}）
1404,ソウルストーン獲得,HNランク以上ソウルストーンを{0}個獲得しよう（{1} / {2}）
1405,装備獲得,Rランク以上装備アイテムを{0}個獲得しよう（{1} / {2}）
1406,魔物討伐,レア召喚石モンスターを{0}体倒そう（{1} / {2}）
1501,装備をレベルアップ,装備レベルアップ材料を{0}個使おう（{1} / {2}）
1502,強化を試す,装備強化を{0}回試そう（{1} / {2}）
1503,特性強化を試す,特性強化を{0}回試そう（{1} / {2}）
1504,ソウルストーン獲得,HNランク以上ソウルストーンを{0}個獲得しよう（{1} / {2}）
1505,装備獲得,HRランク以上装備アイテムを{0}個獲得しよう（{1} / {2}）
1506,魔物討伐,レア召喚石モンスターを{0}体倒そう（{1} / {2}）
1601,装備をレベルアップ,装備レベルアップ材料を{0}個使おう（{1} / {2}）
1602,強化を試す,装備強化を{0}回試そう（{1} / {2}）
1603,特性強化を試す,特性強化を{0}回試そう（{1} / {2}）
1604,ソウルストーン獲得,Rランク以上ソウルストーンを{0}個獲得しよう（{1} / {2}）
1605,装備獲得,HRランク以上装備アイテムを{0}個獲得しよう（{1} / {2}）
1606,魔物討伐,レア召喚石モンスターを{0}体倒そう（{1} / {2}）
