Id,Name,Description,Unit
1001,戦闘力,戦闘力ランキング,戦闘力
1,レベル,キャラクターレベルランキング,レベル
2,物理攻撃力,最大物理攻撃力ランキング,物理攻撃力
3,物理防御力,最大物理防御力ランキング,物理防御力
4,魔法攻撃力,最大魔法攻撃力ランキング,魔法攻撃力
5,魔法防御力,最大魔法防御力ランキング,魔法防御力
6,HP,最大HPランキング,HP
7,ルーン刻印,ルーン刻印成功回数のランキング,回数
8,エリクサー,エリクサー利用ランキング,個数
9,モンスター図鑑,モンスター図鑑完成ランキング,完成した数
10,総合レベル,サーバーにいる自キャラの総合レベルランキング,レベル
12,名誉ポイント,決闘場の累積名誉ポイントランキング,ポイント
13,累積回数,決闘場の累積利用数ランキング,回数
14,累積勝利数,決闘場の累積勝利数ランキング,勝利数
15,連勝数,決闘場の連勝数ランキング,回数
18,週間貢献度,週間血盟貢献度の個人ランキング,貢献度
19,累積貢献度,累積血盟貢献度の個人ランキング,貢献度
22,英雄の功績,英雄の功績ポイントランキング,ポイント
27,ログイン,累積ログイン日数ランキング,日数
28,最高取引額,最高取引額ランキング,取引値
29,取引回数,取引回数ランキング,回数
30,強化回数,強化回数ランキング,回数
31,強化セット,強化セットランキング,適用数
32,合成回数,合成回数ランキング,回数
33,ランクアップ回数,ランクアップ回数ランキング,回数
34,超越回数,超越回数ランキング,回数
35,傲慢の塔,傲慢の塔の到達階数ランキング,階数
48,血盟の名声,血盟名声ランキング,ポイント
49,血盟の戦闘力,血盟戦闘力ランキング,戦闘力
4000,キャンディステノア召喚石ダンジョン,キャンディステノアに与えたダメージ,ダメージ
