ID,Name,Desc,RaceName,RaceDesc
1,残酷な警備隊長：ボランタ,"小さい頃、人間によって家族を失った彼は
オークにとっては力がすべてであると信じるようになった。

ある日<RedBold>ラモグ</>という謎のオークが
想像を絶する力で
新しい<RedBold>ティマックオークの族長</>になったことをきっかけに
彼に憧れ、全力を尽くして彼を支えるようになった。

いつか自分も<RedBold>ラモグ</>のようなオークになる。
それだけが目標であった。
彼はその目標のために<RedBold>ティマックオーク呪術師の村</>へ
滅亡をもたらした。",魔物,ボランタはラモグからネビュライトの欠片の力を授かり、火が操れる魔法の身体を手に入れた。
2,狂気のオーク：ラモグ,"偶然ネビュライトの欠片が心臓に刺さり
生と死の境を何度も乗り越えた末、
<RedBold>謎の影</>によって助けられた。

そして目が覚めると前とは全く違う
強く、驚異的な力を手に入れたことに気づいた。
彼は自らを戦士<RedBold>ラモグ</>と呼び、
邪魔になる者は一瞬の迷いもなく倒し続け
やがて<RedBold>ティマックオークの族長</>になった。

力を追い求める彼は、オークの神<RedBold>パアグリオ</>の
力を手に入れようとした。そして<RedBold>パアグリオ祭壇</>がある
<RedBold>ティマックオーク呪術師の村</>を侵攻した。
彼に歯向かった呪術師は一人残らず殺され、
<RedBold>パアグリオの力</>を手に入れるための儀式は
最終段階へと近づいた。",魔物,ネビュライトの欠片が心臓に刺さったラモグは、オーク史上最強の魔法の力を手に入れた。
3,残酷な警備隊長：ボランタ,"小さい頃、人間によって家族を失った彼は
オークにとっては力がすべてであると信じるようになった。

ある日<RedBold>ラモグ</>という謎のオークが
想像を絶する力で
新しい<RedBold>ティマックオークの族長</>になったことをきっかけに
彼に憧れ、全力を尽くして彼を支えるようになった。

いつか自分も<RedBold>ラモグ</>のようなオークになる。
それだけが目標であった。
彼はその目標のために<RedBold>ティマックオーク呪術師の村</>へ
滅亡をもたらした。",魔物,ボランタはラモグからネビュライトの欠片の力を授かり、火が操れる魔法の身体を手に入れた。
4,狂気のオーク：ラモグ,"偶然ネビュライトの欠片が心臓に刺さり
生と死の境を何度も乗り越えた末、
<RedBold>謎の影</>によって助けられた。

そして目が覚めると前とは全く違う
強く、驚異的な力を手に入れたことに気づいた。
彼は自らを戦士<RedBold>ラモグ</>と呼び、
邪魔になる者は一瞬の迷いもなく倒し続け
やがて<RedBold>ティマックオークの族長</>になった。

力を追い求める彼は、オークの神<RedBold>パアグリオ</>の
力を手に入れようとした。そして<RedBold>パアグリオ祭壇</>がある
<RedBold>ティマックオーク呪術師の村</>を侵攻した。
彼に歯向かった呪術師は一人残らず殺され、
<RedBold>パアグリオの力</>を手に入れるための儀式は
最終段階へと近づいた。",魔物,ネビュライトの欠片が心臓に刺さったラモグは、オーク史上最強の魔法の力を手に入れた。
5,残酷な警備隊長：ボランタ,"小さい頃、人間によって家族を失った彼は
オークにとっては力がすべてであると信じるようになった。

ある日<RedBold>ラモグ</>という謎のオークが
想像を絶する力で
新しい<RedBold>ティマックオークの族長</>になったことをきっかけに
彼に憧れ、全力を尽くして彼を支えるようになった。

いつか自分も<RedBold>ラモグ</>のようなオークになる。
それだけが目標であった。
彼はその目標のために<RedBold>ティマックオーク呪術師の村</>へ
滅亡をもたらした。",魔物,ボランタはラモグからネビュライトの欠片の力を授かり、火が操れる魔法の身体を手に入れた。
6,狂気のオーク：ラモグ,"偶然ネビュライトの欠片が心臓に刺さり
生と死の境を何度も乗り越えた末、
<RedBold>謎の影</>によって助けられた。

そして目が覚めると前とは全く違う
強く、驚異的な力を手に入れたことに気づいた。
彼は自らを戦士<RedBold>ラモグ</>と呼び、
邪魔になる者は一瞬の迷いもなく倒し続け
やがて<RedBold>ティマックオークの族長</>になった。

力を追い求める彼は、オークの神<RedBold>パアグリオ</>の
力を手に入れようとした。そして<RedBold>パアグリオ祭壇</>がある
<RedBold>ティマックオーク呪術師の村</>を侵攻した。
彼に歯向かった呪術師は一人残らず殺され、
<RedBold>パアグリオの力</>を手に入れるための儀式は
最終段階へと近づいた。",魔物,ネビュライトの欠片が心臓に刺さったラモグは、オーク史上最強の魔法の力を手に入れた。
7,残酷な警備隊長：ボランタ,"小さい頃、人間によって家族を失った彼は
オークにとっては力がすべてであると信じるようになった。

ある日<RedBold>ラモグ</>という謎のオークが
想像を絶する力で
新しい<RedBold>ティマックオークの族長</>になったことをきっかけに
彼に憧れ、全力を尽くして彼を支えるようになった。

いつか自分も<RedBold>ラモグ</>のようなオークになる。
それだけが目標であった。
彼はその目標のために<RedBold>ティマックオーク呪術師の村</>へ
滅亡をもたらした。",魔物,ボランタはラモグからネビュライトの欠片の力を授かり、火が操れる魔法の身体を手に入れた。
8,狂気のオーク：ラモグ,"偶然ネビュライトの欠片が心臓に刺さり
生と死の境を何度も乗り越えた末、
<RedBold>謎の影</>によって助けられた。

そして目が覚めると前とは全く違う
強く、驚異的な力を手に入れたことに気づいた。
彼は自らを戦士<RedBold>ラモグ</>と呼び、
邪魔になる者は一瞬の迷いもなく倒し続け
やがて<RedBold>ティマックオークの族長</>になった。

力を追い求める彼は、オークの神<RedBold>パアグリオ</>の
力を手に入れようとした。そして<RedBold>パアグリオ祭壇</>がある
<RedBold>ティマックオーク呪術師の村</>を侵攻した。
彼に歯向かった呪術師は一人残らず殺され、
<RedBold>パアグリオの力</>を手に入れるための儀式は
最終段階へと近づいた。",魔物,ネビュライトの欠片が心臓に刺さったラモグは、オーク史上最強の魔法の力を手に入れた。
9,守護騎士：レオナード,"彼は<RedBold>血の女伯爵、トリシャ</>に仕える<RedBold>守護騎士</>だった。
彼の愚直な性格こそが
<RedBold>トリシャ</>が間違った道を選んだときも
彼女だけを守ること選んだ原因となった。
彼は、彼女の選択こそが自分の行くべき道と信じていた。",魔物,魔法によって強制変異させられたレオナードは普通の吸血鬼と違って身体に魔法の力を宿すことになった。
10,血の女伯爵：トリシャ,"<RedBold>トリシャ</>はギランの貴族として生まれた。
退屈な日々に飽きていた彼女は
禁断の恋に落ちてしまい、
その恋のためにすべてを捨て、運命に逆らった。",魔物,下巨人の力によって変異されたトリシャは普通の吸血鬼と違って身体に魔法の力を宿すことになった。
11,守護騎士：レオナード,"彼は<RedBold>血の女伯爵、トリシャ</>に仕える<RedBold>守護騎士</>だった。
彼の愚直な性格こそが
<RedBold>トリシャ</>が間違った道を選んだときも
彼女だけを守ること選んだ原因となった。
彼は、彼女の選択こそが自分の行くべき道と信じていた。",魔物,魔法によって強制変異させられたレオナードは普通の吸血鬼と違って身体に魔法の力を宿すことになった。
12,血の女伯爵：トリシャ,"<RedBold>トリシャ</>はギランの貴族として生まれた。
退屈な日々に飽きていた彼女は
禁断の恋に落ちてしまい、
その恋のためにすべてを捨て、運命に逆らった。",魔物,下巨人の力によって変異されたトリシャは普通の吸血鬼と違って身体に魔法の力を宿すことになった。
13,守護騎士：レオナード,"彼は<RedBold>血の女伯爵、トリシャ</>に仕える<RedBold>守護騎士</>だった。
彼の愚直な性格こそが
<RedBold>トリシャ</>が間違った道を選んだときも
彼女だけを守ること選んだ原因となった。
彼は、彼女の選択こそが自分の行くべき道と信じていた。",魔物,魔法によって強制変異させられたレオナードは普通の吸血鬼と違って身体に魔法の力を宿すことになった。
14,血の女伯爵：トリシャ,"<RedBold>トリシャ</>はギランの貴族として生まれた。
退屈な日々に飽きていた彼女は
禁断の恋に落ちてしまい、
その恋のためにすべてを捨て、運命に逆らった。",魔物,下巨人の力によって変異されたトリシャは普通の吸血鬼と違って身体に魔法の力を宿すことになった。
15,守護騎士：レオナード,"彼は<RedBold>血の女伯爵、トリシャ</>に仕える<RedBold>守護騎士</>だった。
彼の愚直な性格こそが
<RedBold>トリシャ</>が間違った道を選んだときも
彼女だけを守ること選んだ原因となった。
彼は、彼女の選択こそが自分の行くべき道と信じていた。",魔物,魔法によって強制変異させられたレオナードは普通の吸血鬼と違って身体に魔法の力を宿すことになった。
16,血の女伯爵：トリシャ,"<RedBold>トリシャ</>はギランの貴族として生まれた。
退屈な日々に飽きていた彼女は
禁断の恋に落ちてしまい、
その恋のためにすべてを捨て、運命に逆らった。",魔物,下巨人の力によって変異されたトリシャは普通の吸血鬼と違って身体に魔法の力を宿すことになった。
17,試練の女神：ディケ,"<RedBold>ディケ</>はグランカインがマーブルの力を借りて創造した生きた下巨人の石像です。

彼女は創造主であるグランカインの命を受け、神殿に足を踏みれる資格のない者達を審判を下します。",魔物,グランカインによって創られたディケは他の被造物とは異なり、生命体というよりもむしろ魔法の被造物に近い存在です。
