Id,Name,Desc,DialogNpcName,Dialog
1111,1. 忍耐の証明,モンスター{TaskCount}体討伐,,
1112,2. 1日のまとめ,EASY曜日ダンジョンクリア,アイメル,"あら！もうモンスターを50体も倒したの！？
すごいじゃない！<p>次のテストはEASY難易度の曜日ダンジョンをクリアすることよ！聖域にいるボスはとても強いらしいわ。<p>真の戦士だけが、それを倒すことができるの。
さあ！早速君の腕前を見せてちょうだい！"
1113,3. 準備の姿勢,Nランクのアイテムを{TaskCount}個獲得,アイメル,やるじゃない！こんなにも早く聖域のボスを倒したのは君が初めてだ。本当にすばらしい。<p>次のテストは…Nランクのアイテムを集めることよ。<p>Nランクのアイテムは、装備のレベルアップに必要よ！かなり役立つわ！それじゃあ頑張ってね！
1114,4. 万人の認定,決闘場で{TaskCount}勝達成,アイメル,"どう？Nランクのアイテムで
装備をレベルアップした感想は。<p>レベルアップしたなら実戦で試さないとね！<p>今回はモンスターではなく、対人戦よ。<p>銀の傭兵団の団員なんだから最低限の実力は見せてくれないと困るのよ。<p>では、まず1回参加してきて。それなら簡単でしょう？<p>弱音を吐くな、わたしが入団した時は100回だったのよ？ほら、早く行って来て！"
1115,5. 資格証明,{TaskCount}アデナ獲得,アイメル,おおー！もう決闘場に1回参加して来たの？<p>では次は1万アデナを手に入れること。<p>狩りの実力や財政管理能力を試されるというところね！大事な場面でお金がなくなったら命を失うこともあるのよ。<p>さあ、さっさと行くのよ！
1116,6. 限界突破,装備強化に{TaskCount}回成功,アイメル,"それじゃあ、次のテストに進みましょう。<p>次のテストは君の装備を強化すること。<p>傭兵にとって装備は命のようなものよ。
戦場で生き残るには装備の強化をしっかりしないと！<p>それじゃあ早速、装備の強化を1回成功させてみて！"
1117,7. 認定,ボーンコレクターキリオスを{TaskCount}回討伐,アイメル,わー！もう最終テストなのね！おめでとう！やっぱ上から期待されている人材は他の子たちとは違うわね。<p>そんな優秀な人材にはキリオス討伐に参加してもらうことにしたの。これが最終テストよ。キリオスは、人間を手あたり次第その手にかけている悪魔よ。<p>あまりにも危険で傭兵団ですら下手に手を出せなくて、優秀な団員にだけ与えられる特殊な任務なの。<p>君の参加は上が決めたんだけど、こんなこと初めてよ！もちろん、あなたの実力を認めてるってことでしょうけど。<p>大変だろうけど、必ず討伐を成功させてね！幸運を祈ってるから！<p>できれば一人じゃなく、仲間を集めて行った方がいいと思うわ！
1121,1. 忍耐の証明,モンスター{TaskCount}体討伐,,
1122,2. 1日のまとめ,EASY曜日ダンジョンクリア,アイメル,"あら！もうモンスターを50体も倒したの！？
すごいじゃない！<p>次のテストはEASY難易度の曜日ダンジョンをクリアすることよ！聖域にいるボスはとても強いらしいわ。<p>真の戦士だけが、それを倒すことができるの。
さあ！早速君の腕前を見せてちょうだい！"
1123,3. 準備の姿勢,Nランクアイテムを{TaskCount}個獲得,アイメル,やるじゃない！こんなにも早く聖域のボスを倒したのは君が初めてだ。本当にすばらしい。<p>次のテストは…Nランクのアイテムを集めることよ。<p>Nランクのアイテムは、装備のレベルアップに必要よ！かなり役立つわ！それじゃあ頑張ってね！
1124,4. 万人の認定,決闘場で{TaskCount}勝達成,アイメル,"どう？Nランクのアイテムで
装備をレベルアップした感想は。<p>レベルアップしたなら実戦で試さないとね！<p>今回はモンスターではなく、対人戦よ。<p>銀の傭兵団の団員なんだから最低限の実力は見せてくれないと困るのよ。<p>では、まず1回参加してきて。それなら簡単でしょう？<p>弱音を吐くな、わたしが入団した時は100回だったのよ？ほら、早く行って来て！"
1125,5. 資格証明,{TaskCount}アデナ獲得,アイメル,おおー！もう決闘場に1回参加して来たの？<p>では次は1万アデナを手に入れること。<p>狩りの実力や財政管理能力を試されるというところね！大事な場面でお金がなくなったら命を失うこともあるのよ。<p>さあ、さっさと行くのよ！
1126,6. 限界突破,装備強化に{TaskCount}回成功,アイメル,"それじゃあ、次のテストに進みましょう。<p>次のテストは君の装備を強化すること。<p>傭兵にとって装備は命のようなものよ。
戦場で生き残るには装備の強化をしっかりしないと！<p>それじゃあ早速、装備の強化を1回成功させてみて！"
1127,7. 認定,ボーンコレクターキリオスを{TaskCount}回討伐,アイメル,わー！もう最終テストなのね！おめでとう！やっぱ上から期待されている人材は他の子たちとは違うわね。<p>そんな優秀な人材にはキリオス討伐に参加してもらうことにしたの。これが最終テストよ。キリオスは、人間を手あたり次第その手にかけている悪魔よ。<p>あまりにも危険で傭兵団ですら下手に手を出せなくて、優秀な団員にだけ与えられる特殊な任務なの。<p>君の参加は上が決めたんだけど、こんなこと初めてよ！もちろん、あなたの実力を認めてるってことでしょうけど。<p>大変だろうけど、必ず討伐を成功させてね！幸運を祈ってるから！<p>できれば一人じゃなく、仲間を集めて行った方がいいと思うわ！
1131,1. 忍耐の証明,モンスター{TaskCount}体討伐,,
