���ed,GipText
1,装備には全部で6つのランクがあります。ランクが上がれば戦闘力が上昇します（画像：N-HN-R-HR-SR-UR）
2,一般装備召喚ボックスは1日3回、プレミアム装備召喚ボックスは1日1回無料で開けられます
3,自動戦闘で楽に戦うことができます
4,マップをタッチすると目的地まで移動できます
5,マップでNPCやモンスターの居場所をタッチするとその場所まで移動します
6,オプション>戦闘タブでポーションの使用頻度を設定できます
7,装備した武器に応じてスキルを自由に設定できます
8,レアスキルを持っている場合はスキルスロット数が最大5個まで増えます
9,装備合成では対象となる装備の種類と職業がすべて継承されます
10,レベル31になれば転職クエストを通じて転職できます
11,ルーン刻印を通じて能力値を上げられます
12,ルーン刻印はページの順番と関係なく行うことができます
13,周囲のルーンを同じレベルにすれば中央のメインルーンのレベルが上がります
14,キャラクターを多く持つほど、ボーナス能力が得られます
15,ソウルストーンのスロットにはスロットと同じ色のソウルストーンしか装備できません。
16,アイテムのランクに応じて装備可能なスロット数が増えます
17,モンスター図鑑を製作すればキャラクターの様々な能力値が上昇します
18,無料入場を使い切ってもダイヤを使って追加入場できます
19,決闘場で名誉ランクを上げれば追加能力値が得られます
20,決闘場ではデイリー名誉ポイント報酬とウィークリーランキング報酬がもらえます
21,採集ダンジョンに現れるラーテルロバストを倒すと祝福を受けて採集速度が速くなります
22,採集中に現れるマンドラゴラを倒すとエリクサーエッセンスが手に入ります
23,採集した薬草とエッセンスで作ったエリクサーを使うと能力値が永久的に上昇します
24,傲慢の塔の上に登るほど、より多くのルーンの欠片を掃討報酬としてもらえます
25,5階ごとに特別な報酬がもらえます
26,傲慢の塔は1日3回失敗すると挑戦出来なくなります
27,エリートダンジョンのフィーバータイム中に経験値4倍+ドロップ率6倍が適用されます
28,エリートダンジョンはPKペナルティが適用されるPVP可能エリアのため、注意してください
31,フィールドボスを倒すと特別な報酬がもらえます
32,血盟コインは血盟寄付や血盟員挨拶などで獲得できます。
33,血盟コインを集めて血盟強化効果を購入できます。
34,メインクエスト以外にも様々なミッションを遂行できます
40,装備中のアイテムをすべて+8以上にすると強化セット効果が発動します
41,フィールドボスを倒すとレアスキルブックと高級装備を獲得できます
51,使用しないコラムです。
52,使用しないコラムです。
53,使用しないコラムです。
54,使用しないコラムです。
55,使用しないコラムです。
56,使用しないコラムです。
57,使用しないコラムです。
58,所属していない血盟のアジトにも入場できます。
59,結束のクリスタルを成長させると全血盟員が様々な強化効果を受けられます。
67,個人用/血盟用ポージョンを製作すると強力な強化効果を体験できます。
68,アジトで遺物を鑑定すると様々なアイテムを獲得できます。
69,アジトに留まる人数が多いほど、暖炉の効果が増加します。
70,アジトのレベルが上がるほど、同盟の血盟が受ける暖炉の効果が増加します。
