Id,Description
1,<FontYellow>ノーマルモンスター</>への攻撃時に<FontYellow>[Param]</>の追加ダメージ
2,<FontYellow>エリートモンスター</>への攻撃時に<FontYellow>[Param]</>の追加ダメージ
3,<FontYellow>ボスモンスターへ</>の攻撃時に<FontYellow>[Param]</>の追加ダメージ
4,<FontYellow>プレイヤー</>への攻撃時に<FontYellow>[Param]</>の追加ダメージ
5,<FontYellow>ノーマルモンスター</>から受けるダメージが<FontYellow>[Param]</>減少
6,<FontYellow>エリートモンスター</>から受けるダメージが<FontYellow>[Param]</>減少
7,<FontYellow>ボスモンスター</>から受けるダメージが<FontYellow>[Param]</>減少
8,<FontYellow>プレイヤー</>から受けるダメージが<FontYellow>[Param]</>減少
9,<FontYellow>スタン抵抗率</>が<FontYellow>[Param]</>増加
10,<FontYellow>魔法防御力</>が<FontYellow>[Param]</>増加
11,<FontYellow>スロー抵抗率</>が<FontYellow>[Param]</>増加
12,<FontYellow>クリティカル抵抗率</>が<FontYellow>[Param]</>増加
13,<FontYellow>移動速度</>が<FontYellow>[Param]</>増加
14,<FontYellow>コンボ持続時間</>が<FontYellow>[Param]</>増加
15,<FontYellow>攻撃型通常スキル</>の使用時に<FontYellow>[Param]</>追加ダメージ
16,<FontYellow>魔物</>への攻撃で<FontYellow>[Param]</>追加ダメージ
17,<FontYellow>魔物</>への攻撃時にコア獲得率が<FontYellow>[Param]</>増加
18,<FontYellow>魔物</>から受けるダメージが<FontYellow>[Param]</>減少
19,<FontYellow>魔物</>への攻撃時にコア獲得率が<FontYellow>[Param]</>増加
101,<FontYellow>ノーマルモンスター</>への攻撃時に<FontYellow>[Param]</>の追加ダメージ
102,<FontYellow>ノーマルモンスター</>への攻撃時に<FontYellow>[Param]</>の追加ダメージ
103,<FontYellow>ノーマルモンスター</>への攻撃時に<FontYellow>[Param]</>の追加ダメージ
104,<FontYellow>ボスモンスターへ</>の攻撃時に<FontYellow>[Param]</>の追加ダメージ
105,<FontYellow>ボスモンスターへ</>の攻撃時に<FontYellow>[Param]</>の追加ダメージ
106,<FontYellow>ボスモンスターへ</>の攻撃時に<FontYellow>[Param]</>の追加ダメージ
