Id,Name,Description
1001,聖物の刻印時間増加,聖物の刻印にかかる時間が1秒増えます。
1002,聖物の刻印時間増加,聖物の刻印にかかる時間が2秒増えます。
1003,聖物の刻印時間増加,聖物の刻印にかかる時間が3秒増えます。
1004,聖物の刻印時間増加,聖物の刻印にかかる時間が4秒増えます。
1005,聖物の刻印時間増加,聖物の刻印にかかる時間が5秒増えます。
2001,防御塔のHP増加,防御塔のHPが10000増加します。
2002,防御塔のHP増加,防御塔のHPが20000増加します。
2003,防御塔のHP増加,防御塔のHPが30000増加します。
2004,防御塔のHP増加,防御塔のHPが40000増加します。
2005,防御塔のHP増加,防御塔のHPが50000増加します。
3001,トラップの攻撃力増加,"トラップの攻撃力が1%増加します。
トラップは敵の最大HPに割合ダメージを与えます。"
3002,トラップの攻撃力増加,"トラップの攻撃力が2%増加します。
トラップは敵の最大HPに割合ダメージを与えます。"
3003,トラップの攻撃力増加,"トラップの攻撃力が3%増加します。
トラップは敵の最大HPに割合ダメージを与えます。"
3004,トラップの攻撃力増加,"トラップの攻撃力が4%増加します。
トラップは敵の最大HPに割合ダメージを与えます。"
3005,トラップの攻撃力増加,"トラップの攻撃力が5%増加します。
トラップは敵の最大HPに割合ダメージを与えます。"
