EnchantLevel,Name
8,強化セット効果 + {EnchantLevel}
9,強化セット効果 + {EnchantLevel}
10,強化セット効果 + {EnchantLevel}
11,強化セット効果 + {EnchantLevel}
12,強化セット効果 + {EnchantLevel}
13,強化セット効果 + {EnchantLevel}
14,強化セット効果 + {EnchantLevel}
15,強化セット効果 + {EnchantLevel}
16,強化セット効果 + {EnchantLevel}
17,強化セット効果 + {EnchantLevel}
18,強化セット効果 + {EnchantLevel}
19,強化セット効果 + {EnchantLevel}
20,強化セット効果 + {EnchantLevel}
21,強化セット効果 + {EnchantLevel}
22,強化セット効果 + {EnchantLevel}
23,強化セット効果 + {EnchantLevel}
24,強化セット効果 + {EnchantLevel}
25,強化セット効果 + {EnchantLevel}
26,強化セット効果 + {EnchantLevel}
27,強化セット効果 + {EnchantLevel}
28,強化セット効果 + {EnchantLevel}
29,強化セット効果 + {EnchantLevel}
30,強化セット効果 + {EnchantLevel}
