Id,Name,ControlText
20000101,エルフの遺跡1階の宝箱,鍵を開けています
20100101,エルフの遺跡2階の宝箱,鍵を開けています
20200101,アリの巣1階の宝箱,鍵を開けています
20300101,アリの巣2階の宝箱,鍵を開けています
20400101,クルマ2階の宝箱,鍵を開けています
20500101,クルマ3階の宝箱,鍵を開けています
20600101,象牙の塔地下1階の宝箱,鍵を開けています
20700101,象牙の塔地下2階の宝箱,鍵を開けています
20800101,象牙の塔地下3階の宝箱,鍵を開けています
9000101,話せる島東部イベントボックス,鍵を開けています
9000201,話せる島西部イベントボックス,鍵を開けています
9000301,グルーディン街道イベントボックス,鍵を開けています
9000401,グルーディオ平原イベントボックス,鍵を開けています
9000501,ウィンダウッド荘園イベントボックス,鍵を開けています
9000601,荒地イベントボックス,鍵を開けています
9000701,ディオン牧草地イベントボックス,鍵を開けています
9000801,クルマ湿地イベントボックス,鍵を開けています
9000901,闘争の峰イベントボックス,鍵を開けています
9001001,絶叫の地イベントボックス,鍵を開けています
9001101,ギラン自治領イベントボックス,鍵を開けています
9001201,死霧の海岸イベントボックス,鍵を開けています
9001301,悪魔の島イベントボックス,鍵を開けています
9001401,死の沿道イベントボックス,鍵を開けています
1202,エルフの遺跡2階,
1203,エルフの遺跡2階,
1204,エルフの遺跡2階,
1205,エルフの遺跡2階,
1206,アリの巣地下2階,
1207,象牙の塔地下1階のナビゲーション,
1208,象牙の塔地下3階のナビゲーション,
1209,象牙の塔地下1階反対側の障害物,
1210,象牙の塔地下3階反対側の障害物,
1211,秘密の森上層のナビゲーション,
1212,秘密の森下層のナビゲーションⅠ,
1958,聖域の壁,
1959,聖域の壁,
1960,聖域の壁,
1961,聖域の壁,
1962,聖域の壁,
1963,聖域の壁,
1964,聖域の壁,
1965,聖域の壁,
1970,聖域の壁,
1971,聖域の壁,
1982,聖域の壁,
2014,聖域の壁,
2015,聖域の壁,
2016,聖域の壁,
2017,聖域の壁,
2021,聖域の壁,
2022,聖域の壁,
2023,聖域の壁,
2027,聖域の壁,
2029,聖域の壁,
2038,赤色の薬草,赤色の薬草を採集しています
2039,青色の薬草,青色の薬草を採集しています
