���Xf7)oTaskName,QuestNpcName,QuestNpcDialog,QuestNpcName2,QuestNpcDialog2
旅のはじまり,傭兵隊長を訪ねる,港管理人プシュケー,"ここは冒険家として実力をつけるのに相応しい場所です。
<p>まずは小さなことから始めて、徐々に慣れていくといい
でしょう。
<p>傭兵隊長ダグラスに頼めば仕事をもらえます。港の入り口にいますから行ってみるといいですよ。",,
実力の証明,黒狼を倒す,傭兵隊長ダグラス,"ようこそ！歓迎するぞ！
<P>仕事ならいくらでもあるが、その前に君の腕前を試させてもらうぞ。
<p>手始めにこの周辺にいる狼を倒してくれないか？",,
立派な仕事,ヒグマを倒す,傭兵隊長ダグラス,"こんなに仕事が速い冒険家は初めてだ！なかなかやるじゃないか。
<p>それじゃあ、早速仕事に取り掛かってもらおうか。
狼を狩る時、近くにヒグマもいたはずだ。
港と村を行き来する商人たちが酷く困っていてね。
<p>今度はヒグマを退治してくれないか？
もちろん今度はただ働きじゃない。
期待していいぞ！",傭兵隊長ダグラス,大変だ！港のほうからオークどもが攻撃してきた！
立派な仕事,傭兵隊長を訪ねる,,,,
立派な仕事,オークの襲撃,,,,
立派な仕事,オークの襲撃,,,,
緊急事態,警備隊長を訪ねる,傭兵隊長ダグラス,"私は部下たちと共に住民を守る。
君は急いで港へ向かってくれ。<p>港で警備隊長に私のことを話せば分かるはずだ。急な事態で訳がわからんかもしれないが、頼んだぞ！",,
オークの襲来,オーク戦士を倒す,警備隊長ヘラルド,"オークどもが船着場に集まっている！いきなり現れたんだ！
一体どうやってあの数を移動させたのか…
全く想像がつかない。
<p>とにかく今は船着場を守るんだ！一緒に戦ってくれ！",,
オークの襲来,オーク護衛を倒す,,,,
オークの襲来,オーク突撃隊長を探す,,,,
オークの襲来,オーク突撃隊長を探す,警備隊長ヘラルド,"何！？突撃隊長が消えた！？
<P>奴は港の入口に向かったようだ！急いでくれ！",,
オークの襲来,港入口へ向かう,,,,
オークの襲来,港から侵入するオークを倒す,,,,
オークの襲来,突撃隊長と護衛兵の侵入を阻止する,,,,
戦闘準備,自動装備を覚える,警備隊長ヘラルド,"ありがとう。君のおかげで危機を乗り越える事ができた。
まだ荒削りではあるが、将来が楽しみだな。
<P>礼として役に立つ装備の管理方法を教えてやろう。
<YellowBold>自動装備</>ってやつだ。",,
消息不明の発掘団,デリアと話す,警備隊長ヘラルド,"何度も頼むようですまないが…ちょっと手伝ってもらいたいことがあるんだ。なに、簡単なことさ。
<p>この付近で遺跡発掘団員が何人か姿を消したようなんだ。
<p>本来なら我々が解決すべき問題なのだが、いつまた港に
オークどもが襲ってくるか分からないものでな。
<p>君が引き受けてくれると助かるのだが。",デリア,"あなたは？
…あ！警備隊長からお伺いしております。
<p>来てくれてありがとうございます。"
手がかりを探そう,草原コウモリから発掘団員のカバンを奪う,デリア,"ご存知だと思いますが、私の仲間が行方不明なのです。
みんな研究に夢中になり過ぎて…。
<p>私も探しましたがここから遠くに移動した形跡はありませんでした。きっと近くにいるはずです。
<p>でも手がかりが見つからなくて…。
もしかすると魔物が仲間の手がかりを消し去ってしまったのかもしれません。
<p>まずは周辺に発掘団員の所持品がないか、探してもらえませんか？",デリア,コウモリがカバンを持ち去っていたのですね。みんなが作業していた場所からここまで移動したなら…。<p>目標地点はどうやらあっちのようですね。ありがとうございます、本当に助かりました。
人さらいの正体,人さらいオークを調べる,デリア,"やっぱりあのオークたちが怪しいですね。以前はここにはいなかったのに…。
<p>あのオークたちを調べてもらえませんか？何か情報がつかめるかも！",デリア,"やっぱりあいつらだったわ…。
ん？その鍵は…？オークが鍵を持っていたということは仲間たちはどこかに捕らわれているんでしょうか？"
発掘団救出,捕えられた発掘団を解放するⅠ,デリア,"あそこ！あそこに仲間たちがいるみたいです！
<p>早く助けないと…！私は念のため他の場所を探してみます！",鍛冶屋スミス,ふう…助かった！発掘団に届け物があって来たんだが、まさかこんな目に遭うとはな！
発掘団救出,捕えられた発掘団を解放するⅡ,,,,
発掘団救出,捕えられた発掘団を解放するⅢ,,,,
発掘団救出,鍛冶屋スミスについて行く,,,,
発掘団救出,鍛冶屋スミスと話す,,,,
鍛冶屋の好意,装備のレベルアップを覚える,鍛冶屋スミス,もう助からんと思ったよ！<P>どれどれ、何かお礼を…。<P>そうだ！装備の性能を上げる方法を教えてやろう。,,
鍛冶屋の好意,装備のレベルアップを覚える,,,,
デリアの呼び出し,デリアと話す,鍛冶屋スミス,それじゃあ俺様は村に戻るか。あっちで誰かがお前を呼んでるようだ、早く行ってやりな。じゃあ、またな！,,
近づく闇の気配,怪しい魔術師に近付く,デリア,"ありがとうございます！おかげでほとんどの仲間が見つかりました。<p>仲間たちを探している時、
犯人と思われる集団を見かけました！
<p>まだ捕えられている仲間を脅しているようでした…。
<p>私は警備隊を呼んできます。どうか残りの仲間もお助けください！",,
近づく闇の気配,怪しい魔術師登場,,,,
近づく闇の気配,怪しい魔術師に近付く,,,,
近づく闇の気配,魔術師が召喚した魔物を倒す,怪しい魔術師,"貴様の命の価値は私がオークどもに約束した報酬より遥かに安い。貴様ごときに時間を割いている暇はないのだ。
<p>だが、邪魔をするなら話は別だ。
恐怖に震えながら死ぬがいい！",,
近づく闇の気配,魔術師が召喚した魔物を倒す,,,,
近づく闇の気配,魔術師が召喚した魔物を倒す,,,,
近づく闇の気配,怪しい魔術師と話す,,,,
怪しい魔術師の逃亡,デリアに状況を知らせる,怪しい魔術師,"むう…なかなかやるな。しかし何の恨みがあって我らの
邪魔をするのだ？
<p>今日のところはこれぐらいにしてやろう。だが、中途半端な正義感で自分を破滅へ導かぬようにな…。",デリア,ちょうど警備隊が後片付けを終えたところです。<p>あなたのおかげで仲間たちを無事助け出せました！ありがとうございます！
考古学者フェルネル,発掘団長フェルネルを訪ねる,デリア,そうだ！団長があなたにお礼を言いたいそうです。ぜひ会っていってくださいね。,,
作業の妨げ,ウェアウルフを倒す,フェルネル,"うちの団員を救ってくれたのは君だね？心から感謝するよ。我々はこの場所でエルフの遺跡を発掘している。<p>これはとっても大事な作業で中断する訳にはいかないんだ。
<p>恥を忍んで頼みたいのだが、もう少し我々に付き合ってもらえないかね？もちろん謝礼は十分にしよう。
<p>何をすればいいかって？
君はとてもやる気に満ち溢れているな！
<p>君なら朝飯前だろう。発掘現場付近のウェアウルフを
追い払ってくれ。色々あったせいか団員たちが怯えてしまっていてね。",,
ソウルショットの威力,ソウルショットの使い方を覚える,フェルネル,"ありがとう！これで団員たちも安心だ！
さて、どうやってお礼をすればいいかな…。
<p>そうだな…
君は<YellowBold>ソウルショット</>というものを知っているか？
精霊の力で攻撃ができる代物だ。",,
ソウルショットの威力,ソウルショットの使い方を覚える,,,,
ソウルショットの威力,ソウルショットの使い方を覚える,フェルネル,"早速使ってみてはどうだね？
あそこにある入れ物の蓋を開けてみなさい。
<p>ウェアウルフの好物である肉が入っていた入れ物だ。
瞬く間に集まってくるだろう！
<YellowBold>ソウルショット</>を使う準備はできたね？",,
ソウルショットの威力,正体不明の樽の蓋を開ける,,,,
ソウルショットの威力,ソウルショットを試す,,,,
作業の妨げⅡ,吸血草原コウモリを倒す,フェルネル,"もうひとつだけ頼みを聞いてほしい。
ソウルショットの威力を改めて試すいい機会になるだろう。
<p>ここから少し行ったところに、ニアという私の助手がいるのだが、吸血コウモリのせいで発掘作業が滞っているらしい。
<p>そいつらを倒してくれないか？
できれば助手に気づかれないようにな…。",ニア,"ねえ、あなたが吸血コウモリを倒してくれたの？
<p>えっ？フェルネル団長に頼まれた？それなら、あたしの
山積みの仕事を片付けてくれた方が良かったのになあ。
<p>えっとあたしはフェルネル団長の娘なの。
あの人、ああ見えてすごい親ばかでね。"
ドルメンの欠片,ドルメンの欠片を集める,ニア,"んー邪魔なコウモリは減ったけど、逆にあたしの仕事が
増えたわね。これもパパの仕業かしら。
<p>もう！こうなった以上、あなたにも責任をとってもらおうかしら。
<p>悪いけど、今からこの付近のドルメンの欠片を集めてちょうだい。このエルフの指輪を使えば、どれがドルメンの欠片かわかるわ。",浄化の妖精,"ようこそ、信頼できる存在よ。あなたを待っていました。
私は浄化の妖精…結界を守る者。"
ドルメンの欠片,ドルメンの光の中に向かう,ニア,すごい！ドルメンの欠片を組み合わせたら、遺跡の中央から光が！信じられないっ！,,
ドルメンの欠片,結界解放,,,,
ドルメンの欠片,ドルメンの光の中に向かう,,,,
ドルメンの欠片,ドルメンの光の中に向かう,,,,
