Id,Value
1,[Param1]さんが血盟に参加しました。
2,[Param1]さんが血盟を退会しました。
3,[Param1]さんのランクが[Param2]になりました。
4,[Param1]さんが新しい血盟主に任命されました。
5,血盟レベルが[Param1]になりました。
6,[Param1]血盟と同盟を結びました。
7,[Param1]血盟との同盟関係が解除されました。
8,[Param1]さんが[Param2]さんを褒賞しました。
9,[Param1]さんがすべての血盟員を褒賞しました。
10,[Param1]をクリアしました。
11,[Param1]の入札額を更新してください。
12,[Param1]の入札が延長されました。
13,[Param1]血盟の攻城陣地が攻撃を受けています。
14,[Param1]血盟の攻城陣地が破壊されました。
15,攻城戦が始まると攻城祭チケットはすべてリセットされます。早めに商品券に応募してください。
16,[Time][Param1]さんがログインしました。
17,前の血盟主が長期未ログインのため、[Param1]さんが血盟主に任命されました。
18,次の聖域が[Param1]秒後に現れます。
19,[Param1]さんが[Param2]さんを倒しました。
20,ブルーチームが[Param1][Param1]を獲得しました。
21,レッドチームが[Param1][Param1]を獲得しました。
22,[Param1]さんが連続[Param2]キルを達成しました！
23,[Param1]血盟の[Param2]さんが連続で[Param3]人を倒しました！
