謹TnlQAalue
GuildWarehouseRecordSiegeWarReward,攻城戦報酬
GuildWarehouseRecordSiegeWarBidding,攻城戦入札
GuildWarehouseRecordCommission,徴税
GuildWarehouseRecordMarketBuy,ショップ購入
SystemMailName,システム
CastleSiegeFestivalCouponResetNotify,攻城祭チケットがリセットされます。
MailTitleCheat,チート
MailTitleTutorialReward,チュートリアル
MailTitleGuideQuestReward,傭兵隊の旅報酬
MailTitleShopGachaItem,ショップの召喚ボックスアイテム
MailTitleDungeonReward,ダンジョン報酬
MailTitlePvpHonorPointReward,決闘場名誉報酬
MailTitlePvpFirstRankReward,決闘場初ランク入り達成報酬
MailTitlePvpRankingReward,決闘場ランキング報酬
MailTitleCastleSiegeBegin,攻城戦開始
MailTitleCastleSiegeLoseReward,攻城戦敗北報酬
MailTitleCastleSiegeWinReward,攻城戦勝利報酬
MailTitleFortressSiegeLoseReward,要塞戦敗北報酬
MailTitleFortressSiegeWinReward,要塞戦勝利報酬
MailTitleAuctionHouseBuy,取引所購入
MailTitleAuctionHouseSellCompleted,取引所の販売代金
MailTitleAuctionHouseSellFailed,取引所売却失敗
MailTitleAuctionHouseSellingCancel,取引所売却キャンセル
MailTitleConnectDailyReward,プレイ時間報酬
MailTitleConnectWeeklyReward,週間ログイン報酬
MailTitleConnectMonthlyReward,月間ログイン報酬
MailTitleGuildAchievementReward,血盟功績報酬
MailTitleGuildMarketBuy,血盟ショップ購入
MailTitleGuildMarketGiftBuy,[Player]さんからプレゼントが届きました。
MailTitleGuildWarehouseGrant,血盟褒賞
MailTitleAchievementReward,功績報酬
MailTitlePeriodAchievementReward,シーズン功績報酬
MailTitleFriendGreet,フレンドへの挨拶
MailTitleBagIsFull,バッグの空き不足
MailTitleDailyActivityReward,今日の活動報酬
MailTitleInstantCompleteReward,報酬回収アイテム
MailTitleMissionDailyReward,デイリークエスト報酬
MailTitleMissionWeeklyReward,ウィークリークエスト報酬
MailTitleShopReward,チャージ/消費報酬
MailTitleSupriseBox,サプライズボックスオープン
MailTitleEvent,イベント報酬
MailTitleCastleSiegeFestivalWin,攻城祭勝利血盟の予測的中
MailTitleCastleSiegeFestivalLose,攻城祭勝利血盟の予測失敗
MailContentCheat,[Item]
MailContentTutorialReward,チュートリアル報酬として[Item]が届きました！
MailContentGuideQuestReward,[Item]
MailContentShopGachaItem,ショップの召喚ボックスから獲得したアイテムです。（スロットオーバー）
MailContentDungeonReward,ダンジョン報酬として獲得したアイテムです。
MailContentPvpHonorPointReward,[Item]
MailContentPvpFirstRankReward,[Item]
MailContentPvpRankingReward,[Item]
MailContentCastleSiegeBegin,[Item]
MailContentCastleSiegeLoseReward,[Item]
MailContentCastleSiegeWinReward,[Item]
MailContentFortressSiegeLoseReward,[Item]
MailContentFortressSiegeWinReward,[Item]
MailContentAuctionHouseBuy,取引所で購入したアイテムを確認してください。
MailContentAuctionHouseSellCompleted,取引所の販売代金です。
MailContentAuctionHouseSellFailed,取引所で売却されなかったアイテムです。
MailContentAuctionHouseSellingCancel,取引所で売却をキャンセルしたアイテムです。
MailContentConnectDailyReward,[Minute]分ログイン報酬[Item]を獲得しました。
MailContentConnectWeeklyReward,[Day]日目報酬[Item]を獲得しました。
MailContentConnectMonthlyReward,[Day]日目報酬[Item]を獲得しました。
MailContentGuildAchievementReward,[Item]
MailContentGuildMarketBuy,血盟ショップ購入
MailContentGuildMarketGiftBuy,[RewardName]
