Id,Name,Description
1000100,冒険の序幕,冒険の輝かしき序幕を称えるための称号です。
1000200,血盟の守り人,「自分のものはみんなのもの（ステップ10）」功績達成で使用可能
1000300,真面目さん,「恋しさに胸焦がれ（ステップ10）」功績達成で使用可能
1000400,友達大好き,「友のためなら（ステップ10）」功績達成で使用可能
1000500,お金がありあまる人,「クズはいらない（ステップ10）」功績達成で使用可能
1000600,狩人,「容赦なき狩人（ステップ11）」功績達成で使用可能
1000800,勝負好き,"決闘場ランキング10,000位入りで使用可能"
1000900,力を追う者,"戦闘力ランキング10,000位入りで使用可能"
1001000,羽ばたく者,"レベルランキング10,000位入りで使用可能"
1001200,成長の達人,「餌ではありません（ステップ10）」功績達成で使用可能
1001300,ソウルハンター,「輝くもののその中に（ステップ10）」功績達成で使用可能
1001400,動物園の園長,「愛情をこめて（ステップ10）」功績達成で使用可能
1001500,コレクター,「ジャンク屋じゃないけど（ステップ10）」功績達成で使用可能
1001600,錬金術師,「己を輝かせるもの（ステップ10）」功績達成で使用可能
1001700,闘士,「勝利の証（ステップ10）」功績達成で使用可能
1001800,ツイてる人,「運も実力のうち？（ステップ10）」功績達成で使用可能
1001900,コアハンター,「戦利品集め（ステップ10）」功績達成で使用可能
2000200,力を支配する者,"決闘場ランキング5,000位入りで使用可能"
2000300,噂の強者,"戦闘力ランキング5,000位入りで使用可能"
2000400,上を目指す者,"レベルランキング5,000位入りで使用可能"
2000600,モンスターの追っかけ,功績「絶叫の地エリアの図鑑」完成で使用可能
2000700,珍しいもの好き,「珍しいもの（ステップ10）」功績達成で使用可能
2000900,強運の持ち主,「訪れる幸運（ステップ10）」功績達成で使用可能
2001100,精霊の加護,「戦いの必需品（ステップ10）」功績達成で使用可能
2001200,科学捜査官,「並々ならぬ血（ステップ10）」功績達成で使用可能
2001300,安全第一,「安全な道（ステップ10）」功績達成で使用可能
2001400,変身の天才,「気まぐれも楽じゃない（ステップ10）」功績達成で使用可能
2001500,武器専門家,「伝説級（ステップ10）」功績達成で使用可能
2001600,強化専門家,「スクロールコレクター（ステップ10）」功績達成で使用可能
2001800,合成専門家,「装備の百変化（ステップ10）」功績達成で使用可能
2001900,装飾品専門家,「スクロールコレクター2（ステップ10）」功績達成で使用可能
2002000,スレイヤー,「伝説の魔物の討伐（ステップ10）」功績達成で使用可能
2002100,ランクアップの達人,「圧倒的な格の違い（ステップ10）」功績達成で使用可能
3000200,闘志の勝負師,決闘場ランキング100位入りで使用可能
3000300,圧倒的な強者,戦闘力ランキング100位入りで使用可能
3000500,上を目指し続ける者,レベルランキング100位入りで使用可能
3000900,スペシャリスト,「特別な装備の作り方（ステップ10）」功績達成で使用可能
3001000,限界を超える者,「最善とは（ステップ10）」功績達成で使用可能
3100100,要塞の指揮官,"要塞を占領した血盟の副血盟主になると使用可能
（条件を満たしている間のみ称号が使用できます）"
3100200,要塞の守護者,"要塞を占領した血盟の血盟員(血盟主と副血盟主は除く)になると使用可能
(条件を満たしている間のみ称号が使用できます。)"
813000100,グルーディンの伝説,"所属サーバーにて初めてグルーディン街道の要塞を占領すると使用可能
（要塞占領時、血盟に加入している場合のみ使用可能）"
813000101,グルーディオの伝説,"所属サーバーにて初めてグルーディオ平原の要塞を占領すると使用可能
（要塞占領時、血盟に加入している場合のみ使用可能）"
813000102,ウィンダウッドの伝説,"所属サーバーにて初めてウィンダウッド荘園の要塞を占領すると使用可能
（要塞占領時、血盟に加入している場合のみ使用可能）"
813000103,荒地の伝説,"所属サーバーにて初めて荒地の要塞を占領すると使用可能
（要塞占領時、血盟に加入している場合のみ使用可能）"
813000104,ディオンの伝説,"所属サーバーにて初めてディオン牧草地の要塞を占領すると使用可能
（要塞占領時、血盟に加入している場合のみ使用可能）"
813000105,クルマ湿地の伝説,"所属サーバーにて初めてクルマ湿地の要塞を占領すると使用可能
（要塞占領時、血盟に加入している場合のみ使用可能）"
813000106,闘争の峰の伝説,"所属サーバーにて初めて闘争の峰の要塞を占領すると使用可能
（要塞占領時、血盟に加入している場合のみ使用可能）"
813000107,絶叫の地の伝説,"所属サーバーにて初めて絶叫の地の要塞を占領すると使用可能
（要塞占領時、血盟に加入している場合のみ使用可能）"
813000108,ドルメン遺跡の伝説,"所属サーバーにて初めてドルメン遺跡の要塞を占領すると使用可能
（要塞占領時、血盟に加入している場合のみ使用可能）"
813000109,崩れた勝利の地の伝説,"所属サーバーにて初めて崩れた勝利の地の要塞を占領すると使用可能
（要塞占領時、血盟に加入している場合のみ使用可能）"
813000110,戦勝記念塔の伝説,"所属サーバーにて初めて戦勝記念塔の要塞を占領すると使用可能
（要塞占領時、血盟に加入している場合のみ使用可能）"
813000111,臨時防衛基地の伝説,"所属サーバーにて初めて臨時防衛基地の要塞を占領すると使用可能
（要塞占領時、血盟に加入している場合のみ使用可能）"
813000112,風の森の伝説,"所属サーバーにて初めて風の森の要塞を占領すると使用可能
（要塞占領時、血盟に加入している場合のみ使用可能）"
813000113,残された精霊の森の伝説,"所属サーバーにて初めて残された精霊の森の要塞を占領すると使用可能
（要塞占領時、血盟に加入している場合のみ使用可能）"
813000114,西部警戒所の伝説,"所属サーバーにて初めて西部警戒所の要塞を占領すると使用可能
（要塞占領時、血盟に加入している場合のみ使用可能）"
813000115,エルフの遺跡の伝説,"所属サーバーにて初めてエルフの遺跡の要塞を占領すると使用可能
（要塞占領時、血盟に加入している場合のみ使用可能）"
813000116,ギラン自治領の伝説,"所属サーバーにて初めてギラン自治領の要塞を占領すると使用可能
（要塞占領時、血盟に加入している場合のみ使用可能）"
813000117,無法者の港の伝説,"所属サーバーにて初めて無法者の港の要塞を占領すると使用可能
（要塞占領時、血盟に加入している場合のみ使用可能）"
813000118,陰の精霊の森の伝説,"所属サーバーにて初めて陰の精霊の森の要塞を占領すると使用可能
（要塞占領時、血盟に加入している場合のみ使用可能）"
813000119,遺跡の監視者の伝説,"所属サーバーにて初めて遺跡の監視者の要塞を占領すると使用可能
（要塞占領時、血盟に加入している場合のみ使用可能）"
813000120,結界守護者の伝説,"所属サーバーにて初めて結界守護者の要塞を占領すると使用可能
（要塞占領時、血盟に加入している場合のみ使用可能）"
813000121,海岸警備隊の伝説,"所属サーバーにて初めて海岸警備隊の要塞を占領すると使用可能
（要塞占領時、血盟に加入している場合のみ使用可能）"
813000122,活気に満ちた関門の伝説,"所属サーバーにて初めて活気に満ちた関門の要塞を占領すると使用可能
（要塞占領時、血盟に加入している場合のみ使用可能）"
813000123,東部警戒所の伝説,"所属サーバーにて初めて東部警戒所の要塞を占領すると使用可能
（要塞占領時、血盟に加入している場合のみ使用可能）"
813000124,遺跡発掘団の伝説,"所属サーバーにて初めて遺跡発掘団の要塞を占領すると使用可能
（要塞占領時、血盟に加入している場合のみ使用可能）"
4100100,要塞の司令官,"要塞を占領した血盟の血盟主になると使用可能
（条件を満たしている間のみ称号が使用できます）"
4101200,上昇を極める者,"レベルランキング10位入りで使用可能
（条件を満たしている間のみ称号が使用できます）"
5100200,決闘の帝王,"決闘場ランキング1位達成で使用可能
（条件を満たしている間のみ称号が使用できます）"
5100300,怪力の帝王,"戦闘力ランキング1位達成で使用可能
（条件を満たしている間のみ称号が使用できます）"
5100400,真理の帝王,"レベルランキング1位達成で使用可能
（条件を満たしている間のみ称号が使用できます）"
813000125,LRT SEASON1 ベスト16,"「LRT SEASON1」ベスト16の名誉称号。
「LRT SEASON1 ベスト16の証」を使用した際に表示。
"
813000126,LRT SEASON1 ベスト32,"「LRT SEASON1」ベスト32の名誉称号。
「LRT SEASON1 ベスト32の証」を使用した際に表示。
"
813000127,LRT SEASON1 ベスト64,"「LRT SEASON1」ベスト64の名誉称号。
「LRT SEASON1 ベスト64の証」を使用した際に表示。
"
814100100,LRT SEASON1 Finalist,"「LRT SEASON1」Finalistの名誉称号。
「LRT SEASON1 ベスト4の証」を使用した際に表示。
"
814100103,LRT SEASON1 ベスト8,"「LRT SEASON1」ベスト8の名誉称号。
「LRT SEASON1 ベスト8の証」を使用した際に表示。
"
814100104,真の救済をもたらす者,「滅亡の城砦」タイムアタックイベントの上位入賞者に贈られる特別な称号です。
815100100,LRT 初代血盟王者,"「LRT SEASON1」優勝者の名誉称号。
「LRT 初代血盟王者の証」を使用した際に表示。
"
