Id,EffectTypeName
112221,
112222,サンダーストーム：スタン
112421,
112422,
112423,
112511,
112611,
112612,
122121,
122122,
122123,
122511,
122611,
132521,
132522,コラプション：防御減少
142621,
142622,ディバインクラップ：スタン
142623,
300051,
300071,
300121,
300122,
300123,火の持続ダメージ
300124,ノックダウン
600961,
600971,
601001,
601151,
601621,
601622,
710321,
710721,
710731,
710732,ノックダウン
714721,
730121,
730122,
730123,
730321,
730322,
740311,
740321,
740511,
740621,
740622,
740711,
741321,
15040211,
7202311,
7202312,
7202313,
7202314,
17202311,
17202312,
17202313,
17202314,
7204311,
7204321,
7204331,
6012521,
6014511,
7413521,
7413522,
8010441,
805000,
805001,
805002,
805003,
72040,
17202231,
17202232,
17203181,
4110041,
4120041,
4130041,
4130121,
4130232,
4130233,
4140041,
4140121,
4140232,
4140233,
4010231,
4010081,
4010082,ノックダウン
4010161,
40110211,
2000001,
2000002,
2000003,
2000004,
2000005,
2000006,
2000007,
2000008,
400201011,
400201091,
400201092,
400201111,
400201112,
400201261,
400201291,
400201551,
400201611,
400201621,
400201631,
400201641,
400201671,
400201311,
400201731,
400202011,
400202091,
400202092,
400202111,
400202112,
400202261,
400202291,
400202551,
400202611,
400202621,
400202631,
400202641,
400202671,
400202311,
400202731,
400203011,
400203091,
400203092,
400203111,
400203112,
400203261,
400203291,
400203551,
400203611,
400203621,
400203631,
400203641,
400203671,
400203311,
400203731,
400204011,
400204091,
400204092,
400204111,
400204112,
400204261,
400204291,
400204551,
400204611,
400204621,
400204631,
400204641,
400204671,
400204311,
400204731,
450004161,
450004171,
450004191,
450004251,
450004591,
450004601,
450004611,
450004621,
450004631,
450004641,
450004651,
450004661,
450004671,
450004691,
450004701,
450004711,
450004721,
450004731,
450004741,
450004751,
450004951,
450004491,
81000001,
810202111,
