Id,ReplaceString1,Name,ReplaceString2,QuestDesc1,QuestDesc2
1,話せる島東部,{ReplaceString1}偵察,話せる島東部,{ReplaceString2}モンスター討伐,話せる島東部のモンスターを{TaskCount}体倒そう
2,話せる島西部,{ReplaceString1}偵察,話せる島西部,{ReplaceString2}モンスター討伐,話せる島西部のモンスターを{TaskCount}体倒そう
3,グルーディン街道,{ReplaceString1}偵察,グルーディン街道,{ReplaceString2}モンスター討伐,グルーディン街道のモンスターを{TaskCount}体倒そう
4,グルーディオ平原,{ReplaceString1}偵察,グルーディオ平原,{ReplaceString2}モンスター討伐,グルーディオ平原のモンスターを{TaskCount}体倒そう
5,ウィンダウッド荘園,{ReplaceString1}偵察,ウィンダウッド荘園,{ReplaceString2}モンスター討伐,ウィンダウッド荘園のモンスターを{TaskCount}体倒そう
6,荒地,{ReplaceString1}偵察,荒地,{ReplaceString2}モンスター討伐,荒地のモンスターを{TaskCount}体倒そう
7,ディオン,{ReplaceString1}偵察,ディオン牧草地の討伐,{ReplaceString2}モンスター討伐,ディオン牧草地のモンスターを{TaskCount}体倒そう
8,クルマ湿地,{ReplaceString1}偵察,クルマ湿地,{ReplaceString2}モンスター討伐,クルマ湿地のモンスターを{TaskCount}体倒そう
9,闘争の峰,{ReplaceString1}偵察,闘争の峰,{ReplaceString2}モンスター討伐,闘争の峰のモンスターを{TaskCount}体倒そう
10,絶叫の地,{ReplaceString1}偵察,絶叫の地,{ReplaceString2}モンスター討伐,絶叫の地のモンスターを{TaskCount}体倒そう
11,ギラン自治領,{ReplaceString1}偵察,ギラン自治領,{ReplaceString2}モンスター討伐,ギラン自治領のモンスターを{TaskCount}体倒そう
12,死霧の海岸,{ReplaceString1}偵察,死霧の海岸,{ReplaceString2}モンスター討伐,死霧の海岸のモンスターを{TaskCount}体倒そう
13,悪魔の島,{ReplaceString1}偵察,悪魔の島,{ReplaceString2}モンスター討伐,悪魔の島のモンスターを{TaskCount}体倒そう
14,悪魔の島,{ReplaceString1}偵察,悪魔の島,{ReplaceString2}モンスター討伐,悪魔の島のモンスターを{TaskCount}体倒そう
15,死の沿道,{ReplaceString1}偵察,死の沿道,{ReplaceString2}モンスター討伐,死の沿道のモンスターを{TaskCount}体倒そう
