Id,Nwme,Desc
1,基本任務,モンスターを{TaskCount}体倒そう
2,コンボの達人,{TaskCount}コンボを達成しよう
3,体力管理は基本のき,MPポーションを30個以上使用
4,装備補給,装備を3個獲得
5,血盟のために,血の証を50個獲得
6,挑戦者だけが手に入れる,装備強化を1回成功
7,エリートダンジョン討伐,エルフの遺跡1階のモンスターを70体討伐
8,基本任務,モンスターを100体討伐
9,ソウルストーン集め,ソウルストーン3個獲得
10,エリートダンジョンの達人,エリートダンジョンに1回入場
11,挑戦者だけが手に入れる,装備強化を1回成功
12,基本任務,モンスターを150体討伐
13,コンボの達人,200コンボ達成
14,体力管理は基本のき,HPポーションを60個以上使用
15,連勝の嵐,決闘で2連勝
16,基本任務,モンスターを200体討伐
17,戦利品集め,モンスターコアを5個獲得
18,防御力を磨こう,防具強化スクロールを2個獲得
19,攻撃力を磨こう,武器強化スクロールを2個獲得
20,止まらない成長,装備レベルアップを5回試す
21,戦闘力増加,"ソウルショットを1,000個以上使用"
22,スーパーパワー,"一撃で2,000ダメージ達成"
23,連勝の嵐,決闘で3連勝
24,基本任務,モンスターを250体討伐
25,コンボの達人,300コンボ達成
26,基本任務,モンスターを50体討伐
27,コンボの達人,100コンボ達成
28,体力管理は基本のき,MPポーションを30個以上使用
29,装備補給,装備を3個獲得
30,血盟のために,血の証を50個獲得
31,挑戦者だけが手に入れる,装備強化を1回成功
32,エリートダンジョン討伐,エルフの遺跡2階のモンスターを70体討伐
33,基本任務,モンスターを100体討伐
34,ソウルストーン集め,ソウルストーン3個獲得
35,エリートダンジョンの達人,エリートダンジョンに1回入場
36,挑戦者だけが手に入れる,装備強化を1回成功
37,基本任務,モンスターを150体討伐
38,コンボの達人,200コンボ達成
39,体力管理は基本のき,HPポーションを60個以上使用
40,連勝の嵐,決闘で2連勝
41,基本任務,モンスターを200体討伐
42,戦利品集め,モンスターコアを5個獲得
43,防御力を磨こう,防具強化スクロールを2個獲得
44,攻撃力を磨こう,武器強化スクロールを2個獲得
45,止まらない成長,装備レベルアップを5回試す
46,戦闘力増加,"ソウルショットを1,000個以上使用"
47,スーパーパワー,"一撃で2,000ダメージ達成"
48,連勝の嵐,決闘で3連勝
49,基本任務,モンスターを250体討伐
50,コンボの達人,300コンボ達成
51,基本任務,モンスターを50体討伐
52,コンボの達人,100コンボ達成
53,体力管理は基本のき,MPポーションを30個以上使用
54,装備補給,装備を3個獲得
55,血盟のために,血の証を50個獲得
56,挑戦者だけが手に入れる,装備強化を1回成功
