Id,ItemName,Desc1,Desc2
1,経験値,経験値を獲得します。,
2,エリクサーエッセンス選択ボックス,エリクサーエッセンスの中から1個を選択できます。,"レベル{RequiredGuildLevel}から
購入可能"
3,ソウルストーンボックス,N～URランクのソウルストーンをランダムに獲得します。,"レベル{RequiredGuildLevel}から
購入可能"
4,ルーンの欠片ボックス,"ルーンの欠片が入った箱です。
ルーンの欠片1,000個を獲得します。","レベル{RequiredGuildLevel}から
購入可能"
5,高級経験値,大量の経験値を獲得します。,"レベル{RequiredGuildLevel}から
購入可能"
6,研磨剤ボックス,N～HRランクの武器、防具、装飾品研磨剤の中から1個を獲得します。,"レベル{RequiredGuildLevel}から
購入可能"
7,召喚石の欠片ボックス,"様々な騎乗ペット召喚石の欠片が
ランダムに獲得できます。","レベル{RequiredGuildLevel}から
購入可能"
8,強化スクロールボックス,強化スクロールをランダムに獲得します。,"レベル{RequiredGuildLevel}から
購入可能"
9,高級装備召喚ボックス,R～URランクの装備をランダムに獲得します。,"レベル{RequiredGuildLevel}から
購入可能"
10,高級材料ボックス,高級材料をランダムに獲得します。,"レベル30から
購入可能"
18,テレポートスクロール5個,テレポートに使えます。,
51,血盟材料ボックス1個,高級材料をランダムに獲得します。,
52,血盟材料ボックス10+1個,高級材料をランダムに獲得します。,
53,血盟装備ボックス1個,R～URランクの装備をランダムに獲得します。,
54,血盟装備ボックス10+1個,R～URランクの装備をランダムに獲得します。,
61,血盟強化スクロールボックス1個,強化スクロールをランダムに獲得します。,
62,テレポートスクロール5個,テレポートに使えます。,
63,HPポーション200個,HPを少量回復します。,
64,MPポーション200個,MPを少量回復します。,
65,"ソウルショット5,000個",武器に不思議な力を与え、ダメージが増加します。,
201,遺物刻印時間の増加Lv1,遺物の刻印にかかる時間が1秒増加します。,
202,遺物刻印時間の増加Lv2,遺物の刻印にかかる時間が2秒増加します。,
203,遺物刻印時間の増加Lv3,遺物の刻印にかかる時間が3秒増加します。,
204,遺物刻印時間の増加Lv4,遺物の刻印にかかる時間が4秒増加します。,
205,遺物刻印時間の増加Lv5,遺物の刻印にかかる時間が5秒増加します。,
206,防御塔の耐久度増加Lv1,,
