Id,EquipEffectDescription,EquipEffectBuffName,EquipEffectBuffDescription
7000101,血盟マントには装備効果がありません。,,
7000201,血盟マントには装備効果がありません。,,
7000301,血盟マントには装備効果がありません。,,
7100101,"モンスターの討伐時や採集時に獲得する経験値が<Fontblue>5%</>増加します。

（適用場所：フィールド/採集ダンジョン）",冒険家のマントの装備効果,モンスターの討伐時や採集時の獲得経験値が<Fontblue>5%</>増加
7100102,"モンスターの討伐時や採集時に獲得する経験値が<Fontblue>5.5%</>増加します。

（適用場所：フィールド/採集ダンジョン）",冒険家のマントの装備効果,モンスターの討伐時や採集時の獲得経験値が<Fontblue>5.5%</>増加
7100103,"モンスターの討伐時や採集時に獲得する経験値が<Fontblue>6%</>増加します。

（適用場所：フィールド/採集ダンジョン）",冒険家のマントの装備効果,モンスターの討伐時や採集時の獲得経験値が<Fontblue>6%</>増加
7100104,"モンスターの討伐時や採集時に獲得する経験値が<Fontblue>6.5%</>増加します。

（適用場所：フィールド/採集ダンジョン）",冒険家のマントの装備効果,モンスターの討伐時や採集時の獲得経験値が<Fontblue>6.5%</>増加
7100105,"モンスターの討伐時や採集時に獲得する経験値が<Fontblue>7%</>増加します。

（適用場所：フィールド/採集ダンジョン）",冒険家のマントの装備効果,モンスターの討伐時や採集時の獲得経験値が<Fontblue>7%</>増加
7100106,"モンスターの討伐時や採集時に獲得する経験値が<Fontblue>7.5%</>増加します。

（適用場所：フィールド/採集ダンジョン）",冒険家のマントの装備効果,モンスターの討伐時や採集時の獲得経験値が<Fontblue>7.5%</>増加
7100107,"モンスターの討伐時や採集時に獲得する経験値が<Fontblue>8%</>増加します。

（適用場所：フィールド/採集ダンジョン）",冒険家のマントの装備効果,モンスターの討伐時や採集時の獲得経験値が<Fontblue>8%</>増加
7100108,"モンスターの討伐時や採集時に獲得する経験値が<Fontblue>8.5%</>増加します。

（適用場所：フィールド/採集ダンジョン）",冒険家のマントの装備効果,モンスターの討伐時や採集時の獲得経験値が<Fontblue>8.5%</>増加
7100109,"モンスターの討伐時や採集時に獲得する経験値が<Fontblue>9%</>増加します。

（適用場所：フィールド/採集ダンジョン）",冒険家のマントの装備効果,モンスターの討伐時や採集時の獲得経験値が<Fontblue>9%</>増加
7100110,"モンスターの討伐時や採集時に獲得する経験値が<Fontblue>10%</>増加します。

（適用場所：フィールド/採集ダンジョン）",冒険家のマントの装備効果,モンスターの討伐時や採集時の獲得経験値が<Fontblue>10%</>増加
7100111,"モンスターの討伐時や採集時に獲得する経験値が<Fontblue>11%</>増加します。

（適用場所：フィールド/採集ダンジョン）",冒険家のマントの装備効果,モンスターの討伐時や採集時の獲得経験値が<Fontblue>11%</>増加
7100112,"モンスターの討伐時や採集時に獲得する経験値が<Fontblue>12%</>増加します。

（適用場所：フィールド/採集ダンジョン）",冒険家のマントの装備効果,モンスターの討伐時や採集時の獲得経験値が<Fontblue>12%</>増加
7100113,"モンスターの討伐時や採集時に獲得する経験値が<Fontblue>13%</>増加します。

（適用場所：フィールド/採集ダンジョン）",冒険家のマントの装備効果,モンスターの討伐時や採集時の獲得経験値が<Fontblue>13%</>増加
7100114,"モンスターの討伐時や採集時に獲得する経験値が<Fontblue>14%</>増加します。

（適用場所：フィールド/採集ダンジョン）",冒険家のマントの装備効果,モンスターの討伐時や採集時の獲得経験値が<Fontblue>14%</>増加
