Id,PlaceName
1,活気に満ちた関門
2,ドルメンの遺跡
3,話せる島の村
4,崩れた勝利の地
5,戦勝記念塔
6,臨時防衛基地
7,アインホバント魔法学校
8,風の森
9,残された精霊の森
10,西部警戒所
11,エルフの遺跡
12,グルーディン港
13,グルーディン村
14,風車の平原
15,沈黙の墓地
16,略奪者の巣窟
17,グルーディオ城下町
18,魔物の掃討地
19,略奪された農地
20,メルリザードマンの生息地
21,トゥレックオークの野営地
22,フェルメル湖
23,グルーディオ城外郭
24,グルーディオ城
25,ウィンダウッドの廃墟
26,激戦地
27,堕落したエルフの聖域
28,トゥレックオークの駐屯地
29,塵風の峡谷
30,不毛の地
31,スターリス野営地
32,赤い岩の尾根
33,ディオン城外郭
34,ディオン城下町
35,伐採地
36,ディオン開拓地
37,避難場所
38,ディオン牧草地
39,不気味な大地
40,遺跡調査団のキャンプ
41,遺跡の発掘地
42,湿地帯
43,クルマの塔入口
44,陰湿地
45,静寂の森
46,オルマフムのアジト
47,タノールの前哨基地
48,紛争エリア
49,マンドラゴラの栽培地
50,処刑場
51,苦痛の城砦
52,崩れた城砦
53,焼却場
54,ギラン城下町
55,ゴルコンの花園
56,ギラン城外郭
57,歌う森
58,ランクリザードマンの駐屯地
59,寂しい空き地
60,ギラン城
61,貿易路
62,亡者の海岸
63,巨人たちの森
64,ギラン港
65,オルマフム盗賊団の巣窟
66,巨人の祭壇
67,海風の湿地
68,黄金の洞窟
69,憎悪のくぼみ
70,ブレカオークの巣窟
71,死の回廊
72,死の峡谷
73,猟師の渓谷
74,オーレン城下町
75,オーレン城外郭
76,トカゲの湿地
77,ティマックの前哨基地
78,怒れるタノールの高原
79,崩壊した結界外郭
80,胞子の海
81,魔女の森
82,無法者の森
83,山賊の巣窟
84,魔導の森
85,ティマックオークの駐屯地
86,象牙の塔の警戒所
87,象牙の塔の噴火口
88,使節団の野営地
89,象牙の塔
90,悪魔の亀裂
91,絶望の要塞
92,ハンターの墓
93,竜族の地
94,アンタラスの洞窟入口
95,エルフの遺跡地下1階
96,エルフの遺跡地下2階
97,アリの巣地下1階
98,アリの巣地下2階
99,クルマの塔2階
100,クルマの塔3階
101,象牙の塔地下1階
102,象牙の塔地下2階
103,象牙の塔地下3階
104,エルフの遺跡地下2階
105,異空間
106,クルマの塔2階
107,グルーディン港
108,象牙の塔地下1階
109,地下室
110,アリの巣地下2階
81000111,イベントエリア
81000112,イベントエリア
81000113,ザケンの深淵
