Id,ContentsDesc,Name
1,様々な方法で装備の性能を増加させます。,鍛冶屋
2,武器に精霊の力を宿らせて強力な一撃を与えます。,ソウルショット
3,,ダンジョン
4,曜日ごとのボスと報酬が出現するダンジョンです。,曜日ダンジョン
5,アデン探検を進めるほど、より多くの報酬が得られます。,功績
8,毎日Rランク以上の高級装備が無料で手に入ります。,高級装備召喚ボックス
10,アデンの冒険家たちと腕を競えます。,決闘場
12,2つの装備を合成してワンランク上の装備を手に入れます。,合成
13,強化スクロールを使用して装備の性能を増加させます。,強化
14,,血盟
15,高くそびえ立つ塔に挑戦して自分の限界に挑みます。,傲慢の塔
16,ルーンを刻印して自分の能力を永久的に増加させます。,ルーン刻印
17,装備の見た目とオプションを引き継いでランクを上げます。,ランクアップ
18,,今日の活動
19,,デイリークエスト
20,,ウィークリークエスト
21,魂が宿る宝石を装備にちりばめて特殊な能力を得ます。,ソウルストーン
22,豪華報酬が眠る危険なダンジョンに挑戦します。,エリートダンジョン
23,,エルフの遺跡1階
24,モンスターのコアを集めると様々な報酬が得られます。,モンスター図鑑
25,なかなか手に入らない強力なスキルが使えるようになります。,レアスキル
27,,取引所
28,エリクサーを飲んで自分の能力を永久的に増加させます。,エリクサー
29,エリクサーの製作に必要な薬草が採集できます。,採集ダンジョン
30,キャラクターが自動で周囲の敵を見つけて戦闘を行います。,自動戦闘
40,称号です。,称号
101,,曜日ダンジョン（NORMAL）
102,,エルフの遺跡2階
103,,転職
104,,曜日ダンジョン（HARD）
105,,アリの巣地下1階
106,,アリの巣地下2階
107,,曜日ダンジョン（VERY HARD）
108,,クルマの塔2階
109,,クルマの塔3階
110,,象牙の塔地下1階
111,,象牙の塔地下2階
112,押し寄せる魔物を討伐して大量の経験値が得られます。,経験値ダンジョン
113,ゴールドを守るドラゴンを倒して大量のアデナが得られます。,アデナダンジョン
114,魔物から神殿を守って装備を手に入れます。,装備ダンジョン
115,,召喚石ダンジョン
116,,バールカルロン血盟ダンジョン
117,,クイーンアント血盟ダンジョン
118,,要塞戦
119,,攻城戦
120,スキルのレベルを上げてより高い効果が得られます。,スキルレベルアップ
121,モンスターが守る次元の扉を破壊してください,洗練石ダンジョン
122,,インベントリ
123,,クルマコア
126,,アジト
127,,象牙の塔地下3階
301,,インベントリ
303,,インベントリ
129,,ペット
401,,アジトコンテンツ制限
20001,,狂気の祭壇
20002,,血の女伯爵の寝所
20003,,創造の神殿
