Id,Name,RepresentRewardName,RepresentRewardDescription,Description
200,エルフの遺跡1階,,,エルフ族がヒューマン族に魔法を教えていた学校です。ヒューマン族は魔法のエネルギーに満ちたこの場所で大陸の支配者になる基礎知識を整えました。
201,エルフの遺跡2階,,,"エルフ族の支配下にあった頃は優れた腕を持つヒューマン族にしか開放されなかった階です。
1階よりも強い魔法エネルギーがかかっています。"
202,アリの巣地下1階,,,黒魔法による大爆発で生まれた荒地に適応して生き残った巨大アリの巣です。
203,アリの巣地下2階,,,大切なものを隠すための複雑な迷路です。アリ以外のものにとって道探しは困難です。
204,クルマの塔2階,,,古代の巨人が新しい命を創り出す生体研究を行った移動要塞機能を兼ねた研究所です。研究室保護のための空間です。
205,クルマの塔3階,,,塔本来の役割である生体研究が行われていた研究階です。巨人の魔法エネルギーに満ちています。
206,象牙の塔地下1階,,,隕石ネビュライトが落ちて出来た空間です。研究室や図書館として使われた後、魔術師の暴走事件で閉鎖されました。
207,象牙の塔地下2階,,,かつては錬金術の実験室があった場所です。今は床を突き抜けた硬い鉱物のようなキノコで溢れています。
208,象牙の塔地下3階,,,隕石ネビュライトがある場所です。ネビュライトの影響で強化された魔物が暴れています。
9000,経験値ダンジョンⅠ,昇級石,昇級石召喚ボックス1回分を獲得します。,"闇の結社が設置した魔物召喚石の中には未だに
発見されないものも多数あります。これを解除するには
異空間に入って魔物を倒さなければなりません。"
9001,経験値ダンジョンⅡ,昇級石,昇級石召喚ボックス2回分を獲得します。,"闇の結社が設置した魔物召喚石の中には未だに
発見されないものも多数あります。これを解除するには
異空間に入って魔物を倒さなければなりません。"
9002,経験値ダンジョンⅢ,昇級石,昇級石召喚ボックス3回分を獲得します。,"闇の結社が設置した魔物召喚石の中には未だに
発見されないものも多数あります。これを解除するには
異空間に入って魔物を倒さなければなりません。"
9003,経験値ダンジョンⅣ,昇級石,昇級石召喚ボックス5回分を獲得します。,"闇の結社が設置した魔物召喚石の中には未だに
発見されないものも多数あります。これを解除するには
異空間に入って魔物を倒さなければなりません。"
9004,アデナダンジョンⅠ,昇級石,昇級石召喚ボックス1回分を獲得します。,"エルモアデンの皇帝シュナイマンが傲慢の塔を建てるための
黄金を保管した砦。貪欲なシュナイマンの死後に忘れられ、
現在はゴールドドラゴンクリソスの棲み処になりました。"
9005,アデナダンジョンⅡ,昇級石,昇級石召喚ボックス2回分を獲得します。,"エルモアデンの皇帝シュナイマンが傲慢の塔を建てるための
黄金を保管した砦。貪欲なシュナイマンの死後に忘れられ、
現在はゴールドドラゴンクリソスの棲み処になりました。"
9006,アデナダンジョンⅢ,昇級石,昇級石召喚ボックス3回分を獲得します。,"エルモアデンの皇帝シュナイマンが傲慢の塔を建てるための
黄金を保管した砦。貪欲なシュナイマンの死後に忘れられ、
現在はゴールドドラゴンクリソスの棲み処になりました。"
