id,Name,HumanDialog,ElfDialog,DarkElfDialog,DwarfDialog
1,突撃,全員、突撃！,突撃！,突撃！,突撃よ！
2,勝利,勝利あるのみ！,勝利のために！,勝利あるのみ！,勝利のため！
3,手を振る,こんにちは,こんにちは,こんにちは,こんにちは！
4,笑い,ハハハハ！,あははっ,アハハハハハ！,きゃはははっ！
5,悲しみ,ううっ…,しくしく…,く、くそ…,うわーん
6,ハイタッチ,ハイタッチ！,ハイタッチ！,ハイタッチ！,よ！ハイタッチ！
7,拍手,いいぞ！,すごいじゃない！,やるな！,うわぁ、すごい！
8,挫折,ありえない…,こんなことって…,こんなことが…,えぇっ…！？
9,怒り,くそ！,もう！,ウアアアアア！,もおぉ！怒るよ！
10,ダンス,ハッ！ハッ！,みんなで一緒に～,キレを出して～,ひらひら～
1001,魔物召喚,,,,
10001,決闘場：ヒューマンの勝利,,,,
10002,決闘場：ヒューマンの敗北,,,,
10003,決闘場：エルフの勝利,,,,
10004,決闘場：エルフの敗北,,,,
10005,決闘場：ダークエルフの勝利,,,,
10006,決闘場：ダークエルフの敗北,,,,
10007,決闘場：ドワーフの勝利,,,,
10008,決闘場：ドワーフの敗北,,,,
100001,タッチアクション#1,,,,
100002,タッチアクション#2,,,,
100003,タッチアクション#3,,,,
100004,タッチアクション#4,,,,
100005,タッチアクション#5,,,,
