Id,Vlue
1,いんつう
2,姦通
3,バカチョン
4,あいのこ
5,あしきり
6,足切り
7,あるちゅう
8,アル中
9,いあんふ
10,慰安婦
11,いぬごろし
12,犬殺し
13,うじよりそだち
14,氏より育ち
15,うらにほん
16,おもてにほん
17,表日本
18,かわらこじき
19,河原乞食
20,きかれもの
21,引かれ者
22,きじるし
23,き印
24,きちがいにはもの
25,気違いに刃物
26,ぎっちょ
27,きゅうじ
28,給仕
29,ぎょうびょう
30,業病
31,ぐどん
32,愚鈍
33,クロンボ
34,くろんぼ
35,ぐんもう
36,群盲
37,げっちょ
38,毛唐
39,毛等
40,後進国
41,ごうびょう
42,小使い
43,さんごくじん
44,三国人
45,しのうこうしょう
46,士農工商
47,しょくぶつにんげん
48,植物人間
49,しんへいみん
50,新平民
51,せいしんいじょう
52,精神異常
53,せいしんいじょうしゃ
54,性芯異常者
55,せいはくしゃ
56,精薄者
57,そだちよりうじ
58,育ちより氏
59,だいさんごく
60,タコ部屋
61,ちょうせんせいばつ
62,朝鮮征伐
63,つんぼ
64,つんぼさじき
65,つんぼ桟敷
66,屠役
67,とくしゅがっきゅう
68,特殊学級
69,とくしゅがっこう
70,特殊学校
71,屠殺
72,とさつじょう
73,屠殺場
74,とさつにん
75,屠殺人
76,どさまわり
77,どさ回り
78,どもり
79,どやがい
80,なんせん
81,ニガー
82,にがー
83,にぐろ
84,にんそく
85,人足
86,のうなし
87,バカチョンカメラ
88,ばかちょんかめら
89,はくち
90,ばたや
91,バタ屋
92,はっきょう
93,非人
94,ひんのう
95,貧農
96,不具
97,ぶらく
98,ぶらくみん
99,部落民
100,ふろうじ
101,浮浪児
102,ふろうしゃ
103,浮浪者
104,ぶんもう
105,文盲
106,ほくせん
107,ぽんびき
108,ぽん引き
109,めかけ
110,めくら
111,めくらばん
112,めくら判
113,もうあい
114,盲愛
115,もうじん
116,盲人
117,やぶにらみ
118,寄り目
119,らいびょう
120,らくにんぶらく
121,落人部落
122,ろすけ
123,ロ助
124,ろんぱり
125,穢多
126,賎民
127,こっぱやくにん
128,木っ端役人
129,ドキュン
130,かつぎや
131,しゅうせんや
132,周旋屋
133,どん百姓
134,たけのこいしゃ
135,タケノコ医者
136,ポリ公
137,汚穢屋
138,バッタ屋
139,かぶや
140,株屋
141,あめこう
142,アメ公
143,いたこう
144,イタ公
145,ジャップ
146,じゃっぷ
147,しなじん
148,支那人
149,ポコペン
150,こうもうじん
151,紅毛人
152,はんとうじん
153,ちゅうきょう
154,中共
155,ていかいはつこく
156,低開発国
157,だっちまん
158,さんかんせいばつ
159,三韓征伐
160,ちょうせんじん
161,朝鮮人
162,痴呆
163,しょろう
164,初老
165,とうあびょうふ
166,東亜病夫
167,日本鬼子
168,小日本
169,東洋鬼
170,おにしまづ
171,鬼石曼子
172,東夷
173,チョッパリ
174,ウェノム
175,うぇのむ
176,ニップ
177,にんぴにん
178,人非人
179,かこちょう
180,過去帳
181,めくら縞
182,めくら滅法
183,めくら蛇におじず
184,てんぼう
185,じへいしょうじ
186,自閉症児
187,せいしんはくじゃくじ
188,精神薄弱児
189,しんしんしょうがいしゃ
190,心身障害者
191,淫姦
192,えんこう
193,えんじょこうさい
194,援助交際
195,くいちんぼう
196,くいちん棒
197,くまんこ
198,交姦
199,ぼうかん
200,暴姦
201,えちごのこめつき
202,うんこ
