Id,ReplaceString1,Name,ReplaceString2,QuestDesc1,QuestDesc2
1,說話之島東部,{ReplaceString1}偵察,說話之島東部,消滅{ReplaceString2}怪物,말하는 섬 동부의 몬스터를 {TaskCount}마리 처치하세요.
2,說話之島西部,@1,說話之島西部,@1,말하는 섬 서부의 몬스터를 {TaskCount}마리 처치하세요.
3,古魯丁街道,@1,古魯丁街道,@1,請消滅{TaskCount}隻古魯丁街道的怪物。
4,古魯丁平原,@1,古魯丁平原,@1,請消滅{TaskCount}隻古魯丁平原的怪物。
5,溫達伍德莊園,@1,溫達伍德莊園,@1,請消滅{TaskCount}隻溫達伍德莊園的怪物。
6,荒原,@1,荒原,@1,請消滅{TaskCount}隻荒原的怪物。
7,狄恩牧草地,@1,狄恩牧草地,@1,請消滅{TaskCount}隻狄恩牧草地的怪物。
8,克魯瑪沼澤,@1,克魯瑪沼澤,@1,請消滅{TaskCount}隻克魯瑪沼澤的怪物。
9,鬥爭的山峰,@1,鬥爭的山峰,@1,請消滅{TaskCount}隻鬥爭的山峰的怪物。
10,吶喊之地,@1,吶喊之地,@1,請消滅{TaskCount}隻吶喊之地的怪物。
11,奇岩自治區,@1,奇岩自治區,@1,請消滅{TaskCount}隻奇岩自治區怪物。
12,死亡之霧海岸,@1,死亡之霧海岸,@1,請消滅{TaskCount}隻死亡之霧海岸的怪物。
13,惡魔島,@1,惡魔島,@1,請消滅{TaskCount}隻惡魔島的怪物。
14,@13,@1,@13,@1,@13
15,死亡小徑,@1,死亡小徑,@1,請消滅{TaskCount}隻死亡小徑的怪物。
16,@15,@1,@15,@1,@15
101,精靈廢墟1樓,掃蕩{ReplaceString1},精靈廢墟1樓,@1,請消滅{TaskCount}隻精靈廢墟1樓怪物。
102,精靈廢墟2樓,@101,精靈廢墟2樓,@1,請消滅{TaskCount}隻精靈廢墟2樓怪物。
103,螞蟻洞窟地下1樓,@101,螞蟻洞窟地下1樓,@1,請消滅{TaskCount}隻螞蟻洞窟地下1樓怪物。
104,螞蟻洞窟地下2樓,@101,螞蟻洞窟地下2樓,@1,請消滅{TaskCount}隻螞蟻洞窟地下2樓怪物。
105,克魯瑪高塔2樓,@101,克魯瑪高塔2樓,@1,請消滅{TaskCount}隻克魯瑪高塔2樓怪物。
106,克魯瑪高塔3樓,@101,克魯瑪高塔3樓,@1,請消滅{TaskCount}隻克魯瑪高塔3樓怪物。
107,象牙塔地下1樓,@101,象牙塔地下1樓,@1,請消滅{TaskCount}隻象牙塔地下1樓怪物。
108,@107,@101,@107,@1,@107
109,象牙塔地下2樓,@101,象牙塔地下2樓,@1,請消滅{TaskCount}隻象牙塔地下2樓怪物。
110,@109,@101,@109,@1,@109
111,象牙塔地下3樓,@101,象牙塔地下3樓,@1,請消滅{TaskCount}隻象牙塔地下3樓怪物。
112,@111,@101,@111,@1,@111
201,被遺忘的記憶之聖所,{ReplaceString1}勘查,每日副本,@1,요일 던전의 몬스터를 {TaskCount}마리 처치하세요.
202,@201,@201,@201,@1,@201
203,採集副本,@201,採集副本,@1,請消滅{TaskCount}隻採集副本的怪物。
204,@203,@201,@203,@1,@203
205,水之神殿,{ReplaceString1}守護,裝備副本,@1,請在裝備副本消滅{TaskCount}隻怪物。
206,@205,@205,@205,@1,@205
207,克瑞索斯的召喚物,{ReplaceString1}抖動,金幣副本,@1,請在金幣副本消滅{TaskCount}隻怪物。
208,@207,@207,@207,@1,@207
209,異界縫隙,{ReplaceString1}征服,經驗值副本,@1,請在經驗副本消滅{TaskCount}隻怪物。
210,@209,@209,@209,@1,@209
211,倍封印的入口,@201,召喚石副本,@1,소환석 던전에서 몬스터를 {TaskCount}마리 처치하세요.
