Id,Description
1,게임 해상도를 설정합니다. 옵션 성능이 낮을수록 게임 성능이 높아질 수 있습니다
2,화면에서 보이는 거리를 설정합니다. 옵션 성능이 낮을수록 게임 성능이 높아질 수 있습니다
3,"경계선을 부드럽게 처리합니다. 옵션을 낮추면 사물이 거칠게 묘사되지만, 성능이 높아질 수 있습니다."
4,텍스쳐 마감을 설정합니다. 옵션 성능이 낮을수록 게임 성능이 높아질 수 있습니다
5,그림자 품질을 설정합니다. 옵션 성능이 높아질 수록 사실적인 그래픽이 출력됩니다.
6,화면 수직동기화를 설정합니다. 옵션을 켜면 더욱 부드럽게 그래픽이 출력됩니다.
7,@5
8,텍스쳐 품질을 설정합니다. 옵션 성능이 낮을수록 게임 성능이 높아질 수 있습니다
9,텍스쳐 LOD 레벨
10,해상도 비율을 설정합니다.
11,슬레이트에서 Prepass를 한 번만 수행합니다.
12,내 그림자만 보이기 여부를 설정합니다.
13,화면 재생 속도를 설정합니다.
14,APU 사용과 관련한 그래픽 품질을 설정합니다.
15,메모리 사용과 관련한 그래픽 품질을 설정합니다.
16,사운드 채널 품질을 설정합니다.
17,이펙트 표시 대상을 설정합니다.
18,다른 유저의 네임 태그 출력 정보를 설정합니다.
19,화면에서 표시할 최대 인원을 결정합니다.
20,화면에서 표시될 장비들의 수준을 결정합니다.
21,망토 표시 대상을 설정합니다.
22,"강화 브로드 캐스팅(강화 성공, 강화 실패)의 출력 수준을 결정합니다."
23,최대 음향 볼륨을 조절합니다.
24,배경 음악 볼륨을 조절합니다.
25,효과음 볼륨을 조절합니다.
26,성우 목소리 볼륨을 조절합니다.
27,진동 피드백을 켜고 끕니다.
28,휴대폰 자동 꺼짐을 조절합니다.
29,음성채팅 자동재생을 설정합니다
30,게임 내의 모든 알림을 켜거나 끌 수 있습니다.
31,게임에서 보내는 알림을 받습니다
32,게임에서 보내는 공지 알림을 받습니다.
33,해당 옵션을 끄면 저녁 9시부터 다음 날 아침 8시까지의 알림을 받지 않습니다.
34,해당 옵션을 끄면 토스트 알림(중요 알림 제외)을 사용하지 않습니다.
35,해당 옵션을 끄면 1:1 채팅 토스트 알림을 사용하지 않습니다.
36,해당 옵션을 끄면 혈맹 채팅 토스트 알림을 사용하지 않습니다.
37,해당 옵션을 끄면 파티 채팅 토스트 알림을 사용하지 않습니다.
44,HP포션을 자동으로 사용할 캐릭터의 HP를 설정합니다
45,MP포션을 자동으로 사용할 캐릭터의 MP를 설정합니다.
46,HP가 몇% 이하로 떨어졌을 때 자동으로 힐링스킬을 사용할지를 설정합니다.
47,자동으로 HP포션을 사용할 때 어떤 등급의 포션부터 사용할지 설정합니다.
48,자동으로 MP포션을 사용할 때 어떤 등급의 포션부터 사용할지 설정합니다.
49,내 일반 공격 범위를 표시합니다.
50,자동 전투시 캐릭터가 이동하는 범위를 설정합니다.
51,습득할 장비 아이템의 최소 등급을 설정합니다.
52,현재 유저가 선택한 대상이 바라보는 대상을 표시 합니다.
53,대상의 체력을 다양한 방법으로 표시 합니다.
54,자동 전투 시에 엘리트급 이상 몬스터를 만나면 다른 곳으로 회피합니다
55,"해당 등급 이상의 아이템만 획득하며, 낮은 등급의 아이템은 획득하지 않습니다."
56,
57,
58,
59,가상 조이스틱 조작 영역이 고정 영역인지 여부를 설정합니다.
60,채팅 메시지를 게임에서 사용중인 언어로 번역하는 기능입니다.
61,"채팅 메시지 중 번역 하거나, 번역하지 않을 언어를 설정하는 기능입니다."
62,@61
63,@61
64,@61
65,@61
66,@61
67,@61
68,@61
69,@61
70,@61
71,@61
