Id,Name,Description
1001,增加聖物刻印時間,聖物刻印所需時間增加1秒。
1002,@1001,聖物刻印所需時間增加2秒。
1003,@1001,聖物刻印所需時間增加3秒。
1004,@1001,聖物刻印所需時間增加4秒。
1005,@1001,聖物刻印所需時間增加5秒。
2001,增加防禦塔 HP,방어탑의 HP가 500 증가합니다.
2002,@2001,방어탑의 HP가 1000 증가합니다.
2003,@2001,방어탑의 HP가 1500 증가합니다.
2004,@2001,방어탑의 HP가 2000 증가합니다.
2005,@2001,방어탑의 HP가 2500 증가합니다.
3001,增加陷阱攻擊力,"陷阱攻擊力增加 1% 。
陷阱能給予敵人最大HP%的傷害。"
3002,@3001,"陷阱攻擊力增加 2% 。
陷阱能給予敵人最大HP%的傷害。"
3003,@3001,"陷阱攻擊力增加 3% 。
陷阱能給予敵人最大HP%的傷害。"
3004,@3001,"陷阱攻擊力增加 4% 。
陷阱能給予敵人最大HP%的傷害。"
3005,@3001,"陷阱攻擊力增加 5% 。
陷阱能給予敵人最大HP%的傷害。"
