id,Name,HumanDialog,ElfDialog,DarkElfDialog,DwarfDialog
1,突擊,全部突擊!,突擊吧!,突擊!,突擊!
2,勝利,唯有勝利!,為了勝利!,唯有勝利!,為了勝利!
3,握手問候,最近好嗎!,哈囉?,很高興見到你,哈囉!
4,笑容,哈哈哈哈哈!,哈哈哈！,啊哈哈哈哈哈!,啊哈哈哈哈哈!
5,悲傷,呃啊啊……,哭!哭!,哭哭，哭，哭……,哭哭哭!
6,擊掌,擊掌!,擊掌!,擊掌!,擊掌!
7,拍手,好棒!,好棒喔？,好棒喔？,哇嗚!真棒!
8,挫折,無法相信……,怎麼可以這樣……,怎麼會有這種事……,糟糕……
9,憤怒,好生氣!!,哼!!,呀啊啊啊啊!!!,阿呀!!生氣!
1001,召喚魔物,,,,
1002,마을이동,,,,
10001,競技場人類勝利,,,,
10002,競技場人類戰敗,,,,
10003,競技場精靈勝利,,,,
10004,競技場精靈戰敗,,,,
10005,競技場黑暗精靈勝利,,,,
10006,競技場黑暗精靈戰敗,,,,
10007,競技場矮人勝利,,,,
10008,競技場矮人戰敗,,,,
100001,touch action #1,,,,
100002,touch action #2,,,,
100003,touch action #3,,,,
100004,touch action #4,,,,
