Id,Adventure,Difficulty
1,全部,全部
2,菁英副本,精靈廢墟1樓
3,@2,精靈廢墟2樓
4,@2,螞蟻洞窟地下1樓
5,@2,螞蟻洞窟地下2樓
6,@2,克魯瑪高塔2樓
7,@2,克魯瑪高塔3樓
8,@2,象牙塔地下1樓
9,@2,象牙塔地下2樓
10,採集副本,採集副本
11,裝備副本,簡單
12,@11,普通
13,@11,困難
14,@11,地獄
15,召喚石副本,@11
16,@15,@12
17,@15,@13
101,首領狩獵,精靈牧者
102,@101,裘迪厄
103,@101,基利歐斯
104,@101,銀鬍子
105,@101,貝帕勒
106,@101,卡吉勒
107,@101,弗雷根
108,@101,西斯
109,@101,阿瑪迪斯
111,@101,史坦諾亞
112,@101,瑪夏
118,@2,象牙塔地下3樓
124,시공의 균열,광기의 제단 - 쉬움
125,@124,광기의 제단 - 보통
129,@124,피의 여백작 침소 - 쉬움
130,@124,피의 여백작 침소 - 보통
140,희귀 몬스터 소환석 던전,말하는 섬
141,@140,글루디오
142,@140,디온
143,@140,기란
144,@140,오렌
145,보스 몬스터 소환석 던전,@141
146,@145,@142
147,@145,@143
148,@145,@144
