Id,Name,Description,Unit
1001,戰鬥力,戰鬥力排名,戰鬥力
1,級,角色等級排名,級
2,物理攻擊力,最高物理攻擊力排名,物理攻擊力
3,物理防禦力,最高物理防禦力排名,物理防禦力
4,魔法攻擊力,最高魔法攻擊力排名,魔法攻擊力
5,魔法防禦力,最高魔法防禦力排名,魔法防禦力
6,HP,最高HP排名,HP
7,符文刻印,符文刻印成功次數排名,次數
8,靈藥,靈藥使用排名,個數
9,怪物圖鑑,怪物圖鑑完成數排名,完成數
10,總合等級,伺服器內角色總合等級排名,@1
12,名譽分數,累積名譽分數排名,分數
13,累積次數,累積競技場次數排名,@7
14,累積勝場數,累積競技場勝場數排名,勝場數
15,連勝次數,最高連勝次數排名,@7
18,每週貢獻度,每週個人血盟貢獻度排名,貢獻度
19,累積貢獻度,累積個人血盟貢獻度排名,@18
20,攻城戰貢獻度,個人累積攻城戰貢獻度排名,貢獻度
21,要塞戰貢獻度,個人累積要塞戰貢獻度排名,@20
22,英雄成就,英雄成就分數排名,@12
27,簽到,累積簽到天數排名,天數
28,最高交易價,最高交易價排名,交易價
29,交易次數,最高交易次數排名,@7
30,強化次數,最高強化次數排名,@7
31,附加強化,最高附加強化排名,套用數
32,合成次數,最高合成次數排名,@7
33,進階次數,最高進階次數排名,@7
34,超越次數,最高超越次數排名,@7
35,傲慢之塔,傲慢之塔到達樓層排名,樓層數
48,血盟名聲,血盟名聲排名,@12
49,血盟戰鬥力,血盟戰鬥力排名,@1001
1000,亂鬥場,混戰場排名,@12
4000,名譽戰場,名譽戰場整體排名,@12
4001,@4000,名譽戰場銅色排名第3,@12
4002,@4000,名譽戰場銅色排名第2,@12
4003,@4000,名譽戰場銅色排名第1,@12
4004,@4000,名譽戰場銀色排名第3,@12
4005,@4000,名譽戰場銀色排名第2,@12
4006,@4000,名譽戰場銀色排名第1,@12
4007,@4000,名譽戰場金色排名第3,@12
4008,@4000,名譽戰場金色排名第2,@12
4009,@4000,名譽戰場金色排名第1,@12
4010,@4000,名譽戰場白金排名第3,@12
4011,@4000,名譽戰場白金排名第2,@12
4012,@4000,名譽戰場白金排名第1,@12
4013,@4000,名譽戰場鑽石排名第3,@12
4014,@4000,名譽戰場鑽石排名第2,@12
4015,@4000,名譽戰場鑽石排名第1,@12
4016,@4000,名譽戰場大師排名,@12
4017,@4000,名譽戰場英雄排名,@12
4018,@4000,名譽戰場傳說排名,@12
