Id,Text
1,狩獵
2,任務
3,製作靈藥
4,製作技能書
5,成就
6,休息獎勵
7,立刻達成
8,우정포인트 상점
9,召喚商店
10,消耗品商店
11,金幣商店
12,黃寶石商店
13,禮包商店
14,紅利商店
15,鑽石儲值
16,每日鑽石
17,접속 꾸러미
18,성장 꾸러미
19,菁英副本
20,每日副本
21,傲慢之塔
22,採集副本
23,競技場
24,好友
25,血盟商店
26,혈맹 선물 상점
27,血盟成就
28,藍色鑽石商店
29,血盟捐贈
30,血盟成員問候
31,今日活動
32,名譽戰場
33,용맹의 전장
34,古代戰場
35,아지트 퀘스트
36,"일반, 네임드"
37,월드보스
38,필드보스
39,@20
40,組合
41,分解
42,裝備副本
43,金幣副本
44,召喚石副本
45,아지트 유물
46,寶箱
47,점령 상점
48,攻城戰慶典
49,스크롤 상점
50,活動
51,旅程活動
52,웹 이벤트
53,上線獎勵
54,支援
55,攻城戰
56,要塞戰
57,코어분해
58,집혼석
59,교환
60,자유 요새전
61,시공의 균열
62,정복자의 전당
63,혈맹 던전
