Id,Word
1,8591
2,$
3,【
4,【系統】
5,【國家】
6,【屏顯】
7,【私聊】
8,】
9,200萬
10,a$shole
11,admin
12,administrator
13,aids
14,alta
15,as$hole
16,ASS
17,asshole
18,av
19,a級
20,a漫
21,a書
22,a片
23,bastard
24,bitch
25,blow job
26,bug
27,bug回報人員
28,butthead
29,butthole
30,B央
31,B央  
32,b樣
33,CEO
34,cn
35,com
36,dick
37,erect
38,falundafa
39,FM2
40,fuck
41,ＦＵＣＫ
42,fuckyou
43,fuk
44,G M
45,game
46,GameMaster
47,GＭ
48,ｇm
49,ｇＭ
50,G掰 
51,HK
52,http
53,h站
54,JB
55,ｊｂ
56,JoyBomb
57,kiss my ass
58,K粉
59,K藥
60,k仔
61,K他命
62,lager
63,master
64,net
65,netmarble
66,NT
67,ＮＴ
68,orgasmus
69,PC蛋蛋
70,penis
71,pig
72,piss
73,playboy
74,PUSSY
75,RMB
76,ＲＭＢ
77,screw
78,sex
79,SGM
80,SHIT
81,ＳＨＩＴ
82,sm
83,snk.ni8.net
84,SUCK
85,surpervisor
86,taobao.com
87,tmd
88,TWD
89,ＴＷＤ
90,T幣
91,uk
92,unionnet
93,USD
94,ＵＳＤ
95,vagina
96,vail
97,ＶＡＩＬ
98,vip
99,www
100,YOUXIKA
101,ㄇㄉ  
102,ㄊㄇㄉ
103,ㄊㄋㄋㄉ
104,ㄍㄢˋ
105,ㄎㄠˋ
106,ㄐ掰
107,ㄐ一ㄢˋ
108,ㄐ巴
109,ㄐ八
110,ㄙㄞ你公
111,ㄙㄞ你娘
112,ㄙㄞ你老母
113,ㄙㄞ你老師
114,ㄙㄞ你母
115,ㄙㄞ你爸
116,可待因
117,可因
118,可卡葉
119,可卡因
120,瘸腿幫
121,假幣
122,腳本
123,姦
124,幹
125,硍
126,幹GM
127,幹x
128,幹ㄉ你哇哇叫  
129,幹幹
130,幹幹叫
131,幹幹譙
132,幹雞
133,幹機
134,干機掰
135,幹女人猛射精  
136,奸你
137,幹尼
138,幹你
139,幹妳
140,幹您
141,干你娘
142,干妳娘
143,干您娘
144,幹你娘
145,幹妳娘
146,幹你娘雞巴毛  
147,幹你娘大懶巴
148,幹你娘大懶趴  
149,幹尼娘勒
150,幹你娘臭雞掰
151,干你良
152,干你老母
153,干妳老母
154,幹你老母
155,幹妳老母
156,干你馬
157,干你媽
158,干妳馬
159,干妳媽
160,幹你媽
161,幹妳媽
162,幹你媽b
163,幹你媽逼
164,幹你祖宗
165,幹到
166,幹啦
167,幹拎娘
168,趕羚羊
169,幹勒
170,幹哩娘操機歪  
171,幹林
172,姦夫淫婦
173,幹死
174,干死CS
175,干死GM
176,干死客服
177,干死你
178,幹死你
179,奸殺
180,幹我
181,幹我要射了
182,幹汝
183,奸淫
184,姦淫  
185,奸一奸
186,幹一干
187,幹入
188,奸她
189,幹她
190,幹她媽
191,幹的你挖挖叫  
192,幹的你好爽
193,幹譙
194,干七八
195,幹七八
196,奸他
197,幹他
198,幹它
199,幹牠
200,幹他媽
201,幹炮
202,奸暴
203,幹爆
204,幹呼你勇
205,幹齁你爽
206,強姦
207,強姦你
208,強姦犯
209,強殲
210,江豬媳
211,僵賊
212,強暴
213,強效失意藥
214,開苞
215,客服
216,去你媽
217,去妳媽
218,去您媽
219,去你媽的
220,去你的
221,去妳的
222,去死吧
223,去祂媽
224,去她媽
225,去他媽
226,去它媽
227,去牠媽
228,乾爽
229,激情小電影
230,激情電影
231,硬挺
232,慶紅
233,莖侯
234,雞奸
235,雞姦
