Id,GipText
1,<FontBlue>장비 등급</>은 총 <FontBlue>6단계</>입니다
2,일반 장비 소환 상자는 <FontBlue>1일 3회 무료로 오픈</>할 수 있습니다
3,<FontBlue>오토 버튼</>을 눌러 몬스터를 <FontBlue>자동으로 사냥</>해 보세요
4,월드맵을 눌러서 <FontBlue>원하는 지점</>으로 <FontBlue>이동</>할 수 있습니다
5,월드맵에서 <FontBlue>NPC 및 몬스터</>를 터치하면 해당 지점으로 이동합니다
6,<FontBlue>옵션-전투</>에서 <FontBlue>물약 사용 빈도</>를 설정할 수 있습니다
7,<FontBlue>무기</>에 따라 <FontBlue>스킬을 원하는대로</> 설정할 수 있습니다
8,<FontBlue>레어 스킬</>을 배우면 <FontBlue>스킬 슬롯</> 개수가 <FontBlue>최대 5개</>까지 늘어납니다
9,장비 <FontBlue>합성</> 시 <FontBlue>대상 장비</>의 <FontBlue>종류 및 클래스</>가 모두 <FontBlue>계승</>됩니다
10,<FontBlue>31레벨</>에 전직 퀘스트를 통해 <FontBlue>전직</>할 수 있습니다
11,<FontBlue>룬 각인</>을 통해 <FontBlue>능력치를 대폭 상승</>시킬 수 있습니다
12,<FontBlue>룬 각인</>은 <FontBlue>페이지 순서</>대로 진행할 수 있습니다
13,<FontBlue>주변 룬</>을 <FontBlue>같은 레벨</>로 올리면 중간에 있는 <FontBlue>코어 룬</>의 <FontBlue>레벨</>을 올릴 수 있습니다
14,<FontBlue>보유한 캐릭터들의 레벨이 높을수록</> 보너스 능력을 얻을 수 있습니다
15,<FontBlue>집혼석은 같은 색상의 소켓</>에만 장착 가능합니다
16,<FontBlue>아이템 등급</>에 따라 장착 가능한 <FontBlue>소켓 수</>가 늘어납니다
17,<FontBlue>몬스터 도감</>을 제작하면 다양한 <FontBlue>캐릭터 능력치가 상승</>합니다
18,<FontBlue>요일 던전</>은 <FontBlue>1일 1회 무료로 입장</>할 수 있습니다
19,<FontBlue>결투장</>에서 <FontBlue>명예 등급</>을 올리면 <FontBlue>추가 능력치</>를 받습니다
20,<FontBlue>결투장</>에서는 <FontBlue>일간 명예 점수 보상</>과 <FontBlue>순위 보상</>을 받을 수 있습니다
21,<FontBlue>채집 던전</>에서 등장하는 <FontBlue>라텔로버스트</>를 잡으면 <FontBlue>축복</>을 받아 <FontBlue>채집 속도가 빨라집니다</>
22,채집 중 깜짝 등장하는 <FontBlue>만드라고라</>를 잡으면 <FontBlue>엘릭서 정수</>를 얻을 수 있습니다
23,채집한 약초와 정수로 만든 <FontBlue>엘릭서</>를 <FontBlue>사용</>하면 <FontBlue>능력치</>가 <FontBlue>영구적으로 상승</>합니다
24,오만의 탑을 <FontBlue>더 높이 올라갈수록</> 소탕 보상으로 <FontBlue>더 많은 룬 조각</>을 얻게 됩니다
25,<FontBlue>오만의 탑</>에서는 <FontBlue>5층마다 특별한 보상</>을 얻을 수 있습니다
26,오만의 탑은 <FontBlue>1일 3회 무료</>로 <FontBlue>도전할 수</> 있습니다
27,정예 던전 <FontBlue>핫타임</>엔 <FontBlue>경험치와 장비 드랍률이 증가</>합니다
28,정예 던전은 <FontBlue>PK 패널티를 받는 PVP 가능 지역</>입니다
29,요새전에서 지역을 점령하면 막대한 이득과 명예를 얻을 수 있습니다
31,狩獵野外首領時，可獲得特別獎勵。
35,<FontBlue>요새전</>은 <FontBlue>혈맹 레벨 4</> 이상이 되어야 참여할 수 있습니다
41,<FontBlue>필드 보스 사냥</>을 통해 <FontBlue>레어 스킬북</>과 <FontBlue>고급 장비</>를 획득할 수 있습니다
42,<FontBlue>요새전 승리 혈맹</>은 <FontBlue>지역 사냥에 유리한 버프</>를 얻습니다
44,@29
45,@35
