Id,Value,ButtonString1,ButtonString2
1,[ChatString],,
2,서버와의 연결이 끊어져 재접속되었습니다.,,
3,파티가 생성되었습니다.,,
4,파티에 가입되었습니다.,,
5,<FontGreen>[Name]</>님이 파티에 참가하였습니다.,,
6,파티에서 탈퇴했습니다.,,
7,<FontGreen>[Name]</>님이 파티에서 탈퇴했습니다.,,
8,파티에서 추방되었습니다.,,
9,<FontGreen>[Name]</>님이 파티에서 추방되었습니다.,,
10,해당 파티의 파티장이 되었습니다.,,
11,<FontGreen>[Name]</>님에게 파티장이 위임되었습니다.,,
12,파티가 해산되었습니다.,,
13,"<FontGreen>[Name]</>님이 파티에 초대하였습니다.
파티에 참여하시겠습니까? <FontRed>[Seconds]</>초",거절,참여
14,파티 참가가 거절되었습니다.,,
15,"파티 승인 요청이 있습니다.
승인하시겠습니까? <FontRed>[Seconds]</>초",@13,승인
16,자동파티가 취소 되었습니다.,,
17,"장소 : <FontGreen>[DungeonName]</><FontRed>([Difficulty])</>
<FontBlue>[Name]</>님이 모험을 시작하려 합니다.
 준비하시겠습니까? <FontRed>[Seconds]</>초",@13,수락
18,"장소 : <FontGreen>[DungeonName]</><FontRed>([Difficulty])</>
 <FontRed>[Seconds]</>초 후 <FontGreen>[DungeonName]</><FontRed>([Difficulty])</>
에 입장합니다. 전투에 준비하세요",,
19,"장소 : <FontGreen>[WorldName]</>
<FontBlue>[Name]</> 님께서 당신을 소집합니다.
이동하시겠습니까? <FontRed>[Seconds]</>초",도보 이동,포탈 이동
20,@19,닫기,입장
21,"장소 : <FontGreen>[WorldName]</>
파티 집결지로 이동하시겠습니까? <FontRed>[Seconds]</>초",@19,@19
22,@21,@20,@20
23,"<FontYellow>[Battlefield]</> 파티가 생성되었습니다.
<FontGreen>혼자서</> 혹은 다른 플레이어와 <FontGreen>전장 파티</>를 구성하여 전장에 참여하세요.",,
24,<FontYellow>[Battlefield]</> 파티에 합류하였습니다.,,
25,<FontGreen>[Name]</> 님께서 <FontYellow>[Battlefield]</> 파티에 합류하였습니다.,,
26,<FontYellow>[Battlefield]</> 파티가 해산되었습니다.,,
27,<FontYellow>[Battlefield]</> 파티에서 탈퇴했습니다.,,
28,<FontGreen>[Name]</> 님께서 <FontYellow>[Battlefield]</> 파티에서 탈퇴했습니다.,,
29,"<FontGreen>[Name]</>([Power]) 님이 전장 파티에 초대하였습니다.
<FontYellow>[Battlefield]</> 파티를 승인하시겠습니까 ? <FontRed>[Seconds]</>초",@13,@15
30,"<FontYellow>[BattlefieldType]</> 매칭이 성사되었습니다.
<FontRed>[Seconds]</>초 후 전장에 입장합니다. 전투를 준비하세요.",,
31,[Name] 님께서 친구 맺기를 요청합니다.,친구,
32,[Name] 님과 친구가 되었습니다.,@31,
33,<FontYellow>군주님께서 혈맹 문장을 변경하였습니다.</>,,
