Id,Name,RepresentRewardName,RepresentRewardDescription,Description
200,精靈廢墟1樓,,,回到曾經由精靈教授人類魔法的學校，在這個充滿魔法能量的地方建立了能成為大陸主人的磐石。
201,精靈廢墟2樓,,,在精靈還是主人的時期，只開放給實力卓越者的樓層，會產生比1樓更強大的魔法能量。
202,螞蟻洞窟地下1樓,,,因黑魔法所導致的大爆破之後，在荒原中存活下來的巨大蜘蛛巢穴。
203,螞蟻洞窟地下2樓,,,螞蟻們為了藏匿珍貴的東西，組成了更複雜的迷宮，如果不是螞蟻的話，是很難找到出路的。
204,克魯瑪高塔2樓,,,為了保護古代巨人們創造新生命所進行的活體實驗移動要塞兼實驗所的研究室。
205,克魯瑪高塔3樓,,,原本塔的目的是進行活體實驗的研究室，研究室有很多層且樓層裡面充滿巨人的魔法能量
206,象牙塔地下1樓,,,隕石光霧墜落後產生的空間，在過去曾用來當作研究室和圖書館，而在法師暴走的事件後被封鎖的地方。
207,象牙塔地下2樓,,,曾經是煉金術實驗室，現在則充斥著如堅硬礦物般的蘑菇，穿透地面長出來的地方。
208,象牙塔地下3樓,,,是有隕石光霧的地方，受光霧影響被強化的魔物可以瘋狂亂動的空間
209,상아탑 지하 연구소,,,"네뷸라이트에 미쳐 인체 실험을 진행했던 어느 상아탑 마법사의 연구소이자 그의 봉인지로, 실험체들이 득시글거립니다."
210,비밀의 숲 상층,,,페어리가 거주하고 있는 거주지였으나 전쟁의 위협으로 페어리들이 사라지자 몬스터들이 점령해버린 곳입니다.
211,비밀의 숲 하층,,,비밀의 숲이 우거져 있어 햇빛이 잘 들지 않고 몬스터들에 의해 파괴된 공간입니다.
212,비밀의 숲 학살지,,,"페어리 사냥을 피해 도주하던 페어리들이 최후까지 저항하다가 학살된 곳으로, 항상 음산한 핏빛 안개가 자욱합니다."
4000,무지개 비늘 정원(더미),,,
9000,經驗值副本 I,進階石,獲得隨機進階石1個。,黑暗團體在設置魔物召喚石時，有很多沒發現到的強力物體。為了解除這個東西，必須進入這個空間消滅掉魔物們才行。
9001,經驗值副本 II,@9000,獲得隨機進階石2個。,@9000
9002,經驗值副本 III,@9000,獲得隨機進階石3個。,@9000
9003,經驗值副本 IV,@9000,獲得隨機進階石5個。,@9000
9100,경험치 던전 V,@9000,@9003,@9000
9004,金幣副本 I,@9000,@9000,"這是艾爾摩亞丁的皇帝史奈曼為了建造傲慢之塔而用來保管黃金的城堡。
在貪婪的史奈曼去世後，被遺忘的這座城堡，
現在成為了黃金龍克瑞索斯的巢穴。"
9005,金幣副本 II,@9000,@9001,@9004
9006,金幣副本 III,@9000,@9002,@9004
9009,裝備副本 I,@9000,@9000,"精靈神殿保管了受伊娃祝福的水之水晶。
哈汀為了保護水之水晶不被黑暗團體搶走
命令銀光傭兵團守護神殿。"
9010,裝備副本 II,@9000,@9001,@9009
9011,裝備副本 III,@9000,@9002,@9009
9012,裝備副本 IV,@9000,@9003,@9009
9300,장비 던전 V,@9000,@9003,@9009
9013,召喚石副本I,@9000,@9000,佩勒奈在解除被封印聖物咒術期間保護，攻略副本，獲得召喚石吧
9014,召喚石副本II,@9000,@9001,@9013
9015,召喚石副本III,@9000,@9002,@9013
9016,召喚石副本IV,@9000,@9003,@9013
