GuildRecordType,GuildRecordString
0,[Param1]血盟成員捐贈了[Param2]金幣。
1,[Param1]血盟成員捐贈了[Param2]血之證。
2,血盟增益效果[Param1]提升為[Param2]級。
3,<FontYellow>血盟等級提升為[Param1]級</>
4,對[Param1]血盟<FontRed>宣戰。</>
6,與[Param1]血盟<FontBlue>締結了同盟</>。
7,與[Param1]血盟<FontRed>解除了同盟</>。
8,[Param1]血盟成員提升為[Param2]階級。
10,[Param1]<FontBlue>加入</>了血盟。
11,[Param1]<FontRed>退出</>了血盟。
12,在<FontYellow>[Param1]徵收了[Param2]個鑽石箱為稅收。</>
13,成功攻略的血盟副本<FontBlue>[Param1]</> 。
14,成功攻略的血盟成就<FontGreen>[Param1]</>。
15,<FontYellow>[Param1]成了城堡的主人。</>
16,@CastleAcquired
17,送禮給血盟成員[Param1][Param2][Param3]個<FontGreen></>。
18,獎勵血盟成員[Param1]給了[Param2][Param3]個<FontBlue></>。
19,對所有血盟成員給予了[Param1][Param2]個<FontBlue>獎勵</>。
20,與[Param1]血盟的戰爭中獲得了<FontBlue>勝利</>。
21,與[Param1]血盟的戰爭中<FontRed>敗北</>。
22,與[Param1]血盟的戰爭結果是平手。
23,[Param1]盟主從攻城商店購買了[Param2]。
24,[Param1]血盟成員捐贈了[Param2]血盟紅色星石。
9,從[Param1]<FontRed>自動委任盟主為</>[Param2]。
25,<FontYellow>購買了血盟據點。</>
26,<FontYellow>血盟據點變成了[Param1]級。</>
27,<FontYellow>凝聚水晶成長至[Param1]級。</>
28,打算放棄[Param1]的所有權。
29,放棄了[Param1]的所有權。
30,與[Param1]血盟的戰爭在商討後結束了。
