Id,Value
1,[Param1]加入血盟
2,[Param1]退出血盟
3,[Param1]的階級變成[Param2]
4,[Param1]被任命為新的盟主
5,血盟的等級變成[Param1]
6,已與[Param1]血盟締結同盟
7,已與[Param1]血盟解除同盟
8,[Param1]給[Param2]獎勵
9,[Param1]給所有血盟成員獎勵
10,已成功攻略[Param1]
11,請更新[Param1]的投標金額
12,已延長[Param1]的投標
13,[Param1] 血盟的攻城陣營正遭受攻擊
14,[Param1] 血盟的攻城陣營已被破壞
15,攻城戰開始後，慶典票券將全部重置。 請快去抽商品券。
16,[Time][Param1]已上線
17,由於前盟主長期未上線，已任命[Param1]為盟主。
18,다음 버프가 [Param1]초 후 생성됩니다.
19,[Param1]擊殺[Param2]
20,藍隊獲得了[Param1]{[Param1]|}
21,紅隊獲得了[Param1]{[Param1]|}
22,[Param1]達成連續擊殺[Param2]！
23,[Param1]血盟的[Param2]達成連續擊殺[Param3]！
24,명예의 전장이 열렸습니다. 전장에 합류하세요!
25,[Param1]분 후 명예의 전장이 시작됩니다. 전투를 준비해주세요!
26,용맹의 전장이 열렸습니다. 전장에 합류하세요!
27,[Param1]분 후에용맹의 전장이 시작됩니다. 전투를 준비해주세요!
28,[Param1] 님이 [Param2] 님을 포함하여 총 [Param3]명에게 포상을 내렸습니다.
