Bag Number, Max Inv Size, Expanded Inv Size, Filled Inv Size
1,211,131,149

UItemID,Time Looted,Name,Type,Level,Exp,Count,Liked,Bind,Item Option,Item Option,Item Option,Socket 1,Socket 2,Socket 3,Socket 4, Socket 5,Socket 6,Limit Break Count,Limit Break Add Rate,Ability Level,Ability Upgrade Add Rate
6375262849341703169,43161.3739467593,Dice Points,Material,4,0,50,0,1,,,,,,,,,,0,0,1,0
6375263721773712392,43161.3763541667,Soulshot,Consumables,1,0,5113,0,1,,,,,,,,,,0,0,1,0
6375325491448103944,43161.5468055556,Maned Lion Summoning Stone Fragment,Gemstone,1,0,12,0,1,,,,,,,,,,0,0,1,0
6375325551502148613,43161.5469791667,Maphr's Protection Fragment,Gemstone,1,0,14,0,1,,,,,,,,,,0,0,1,0
6375330600022295553,43161.5609027778,Scroll: Enhance Armor,Scroll,1,0,44,0,1,,,,,,,,,,0,0,1,0
6375330902322562053,43161.5617476852,Scroll: Enhance Accessory,Scroll,1,0,32,0,1,,,,,,,,,,0,0,1,0
6375332298048521216,43161.5655902778,Avadon Gloves(A),Light Armor,30,7250,1,0,1,"Max HP(+15)",,,"","","",,,,0,0,1,0
6375332298048521226,43161.5655902778,Avadon Boots(S),Light Armor,30,18270,1,0,1,"Skill Cooldown Decrease(+150)",,,"","","","",,,0,0,1,0
6375332298052715524,43161.5655902778,+5 Tracker Headgear(R),Light Armor,30,45820,1,0,1,"Max HP(+114)","Penetration(+110)",,"Soul Crystal of Defense(B),Soul Crystal","Soul Crystal of HP(B),Soul Crystal","Soul Crystal of Defense(B),Soul Crystal","Soul Crystal of HP(B),Soul Crystal","Soul Crystal of Defense(B),Soul Crystal",,0,0,1,0
6375340954471220225,43161.5894791667,Rune Fragment,Material,1,0,9999,0,1,,,,,,,,,,0,0,1,0
6375421110997074946,43161.8106712963,Megaphone,Consumables,1,0,30,0,1,,,,,,,,,,0,0,1,0
6375421220376134659,43161.8109722222,Advancement Stone,Material,1,0,3,0,1,,,,,,,,,,0,0,1,0
6375427014974882817,43161.8269675926,Black Bear Summoning Stone Fragment,Gemstone,1,0,18,0,1,,,,,,,,,,0,0,1,0
6375427014979077120,43161.8269675926,Silver Saint Summoning Stone Fragment,Gemstone,1,0,35,0,1,,,,,,,,,,0,0,1,0
6375427014979077121,43161.8269675926,Kukurin Summoning Stone Fragment,Gemstone,1,0,18,0,1,,,,,,,,,,0,0,1,0
6375427661719782407,43161.82875,Elven Ring(B),Accessory,30,2900,1,0,1,,,,"","",,,,,0,0,1,0
6375436921044321280,43161.8542939815,Red Herb,Material,1,0,100,0,1,,,,,,,,,,0,0,1,0
6375437259210081281,43161.8552314815,Weapon Upgrade Stone,Material,1,0,19,0,1,,,,,,,,,,0,0,1,0
6375440076947702786,43161.8630092593,Rune Fragment,Material,1,0,708,0,0,,,,,,,,,,0,0,1,0
6375440657334518796,43161.8646064815,Yellow Herb,Material,1,0,150,0,1,,,,,,,,,,0,0,1,0
6375453384765457412,43161.8997337963,Accessory Upgrade Stone,Material,1,0,16,0,1,,,,,,,,,,0,0,1,0
6375458045014688772,43161.9125925926,Auto-Clear Selection Box,Consumables,1,0,2,0,1,,,,,,,,,,0,0,1,0
6375464029078537218,43161.9290972222,Tattered Relic,Relic,1,0,25,0,1,,,,,,,,,,0,0,1,0
6375467133949821954,43161.9376736111,Blue Herb,Material,1,0,147,0,1,,,,,,,,,,0,0,1,0
6375474724742480899,43161.9586111111,Red Starstone,Gemstone,1,0,879,0,1,,,,,,,,,,0,0,1,0
6375477667063514117,43161.9667361111,Soul Crystal of HP(B),Soul Crystal,1,0,3,0,1,,,,,,,,,,0,0,1,0
