Id,Type,DamageDealtCorrection,HealingCorrection,DamageTakenCorrection
1,1,1000,1000,1100
2,2,1000,1000,1000
3,3,1000,1000,1000
4,4,1000,1000,1000
5,5,1000,1000,1000
6,6,1000,1000,1000
7,7,1000,1000,1000
8,8,1000,1000,1000
9,9,1000,1000,1000
10,10,1000,1000,1000
11,11,1000,1000,1000
12,12,1000,1000,1000
13,13,1000,1000,1000
14,14,1000,1000,1000
15,15,1000,1000,1000
16,16,1000,1000,1000
31,31,800,800,800
32,32,800,800,800
33,33,800,800,800
34,34,800,800,800
35,35,800,800,800
36,36,800,800,800
37,37,800,800,800
38,38,800,800,800
39,39,800,800,800
40,40,800,800,800
41,41,800,800,800
42,42,800,800,800
43,43,800,800,800
44,44,800,800,800
45,45,800,800,800
46,46,800,800,800
61,61,600,600,600
62,62,600,600,600
63,63,600,600,600
64,64,600,600,600
65,65,600,600,600
66,66,600,600,600
67,67,600,600,600
68,68,600,600,600
69,69,600,600,600
70,70,600,600,600
71,71,600,600,600
72,72,600,600,600
73,73,600,600,600
74,74,600,600,600
75,75,600,600,600
76,76,600,600,600
91,91,400,400,400
92,92,400,400,400
93,93,400,400,400
94,94,400,400,400
95,95,400,400,400
96,96,400,400,400
97,97,400,400,400
98,98,400,400,400
99,99,400,400,400
100,100,400,400,400
101,101,400,400,400
102,102,400,400,400
103,103,400,400,400
104,104,400,400,400
105,105,400,400,400
106,106,400,400,400
