Id,Difficulty,ClearRewardItemID1,ClearRewardItemCount1,ClearRewardItemID2,ClearRewardItemCount2,ClearRewardItemID3,ClearRewardItemCount3
1,0,911001,2,911005,2,,
2,0,911001,2,911005,4,,
3,0,911001,2,911005,6,,
4,1,911002,2,911005,4,,
5,1,911002,2,911005,6,,
6,1,911002,2,911005,8,,
7,2,911003,2,914001,6,,
8,2,911003,2,914001,8,,
9,2,911003,2,914001,10,,
10,3,911004,2,914001,8,,
11,3,911004,2,914001,10,,
12,3,911004,2,914001,12,,
13,4,911004,2,911003,2,914001,10
14,4,911004,2,911003,2,914001,12
15,4,911004,2,911003,2,914001,14
