CapeInfoId,Level,ExpForNextLevel,LevelUpItem,Resource,OptionEffectParam,EquipEffectId
70001,1,2,1302001,"Guild,1",10000,7000101
70001,2,7,1302001,"Guild,1",11400,7000101
70001,3,12,1302001,"Guild,1",12700,7000101
70001,4,17,1302001,"Guild,1",14100,7000101
70001,5,22,1302001,"Guild,1",15500,7000101
70001,6,27,1302001,"Guild,1",16900,7000101
70001,7,32,1302001,"Guild,1",18300,7000101
70001,8,37,1302001,"Guild,1",19600,7000101
70001,9,42,1302001,"Guild,1",21000,7000101
70001,10,70,1302001,"Guild,2",22400,7000101
70001,11,120,1302001,"Guild,2",23800,7000101
70001,12,170,1302001,"Guild,2",25200,7000101
70001,13,220,1302001,"Guild,2",26500,7000101
70001,14,270,1302001,"Guild,2",27900,7000101
70001,15,320,1302001,"Guild,2",29300,7000101
70001,16,370,1302001,"Guild,2",30700,7000101
70001,17,420,1302001,"Guild,2",32100,7000101
70001,18,470,1302001,"Guild,2",33400,7000101
70001,19,520,1302001,"Guild,2",34800,7000101
70001,20,770,1302001,"Guild,3",36200,7000101
70001,21,1020,1302001,"Guild,3",37600,7000101
70001,22,1270,1302001,"Guild,3",39000,7000101
70001,23,1520,1302001,"Guild,3",40300,7000101
70001,24,1770,1302001,"Guild,3",41700,7000101
70001,25,2020,1302001,"Guild,3",43100,7000101
70001,26,2270,1302001,"Guild,3",44500,7000101
70001,27,2520,1302001,"Guild,3",45900,7000101
70001,28,2770,1302001,"Guild,3",47200,7000101
70001,29,3020,1302001,"Guild,3",48600,7000101
70001,30,,1302001,"Guild,4",50000,7000101
70002,1,100,1302005,"Fortress,1",10000,7000201
70002,2,100,1302005,"Fortress,1",11400,7000201
70002,3,100,1302005,"Fortress,1",12700,7000201
70002,4,100,1302005,"Fortress,1",14100,7000201
70002,5,150,1302005,"Fortress,1",15500,7000201
70002,6,150,1302005,"Fortress,1",16900,7000201
70002,7,150,1302005,"Fortress,1",18300,7000201
70002,8,150,1302005,"Fortress,1",19600,7000201
70002,9,150,1302005,"Fortress,1",21000,7000201
70002,10,250,1302005,"Fortress,1",22400,7000201
70002,11,250,1302005,"Fortress,1",23800,7000201
70002,12,250,1302005,"Fortress,1",25200,7000201
70002,13,250,1302005,"Fortress,1",26500,7000201
70002,14,250,1302005,"Fortress,1",27900,7000201
70002,15,350,1302005,"Fortress,1",29300,7000201
70002,16,350,1302005,"Fortress,1",30700,7000201
70002,17,350,1302005,"Fortress,1",32100,7000201
70002,18,350,1302005,"Fortress,1",33400,7000201
70002,19,350,1302005,"Fortress,1",34800,7000201
70002,20,450,1302005,"Fortress,1",36200,7000201
70002,21,450,1302005,"Fortress,1",37600,7000201
70002,22,450,1302005,"Fortress,1",39000,7000201
70002,23,450,1302005,"Fortress,1",40300,7000201
70002,24,450,1302005,"Fortress,1",41700,7000201
70002,25,550,1302005,"Fortress,1",43100,7000201
70002,26,550,1302005,"Fortress,1",44500,7000201
70002,27,550,1302005,"Fortress,1",45900,7000201
70002,28,550,1302005,"Fortress,1",47200,7000201
70002,29,550,1302005,"Fortress,1",48600,7000201
70002,30,650,1302005,"Fortress,1",50000,7000201
70003,1,100,1302006,"Castle,1",10000,7000301
70003,2,100,1302006,"Castle,1",11400,7000301
70003,3,100,1302006,"Castle,1",12700,7000301
70003,4,100,1302006,"Castle,1",14100,7000301
70003,5,150,1302006,"Castle,1",15500,7000301
70003,6,150,1302006,"Castle,1",16900,7000301
70003,7,150,1302006,"Castle,1",18300,7000301
70003,8,150,1302006,"Castle,1",19600,7000301
70003,9,150,1302006,"Castle,1",21000,7000301
70003,10,250,1302006,"Castle,1",22400,7000301
70003,11,250,1302006,"Castle,1",23800,7000301
70003,12,250,1302006,"Castle,1",25200,7000301
70003,13,250,1302006,"Castle,1",26500,7000301
70003,14,250,1302006,"Castle,1",27900,7000301
70003,15,350,1302006,"Castle,1",29300,7000301
70003,16,350,1302006,"Castle,1",30700,7000301
70003,17,350,1302006,"Castle,1",32100,7000301
70003,18,350,1302006,"Castle,1",33400,7000301
70003,19,350,1302006,"Castle,1",34800,7000301
70003,20,450,1302006,"Castle,1",36200,7000301
70003,21,450,1302006,"Castle,1",37600,7000301
70003,22,450,1302006,"Castle,1",39000,7000301
70003,23,450,1302006,"Castle,1",40300,7000301
70003,24,450,1302006,"Castle,1",41700,7000301
70003,25,550,1302006,"Castle,1",43100,7000301
70003,26,550,1302006,"Castle,1",44500,7000301
70003,27,550,1302006,"Castle,1",45900,7000301
70003,28,550,1302006,"Castle,1",47200,7000301
70003,29,550,1302006,"Castle,1",48600,7000301
70003,30,650,1302006,"Castle,1",50000,7000301
71001,1,2,1301001,"Private,0",10000,7100101
71001,2,7,1301001,"Private,0",11400,7100102
71001,3,12,1301001,"Private,0",12700,7100103
71001,4,17,1301001,"Private,0",14100,7100104
71001,5,22,1301001,"Private,0",15500,7100105
71001,6,27,1301001,"Private,0",16900,7100106
71001,7,32,1301001,"Private,0",18300,7100107
71001,8,37,1301001,"Private,0",19600,7100108
71001,9,42,1301001,"Private,0",21000,7100109
71001,10,70,1301001,"Private,0",22400,7100110
71001,11,120,1301001,"Private,0",23800,7100111
71001,12,170,1301001,"Private,0",25200,7100112
71001,13,220,1301001,"Private,0",26500,7100113
71001,14,270,1301001,"Private,0",27900,7100114
71001,15,320,1301001,"Private,0",29300,7100115
71001,16,370,1301001,"Private,0",30700,7100116
71001,17,420,1301001,"Private,0",32100,7100117
71001,18,470,1301001,"Private,0",33400,7100118
71001,19,520,1301001,"Private,0",34800,7100119
71001,20,770,1301001,"Private,0",36200,7100120
71001,21,1020,1301001,"Private,0",37600,7100121
71001,22,1270,1301001,"Private,0",39000,7100122
71001,23,1520,1301001,"Private,0",40300,7100123
71001,24,1770,1301001,"Private,0",41700,7100124
71001,25,2020,1301001,"Private,0",43100,7100125
71001,26,2270,1301001,"Private,0",44500,7100126
71001,27,2520,1301001,"Private,0",45900,7100127
71001,28,2770,1301001,"Private,0",47200,7100128
71001,29,3020,1301001,"Private,0",48600,7100129
71001,30,3270,1301001,"Private,0",50000,7100130
71001,31,3290,1301001,"Private,0",51400,7100131
71001,32,3310,1301001,"Private,0",52800,7100132
71001,33,3330,1301001,"Private,0",54200,7100133
71001,34,3350,1301001,"Private,0",55600,7100134
71001,35,3370,1301001,"Private,0",57000,7100135
71001,36,3390,1301001,"Private,0",58400,7100136
71001,37,3410,1301001,"Private,0",59800,7100137
71001,38,3430,1301001,"Private,0",61200,7100138
71001,39,3450,1301001,"Private,0",62600,7100139
71001,40,,1301001,"Private,0",64000,7100140
71002,1,2,1301001,"Private,2",10000,7100201
71002,2,7,1301001,"Private,2",11400,7100202
71002,3,12,1301001,"Private,2",12700,7100203
71002,4,17,1301001,"Private,2",14100,7100204
71002,5,22,1301001,"Private,2",15500,7100205
71002,6,27,1301001,"Private,2",16900,7100206
71002,7,32,1301001,"Private,2",18300,7100207
71002,8,37,1301001,"Private,2",19600,7100208
71002,9,42,1301001,"Private,2",21000,7100209
71002,10,70,1301001,"Private,2",22400,7100210
71002,11,120,1301001,"Private,2",23800,7100211
71002,12,170,1301001,"Private,2",25200,7100212
71002,13,220,1301001,"Private,2",26500,7100213
71002,14,270,1301001,"Private,2",27900,7100214
71002,15,320,1301001,"Private,2",29300,7100215
71002,16,370,1301001,"Private,2",30700,7100216
71002,17,420,1301001,"Private,2",32100,7100217
71002,18,470,1301001,"Private,2",33400,7100218
71002,19,520,1301001,"Private,2",34800,7100219
71002,20,770,1301001,"Private,2",36200,7100220
71002,21,1020,1301001,"Private,2",37600,7100221
71002,22,1270,1301001,"Private,2",39000,7100222
71002,23,1520,1301001,"Private,2",40300,7100223
71002,24,1770,1301001,"Private,2",41700,7100224
