Id,MaxLevel
1,5
2,5
3,5
4,5
5,5
6,5
7,5
8,5
9,5
10,5
11,5
12,5
13,5
14,5
15,5
16,5
17,5
18,5
19,5
100101,5
100102,5
100103,5
100104,5
100201,5
100202,5
100203,5
100204,5
100301,5
100302,5
100303,5
100304,5
100401,5
100402,5
100403,5
100404,5
100405,5
100501,5
100502,5
100503,5
100504,5
100601,5
100602,5
100603,5
100604,5
100701,5
100702,5
100703,5
100704,5
100801,5
100802,5
100803,5
100804,5
100901,5
100902,5
100903,5
100904,5
101001,5
101002,5
101003,5
101101,5
101102,5
101103,5
101201,5
101202,5
101203,5
101204,5
101205,5
101301,5
101302,5
101303,5
101304,5
101401,5
101402,5
101403,5
101404,5
101501,5
101502,5
101503,5
101504,5
101601,5
101602,5
101603,5
101604,5
101701,5
101702,5
101703,5
101704,5
101705,5
101801,5
101802,5
101803,5
101804,5
101901,5
101902,5
101903,5
101904,5
101905,5
