Id,Name,Desc,EffectType,EffectParamMin,EffectParamMax,EffectParamGrowth,OptionGroup
10101201,물리 공격력,,1,42,42,1,10101201
10101202,마법 공격력,,2,42,42,1,10101201
10101203,관통,,101,25,25,1,10101201
10101204,크리티컬,,10,42,42,1,10101201
10101205,크리티컬 대미지 증가율,,9,30,30,1,10101201
10101206,명중,,29,40,40,1,10101201
10101207,방어 무시 대미지,,36,1,1,1,10101201
10101208,공격속도 증가율,,7,152,152,1,10101201
10101209,HP 흡수율,,52,20,20,1,10101201
10101210,경험치 획득량 증가율,,87,80,80,1,10101201
10101211,아데나 획득량 증가율,,89,80,80,1,10101201
10101212,,,65,1,1,1,10101201
10101213,,,65,1,1,1,10101201
10101214,,,65,1,1,1,10101201
10101215,,,65,1,1,1,10101201
10101216,,,65,1,1,1,10101201
10101217,,,65,1,1,1,10101201
10101218,,,65,1,1,1,10101201
10101219,,,65,1,1,1,10101201
10101220,,,65,1,1,1,10101201
10101301,물리 공격력,,1,119,119,1,10101301
10101302,마법 공격력,,2,119,119,1,10101301
10101303,관통,,101,83,83,1,10101301
10101304,크리티컬,,10,155,155,1,10101301
10101305,크리티컬 대미지 증가율,,9,92,92,1,10101301
10101306,명중,,29,106,106,1,10101301
10101307,방어 무시 대미지,,36,2,2,1,10101301
10101308,공격속도 증가율,,7,299,299,1,10101301
10101309,HP 흡수율,,52,32,32,1,10101301
10101310,경험치 획득량 증가율,,87,148,148,1,10101301
10101311,아데나 획득량 증가율,,89,148,148,1,10101301
10101312,,,65,1,1,1,10101301
10101313,,,65,1,1,1,10101301
10101314,,,65,1,1,1,10101301
10101315,,,65,1,1,1,10101301
10101316,,,65,1,1,1,10101301
10101317,,,65,1,1,1,10101301
10101318,,,65,1,1,1,10101301
10101319,,,65,1,1,1,10101301
10101320,,,65,1,1,1,10101301
10101401,물리 공격력,,1,395,395,1,10101401
10101402,마법 공격력,,2,395,395,1,10101401
10101403,관통,,101,293,293,1,10101401
10101404,크리티컬,,10,556,556,1,10101401
10101405,크리티컬 대미지 증가율,,9,312,312,1,10101401
10101406,명중,,29,342,342,1,10101401
10101407,방어 무시 대미지,,36,6,6,1,10101401
10101408,공격속도 증가율,,7,594,594,1,10101401
10101409,HP 흡수율,,52,57,57,1,10101401
10101410,경험치 획득량 증가율,,87,285,285,1,10101401
10101411,아데나 획득량 증가율,,89,285,285,1,10101401
10101412,,,65,1,1,1,10101401
10101413,,,65,1,1,1,10101401
10101414,,,65,1,1,1,10101401
10101415,,,65,1,1,1,10101401
10101416,,,65,1,1,1,10101401
10101417,,,65,1,1,1,10101401
10101418,,,65,1,1,1,10101401
10101419,,,65,1,1,1,10101401
