Id,Name,Desc,ProductType,ItemInfoId,ProductValue
1,성장 다이아 I,가,2,,1500
1,성장 다이아 I,가,6,911122,1
2,성장 다이아 I,가,2,,500
2,성장 다이아 I,가,6,491010,1
3,성장 다이아 I,가,2,,500
3,성장 다이아 I,가,6,491020,1
4,성장 다이아 I,가,2,,1000
4,성장 다이아 I,가,6,491030,1
5,성장 다이아 I,가,2,,1500
5,성장 다이아 I,가,6,491045,1
6,성장 다이아 I,가,2,,1500
6,성장 다이아 I,가,6,491070,1
7,성장 다이아 I,가,2,,2000
7,성장 다이아 I,가,6,491120,1
11,접속 다이아,가,2,,1500
12,접속 다이아,가,2,,200
12,접속 다이아,가,6,490019,1
12,접속 다이아,가,6,910007,1
13,접속 다이아,가,2,,200
13,접속 다이아,가,6,490019,1
13,접속 다이아,가,6,910007,2
13,접속 다이아,가,6,410002,1
14,접속 다이아,가,2,,200
14,접속 다이아,가,6,490019,2
14,접속 다이아,가,6,910007,3
14,접속 다이아,가,6,410003,1
15,접속 다이아,가,2,,200
15,접속 다이아,가,6,490019,2
15,접속 다이아,가,6,910007,4
15,접속 다이아,가,6,410001,1
16,접속 다이아,가,2,,200
16,접속 다이아,가,6,490019,3
16,접속 다이아,가,6,910007,6
16,접속 다이아,가,6,410002,1
17,접속 다이아,가,2,,200
17,접속 다이아,가,6,490019,3
17,접속 다이아,가,6,910007,8
17,접속 다이아,가,6,410003,1
18,접속 다이아,가,2,,200
18,접속 다이아,가,6,490019,5
18,접속 다이아,가,6,910007,10
18,접속 다이아,가,6,410001,1
20,SR등급,,2,,1000
21,SR등급,,2,,500
21,SR등급,,6,911174,2
21,SR등급,,6,400001,500
22,SR등급,,2,,500
22,SR등급,,6,911174,2
22,SR등급,,6,400001,500
23,SR등급,,2,,500
23,SR등급,,6,911174,2
23,SR등급,,6,400001,500
24,SR등급,,2,,500
24,SR등급,,6,911174,2
24,SR등급,,6,400001,500
25,SR등급,,2,,500
25,SR등급,,6,911174,2
25,SR등급,,6,400001,500
26,SR등급,,2,,500
26,SR등급,,6,911174,2
26,SR등급,,6,400001,500
27,SR등급,,2,,500
27,SR등급,,6,911174,2
27,SR등급,,6,400001,500
28,SR등급,,2,,500
28,SR등급,,6,911174,2
28,SR등급,,6,400001,500
30,시나리오 I,,2,,1000
31,시나리오 I,,2,,500
31,시나리오 I,,6,910301,1
31,시나리오 I,,6,449999,1
31,시나리오 I,,6,400002,40
32,시나리오 I,,2,,500
32,시나리오 I,,6,910301,1
32,시나리오 I,,6,449999,1
32,시나리오 I,,6,400002,40
33,시나리오 I,,2,,500
33,시나리오 I,,6,910301,1
33,시나리오 I,,6,449999,1
33,시나리오 I,,6,400002,40
34,시나리오 I,,2,,500
34,시나리오 I,,6,910301,1
34,시나리오 I,,6,449999,1
34,시나리오 I,,6,400002,40
35,시나리오 I,,2,,500
35,시나리오 I,,6,910301,1
35,시나리오 I,,6,449999,1
35,시나리오 I,,6,400002,40
36,시나리오 I,,2,,500
36,시나리오 I,,6,910301,1
36,시나리오 I,,6,449999,1
36,시나리오 I,,6,400002,40
37,시나리오 I,,2,,500
37,시나리오 I,,6,910301,1
37,시나리오 I,,6,449999,1
37,시나리오 I,,6,400002,40
38,시나리오 I,,2,,500
38,시나리오 I,,6,910301,1
38,시나리오 I,,6,449999,1
38,시나리오 I,,6,400002,40
39,시나리오 I,,2,,500
39,시나리오 I,,6,910301,1
39,시나리오 I,,6,449999,1
39,시나리오 I,,6,400002,40
40,시나리오 I,,2,,500
40,시나리오 I,,6,910301,1
40,시나리오 I,,6,449999,1
40,시나리오 I,,6,400002,40
1001,성장 다이아 II,,2,,1500
1001,성장 다이아 II,,6,490027,1
1002,성장 다이아 II,,2,,500
1002,성장 다이아 II,,6,490066,20
1003,성장 다이아 II,,2,,500
1003,성장 다이아 II,,6,490066,20
1004,성장 다이아 II,,2,,1000
1004,성장 다이아 II,,6,490027,1
1005,성장 다이아 II,,2,,1000
1005,성장 다이아 II,,6,490066,20
1006,성장 다이아 II,,2,,1000
1006,성장 다이아 II,,6,490066,20
1007,성장 다이아 II,,2,,1000
1007,성장 다이아 II,,6,490037,1
1101,성장 선물 꾸러미 III,,2,,2000
1102,성장 선물 꾸러미 III,,2,,1000
1102,성장 선물 꾸러미 III,,6,510011,1
1103,성장 선물 꾸러미 III,,2,,1000
1103,성장 선물 꾸러미 III,,6,510102,25
1104,성장 선물 꾸러미 III,,2,,1000
1104,성장 선물 꾸러미 III,,6,510102,25
1105,성장 선물 꾸러미 III,,2,,1000
1105,성장 선물 꾸러미 III,,6,911013,1
1106,성장 선물 꾸러미 III,,2,,1000
1106,성장 선물 꾸러미 III,,6,510102,25
1107,성장 선물 꾸러미 III,,2,,1000
1107,성장 선물 꾸러미 III,,6,510102,25
1108,성장 선물 꾸러미 III,,2,,2000
1109,성장 선물 꾸러미 III,,6,490038,1
1201,성장 선물 꾸러미 IV,,2,,3000
1202,성장 선물 꾸러미 IV,,2,,1000
1202,성장 선물 꾸러미 IV,,6,911013,3
1203,성장 선물 꾸러미 IV,,6,400000,10
1204,성장 선물 꾸러미 IV,,2,,2000
1204,성장 선물 꾸러미 IV,,6,490096,1
1205,성장 선물 꾸러미 IV,,2,,1000
1205,성장 선물 꾸러미 IV,,6,911013,3
1206,성장 선물 꾸러미 IV,,2,,2000
1206,성장 선물 꾸러미 IV,,6,490096,2
1207,성장 선물 꾸러미 IV,,2,,1000
1207,성장 선물 꾸러미 IV,,6,911013,3
1300,시나리오 II,,2,,1000
1301,시나리오 II,,2,,1000
1301,시나리오 II,,6,910301,1
1301,시나리오 II,,6,449999,1
1301,시나리오 II,,6,400002,40
1302,시나리오 II,,2,,1000
1302,시나리오 II,,6,910301,1
1302,시나리오 II,,6,449999,1
1302,시나리오 II,,6,400002,40
1303,시나리오 II,,2,,1000
1303,시나리오 II,,6,910301,1
1303,시나리오 II,,6,449999,1
1303,시나리오 II,,6,400002,40
1304,시나리오 II,,2,,1000
1304,시나리오 II,,6,910301,1
1304,시나리오 II,,6,449999,1
1304,시나리오 II,,6,400002,40
1310,시나리오 꾸러미 III,,2,,2000
1311,시나리오 꾸러미 III,,2,,1000
1311,시나리오 꾸러미 III,,6,1000104,1
1311,시나리오 꾸러미 III,,6,449999,30
1311,시나리오 꾸러미 III,,6,910237,2
1312,시나리오 꾸러미 III,,2,,1000
1312,시나리오 꾸러미 III,,6,1000104,1
1312,시나리오 꾸러미 III,,6,449999,30
1312,시나리오 꾸러미 III,,6,910237,2
1313,시나리오 꾸러미 III,,2,,1000
1313,시나리오 꾸러미 III,,6,1000104,1
1313,시나리오 꾸러미 III,,6,449999,30
1313,시나리오 꾸러미 III,,6,910237,2
10101,누적 충전 보상,축복받은 강화주문서 상자 1개,6,900011,1
10101,누적 충전 보상,10000 아데나,1,,10000
10102,누적 충전 보상,축복받은 강화주문서 선택 상자 1개,6,910237,1
10102,누적 충전 보상,10000 아데나,1,,10000
10103,누적 충전 보상,축복받은 강화주문서 선택 상자 1개,6,910237,1
10103,누적 충전 보상,마프르의 가호 1개,6,400000,1
