Id,Keyword,ConditionType,ConditionValue,ConditionSubValue,ShowInProgressBar,SortNum,ContentsDesc,Name,ContentIcon,BadgeType
1,FORGE,2,1011,0,1,1,다양한 방법으로 장비의 성능을 향상시킵니다.,대장간,UI_Btn_EquipmentEnhancement,22
2,SOULSHOT,2,1017,0,1,2,무기에 정령의 힘을 부여하여 강한 공격을 가합니다.,정령탄,UI_Icon_Soulshot2,271
3,DUNGEON,2,1025,0,0,,,던전,UI_Btn_Dungeon,33
4,DAILY_DUNGEON,2,1025,0,1,3,요일별로 다양한 보스와 보상을 만날 수 있는 던전입니다.,요일 던전,UI_Btn_Dungeon,130
5,HEROIC,2,1036,0,1,5,아덴을 모험할수록 더 많은 보상을 얻습니다.,업적,UI_Btn_Achievement,27
6,FRIEND,0,1,0,0,,,친구,UI_Btn_Friend,49
8,GACHA_PREMIUM,2,1041,0,1,6,매일 최소 A급 이상의 장비 또는 연마제를 무료로 얻습니다.,프리미엄 장비,UI_Btn_DiaShop,105
10,PVP,2,1106,0,1,8,아덴의 다양한 모험가들과 실력을 겨룹니다.,결투장,UI_Btn_BattleField,150
11,RANKING,0,1,0,0,,,랭킹,UI_Btn_Ranking,35
12,COMPOSITION,2,1111,0,1,9,두 장비를 합성하여 한 등급 높은 장비를 얻습니다.,합성,UI_Btn_EquipmentEnhancement,121
13,ENCHANT,2,1115,0,1,14,강화주문서를 사용하여 장비의 성능을 향상시킵니다.,강화,UI_Btn_EquipmentEnhancement,122
14,GUILD,0,10,,0,,,혈맹,UI_Btn_Guild,54
15,INFINITY_DUNGEON,2,1120,0,1,10,끝없이 높은 탑에 도전하여 자신의 한계를 시험합니다.,오만의 탑,UI_Btn_Dungeon,131
16,RUNE,2,1120,5,1,11,룬을 각인하여 자신의 능력을 영구히 향상시킵니다.,룬 각인,UI_Btn_Rune,8
17,UPGRADE,2,1125,0,1,12,장비의 외형과 옵션을 보존하면서 등급을 향상시킵니다.,승급,UI_Btn_EquipmentEnhancement,120
18,DAILY_ACTIVITY,2,1132,0,0,,,오늘의 활동,UI_Btn_Mission,111
19,MISSION_REQUEST,2,2005,0,0,,,일일 퀘스트,UI_Btn_QuestProgress,271
20,REQUEST_WEEKLY,2,2010,0,0,,,주간 퀘스트,UI_Btn_QuestProgress,271
21,SOUL_CRYSTAL,2,2118,0,1,15,장비에 혼이 담긴 보석을 박아 특수한 능력을 얻습니다.,집혼석,UI_Btn_JewelCraft,23
22,ELITE_DUNGEON_0,2,2102,0,1,13,몹시 위험하지만 멋진 보상이 있는 던전에 도전합니다.,정예 던전,UI_Btn_Dungeon,133
23,ELITE_DUNGEON_1,2,2102,0,0,,,엘프의 유적지 1층,UI_Btn_Dungeon,271
24,MONSTER_BOOK,2,2122,3,1,16,몬스터의 코어를 수집하여 다양한 보상을 얻습니다.,몬스터 도감,UI_Btn_MonsterBook,28
25,UNIQUE_SKILL,2,2126,0,1,17,"쉽게 얻을 수 없지만, 강력한 스킬을 사용할 수 있습니다.",레어 스킬,UI_Btn_Skill,271
27,AUCTION_HOUSE,0,21,0,0,,,거래소,UI_Btn_AuctionHouse,39
28,ELIXIR,2,3324,6,1,18,엘릭서를 복용하여 자신의 능력을 영구히 향상시킵니다.,엘릭서,UI_Btn_MiscCraft,271
29,COLLECT_DUNGEON,2,3326,0,1,19,엘릭서 제조에 필요한 약초를 채집할 수 있습니다.,채집 던전,UI_Btn_Dungeon,132
30,AUTO_COMBAT,2,1025,0,1,4,캐릭터가 스스로 주변의 적을 찾아 전투를 수행합니다.,자동 전투,UI_Btn_AutoCombat3,271
40,CHARACTER_TITLE,2,1036,0,0,,칭호 입니다.,칭호,UI_Btn_CharacterTitle,169
101,DAILY_DUNGEON_NORMAL,2,1025,,0,,,요일 던전(보통),UI_Btn_Dungeon,271
102,ELITE_DUNGEON_2,0,20,,0,,,엘프의 유적지 2층,UI_Btn_Dungeon,271
103,CLASS_TRANSFER,0,31,,0,,,전직,UI_Btn_Class,271
104,DAILY_DUNGEON_HARD,2,1025,,0,,,요일 던전(어려움),UI_Btn_Dungeon,271
105,ELITE_DUNGEON_3,0,30,,0,,,개미굴 지하 1층,UI_Btn_Dungeon,271
106,ELITE_DUNGEON_4,0,45,,0,,,개미굴 지하 2층,UI_Btn_Dungeon,271
107,DAILY_DUNGEON_EXPERT,2,1025,,0,,,요일 던전(매우 어려움),UI_Btn_Dungeon,271
108,ELITE_DUNGEON_5,0,65,,0,,,크루마 탑 2층,UI_Btn_Dungeon,271
109,ELITE_DUNGEON_6,0,90,,0,,,크루마 탑 3층,UI_Btn_Dungeon,271
110,ELITE_DUNGEON_7,0,128,,0,,,상아탑 지하 1층,UI_Btn_Dungeon,271
111,ELITE_DUNGEON_8,0,140,,0,,,상아탑 지하 2층,UI_Btn_Dungeon,271
