Id,TaskType,TaskCondition,TaskCount,RewardRatio,Name,CostAdena,AdenaRewardGroupId,CostDiamond,DiamondRewardGroupId,ContentsType,UseLevelReward
1,93,,1,1,오만의 탑,300,1,2,101,12,
2,97,,20,10,채집 던전,20000,2,100,102,12,
4,95,Easy,1,1,봉인된 기억의 성소,25000,4,100,104,12,
5,95,Normal,1,1,봉인된 기억의 성소,25000,5,100,105,12,
6,95,Hard,1,1,봉인된 기억의 성소,25000,6,100,106,12,
7,95,Hell,1,1,봉인된 기억의 성소,25000,7,100,107,12,
8,130,,12,1,일일 퀘스트,10000,8,40,108,0,1
9,131,,10,1,주간 퀘스트,18750,9,75,109,1,1
10,100,200,1,1,엘프의 유적지 1층,7000,10,75,110,12,
11,100,201,1,1,엘프의 유적지 2층,12000,11,65,111,12,
12,100,202,1,1,개미굴 지하 1층,17000,12,100,112,12,
13,100,203,1,1,개미굴 지하 2층,22000,13,120,113,12,
14,100,204,1,1,크루마 탑 2층,27000,14,160,114,12,
15,100,205,1,1,크루마 탑 3층,32000,15,180,115,12,
16,100,206,1,1,상아탑 지하 1층,37000,16,220,116,12,
17,100,207,1,1,상아탑 지하 2층,42000,17,240,117,12,
18,102,Easy,1,1,아데나 던전,10000,21,60,121,12,
19,102,Normal,1,1,아데나 던전,20000,22,120,122,12,
20,102,Hard,1,1,아데나 던전,24000,23,160,123,12,
21,102,Hell,1,1,아데나 던전,30000,24,200,124,12,
22,101,Easy,1,1,장비 던전,50000,31,200,131,12,
23,101,Normal,1,1,장비 던전,50000,32,200,132,12,
24,101,Hard,1,1,장비 던전,50000,33,200,133,12,
25,101,Hell,1,1,장비 던전,50000,34,200,134,12,
26,103,Easy,1,1,경험치 던전,50000,41,200,141,8,1
27,103,Normal,1,1,경험치 던전,50000,41,200,141,9,1
28,103,Hard,1,1,경험치 던전,50000,41,200,141,10,1
29,103,Hell,1,1,경험치 던전,50000,41,200,141,11,1
32,109,Easy,1,1,소환석 던전,50000,51,200,151,12,
33,100,208,1,1,상아탑 지하 3층,45000,18,260,118,12,
34,109,Normal,1,1,소환석 던전,50000,52,200,152,12,
35,109,Hard,1,1,소환석 던전,50000,53,200,153,12,
36,109,Hell,1,1,소환석 던전,50000,54,200,154,12,
37,95,Difficulty5,1,1,봉인된 기억의 성소,30000,19,120,119,12,
38,102,Difficulty5,1,1,아데나 던전,40000,25,240,125,12,
39,101,Difficulty5,1,1,장비 던전,50000,35,200,135,12,
40,103,Difficulty5,1,1,경험치 던전,50000,41,200,141,12,1
41,100,209,1,1,상아탑 지하 연구소,50000,60,280,160,12,
42,100,210,1,1,비밀의 숲 상층,55000,61,300,161,12,
43,100,211,1,1,비밀의 숲 하층,60000,62,320,162,12,
44,100,212,1,1,비밀의 숲 학살지,65000,63,340,163,12,
45,95,Difficulty6,1,1,봉인된 기억의 성소,35000,20,150,120,12,
47,101,Difficulty6,1,1,장비 던전,50000,36,200,136,12,
48,103,Difficulty6,1,1,경험치 던전,50000,41,200,141,12,1
49,109,Difficulty5,1,1,소환석 던전,50000,55,200,155,12,
50,100,213,1,1,용의 동굴 지하 1층,70000,64,360,164,12,
51,100,214,1,1,용의 동굴 지하 2층,75000,65,380,165,12,
52,100,215,1,1,용의 동굴 심층,80000,66,400,166,12,
