Id,EquipEffectDescription,ConditionRoomTypeList,ConditionType,ConditionFireRate,EffectType,EffectParam1,EffectParam2,EquipEffectBuffIcon,EquipEffectBuffName,EquipEffectBuffDescription
7000101,"
혈맹 망토는 착용효과를 보유하고 있지 않습니다.",,13,,253,,,,,
7000201,"
혈맹 망토는 착용효과를 보유하고 있지 않습니다.",,13,,253,,,,,
7000301,"
혈맹 망토는 착용효과를 보유하고 있지 않습니다.",,13,,253,,,,,
7100101,"몬스터 처치 시와 채집 시,
획득되는 경험치량이 <Fontblue>5%</> 증가 합니다.

(적용장소 : 필드 / 채집던전)","World,GatheringDungeonWorld",0,10000,87,500,,Icon_Buff_CapeEquipEffect_01,모험가의 망토 착용효과,"몬스터 처치 시와 채집 시,획득 경험치가<Fontblue> 5%</> 증가"
7100102,"몬스터 처치 시와 채집 시,
획득되는 경험치량이 <Fontblue>5.5%</> 증가 합니다.

(적용장소 : 필드 / 채집던전)","World,GatheringDungeonWorld",0,10000,87,550,,Icon_Buff_CapeEquipEffect_01,모험가의 망토 착용효과,"몬스터 처치 시와 채집 시,획득 경험치가<Fontblue> 5.5%</> 증가"
7100103,"몬스터 처치 시와 채집 시,
획득되는 경험치량이 <Fontblue>6%</> 증가 합니다.

(적용장소 : 필드 / 채집던전)","World,GatheringDungeonWorld",0,10000,87,600,,Icon_Buff_CapeEquipEffect_01,모험가의 망토 착용효과,"몬스터 처치 시와 채집 시,획득 경험치가<Fontblue> 6%</> 증가"
7100104,"몬스터 처치 시와 채집 시,
획득되는 경험치량이 <Fontblue>6.5%</> 증가 합니다.

(적용장소 : 필드 / 채집던전)","World,GatheringDungeonWorld",0,10000,87,650,,Icon_Buff_CapeEquipEffect_01,모험가의 망토 착용효과,"몬스터 처치 시와 채집 시,획득 경험치가<Fontblue> 6.5%</> 증가"
7100105,"몬스터 처치 시와 채집 시,
획득되는 경험치량이 <Fontblue>7%</> 증가 합니다.

(적용장소 : 필드 / 채집던전)","World,GatheringDungeonWorld",0,10000,87,700,,Icon_Buff_CapeEquipEffect_01,모험가의 망토 착용효과,"몬스터 처치 시와 채집 시,획득 경험치가<Fontblue> 7%</> 증가"
7100106,"몬스터 처치 시와 채집 시,
획득되는 경험치량이 <Fontblue>7.5%</> 증가 합니다.

(적용장소 : 필드 / 채집던전)","World,GatheringDungeonWorld",0,10000,87,750,,Icon_Buff_CapeEquipEffect_01,모험가의 망토 착용효과,"몬스터 처치 시와 채집 시,획득 경험치가<Fontblue> 7.5%</> 증가"
7100107,"몬스터 처치 시와 채집 시,
획득되는 경험치량이 <Fontblue>8%</> 증가 합니다.

(적용장소 : 필드 / 채집던전)","World,GatheringDungeonWorld",0,10000,87,800,,Icon_Buff_CapeEquipEffect_01,모험가의 망토 착용효과,"몬스터 처치 시와 채집 시,획득 경험치가<Fontblue> 8%</> 증가"
7100108,"몬스터 처치 시와 채집 시,
획득되는 경험치량이 <Fontblue>8.5%</> 증가 합니다.

(적용장소 : 필드 / 채집던전)","World,GatheringDungeonWorld",0,10000,87,850,,Icon_Buff_CapeEquipEffect_01,모험가의 망토 착용효과,"몬스터 처치 시와 채집 시,획득 경험치가<Fontblue> 8.5%</> 증가"
7100109,"몬스터 처치 시와 채집 시,
획득되는 경험치량이 <Fontblue>9%</> 증가 합니다.

(적용장소 : 필드 / 채집던전)","World,GatheringDungeonWorld",0,10000,87,900,,Icon_Buff_CapeEquipEffect_01,모험가의 망토 착용효과,"몬스터 처치 시와 채집 시,획득 경험치가<Fontblue> 9%</> 증가"
7100110,"몬스터 처치 시와 채집 시,
획득되는 경험치량이 <Fontblue>10%</> 증가 합니다.

(적용장소 : 필드 / 채집던전)","World,GatheringDungeonWorld",0,10000,87,1000,,Icon_Buff_CapeEquipEffect_01,모험가의 망토 착용효과,"몬스터 처치 시와 채집 시,획득 경험치가<Fontblue> 10%</> 증가"
7100111,"몬스터 처치 시와 채집 시,
획득되는 경험치량이 <Fontblue>11%</> 증가 합니다.

(적용장소 : 필드 / 채집던전)","World,GatheringDungeonWorld",0,10000,87,1100,,Icon_Buff_CapeEquipEffect_01,모험가의 망토 착용효과,"몬스터 처치 시와 채집 시,획득 경험치가<Fontblue> 11%</> 증가"
7100112,"몬스터 처치 시와 채집 시,
획득되는 경험치량이 <Fontblue>12%</> 증가 합니다.

(적용장소 : 필드 / 채집던전)","World,GatheringDungeonWorld",0,10000,87,1200,,Icon_Buff_CapeEquipEffect_01,모험가의 망토 착용효과,"몬스터 처치 시와 채집 시,획득 경험치가<Fontblue> 12%</> 증가"
7100113,"몬스터 처치 시와 채집 시,
획득되는 경험치량이 <Fontblue>13%</> 증가 합니다.

(적용장소 : 필드 / 채집던전)","World,GatheringDungeonWorld",0,10000,87,1300,,Icon_Buff_CapeEquipEffect_01,모험가의 망토 착용효과,"몬스터 처치 시와 채집 시,획득 경험치가<Fontblue> 13%</> 증가"
7100114,"몬스터 처치 시와 채집 시,
획득되는 경험치량이 <Fontblue>14%</> 증가 합니다.

(적용장소 : 필드 / 채집던전)","World,GatheringDungeonWorld",0,10000,87,1400,,Icon_Buff_CapeEquipEffect_01,모험가의 망토 착용효과,"몬스터 처치 시와 채집 시,획득 경험치가<Fontblue> 14%</> 증가"
7100115,"몬스터 처치 시와 채집 시,
획득되는 경험치량이 <Fontblue>15%</> 증가 합니다.

(적용장소 : 필드 / 채집던전)","World,GatheringDungeonWorld",0,10000,87,1500,,Icon_Buff_CapeEquipEffect_01,모험가의 망토 착용효과,"몬스터 처치 시와 채집 시,획득 경험치가<Fontblue> 15%</> 증가"
7100116,"몬스터 처치 시와 채집 시,
획득되는 경험치량이 <Fontblue>16%</> 증가 합니다.

(적용장소 : 필드 / 채집던전)","World,GatheringDungeonWorld",0,10000,87,1600,,Icon_Buff_CapeEquipEffect_01,모험가의 망토 착용효과,"몬스터 처치 시와 채집 시,획득 경험치가<Fontblue> 16%</> 증가"
7100117,"몬스터 처치 시와 채집 시,
획득되는 경험치량이 <Fontblue>17%</> 증가 합니다.

(적용장소 : 필드 / 채집던전)","World,GatheringDungeonWorld",0,10000,87,1700,,Icon_Buff_CapeEquipEffect_01,모험가의 망토 착용효과,"몬스터 처치 시와 채집 시,획득 경험치가<Fontblue> 17%</> 증가"
7100118,"몬스터 처치 시와 채집 시,
획득되는 경험치량이 <Fontblue>18%</> 증가 합니다.

(적용장소 : 필드 / 채집던전)","World,GatheringDungeonWorld",0,10000,87,1800,,Icon_Buff_CapeEquipEffect_01,모험가의 망토 착용효과,"몬스터 처치 시와 채집 시,획득 경험치가<Fontblue> 18%</> 증가"
7100119,"몬스터 처치 시와 채집 시,
획득되는 경험치량이 <Fontblue>19%</> 증가 합니다.

(적용장소 : 필드 / 채집던전)","World,GatheringDungeonWorld",0,10000,87,1900,,Icon_Buff_CapeEquipEffect_01,모험가의 망토 착용효과,"몬스터 처치 시와 채집 시,획득 경험치가<Fontblue> 19%</> 증가"
7100120,"몬스터 처치 시와 채집 시,
획득되는 경험치량이 <Fontblue>20%</> 증가 합니다.

(적용장소 : 필드 / 채집던전)","World,GatheringDungeonWorld",0,10000,87,2000,,Icon_Buff_CapeEquipEffect_01,모험가의 망토 착용효과,"몬스터 처치 시와 채집 시,획득 경험치가<Fontblue> 20%</> 증가"
