ShopId,ProductType,ProductValue,ItemType,Grade,ItemInfoId,ProductItemType,BuffInfoId,EventItemPeriodId
1001,1,20000,113,18,,1,,
1002,1,42000,113,18,,1,,
1003,1,88000,113,18,,1,,
1004,1,184000,113,18,,1,,
1005,1,384000,113,18,,1,,
1006,1,800000,113,18,,1,,
1100,1,20000,113,18,,1,,
1100,2,50,113,18,,2,,
1101,1,42000,113,18,,1,,
1101,2,100,113,18,,2,,
1102,1,88000,113,18,,1,,
1102,2,200,113,18,,2,,
1103,1,184000,113,18,,1,,
1103,2,400,113,18,,2,,
1104,1,384000,113,18,,1,,
1104,2,800,113,18,,2,,
1105,1,800000,113,18,,1,,
1105,2,1600,113,18,,2,,
2001,3,90,113,18,,1,,
2001,2,90,113,18,,2,,
2001,4,2,113,18,,2,,
2002,3,160,113,18,,1,,
2002,2,160,113,18,,2,,
2002,4,4,113,18,,2,,
2003,3,340,113,18,,1,,
2003,2,340,113,18,,2,,
2003,4,8,113,18,,2,,
2004,3,90,113,18,,1,,
2004,4,3,113,18,,2,,
2005,3,160,113,18,,1,,
2005,4,4,113,18,,2,,
2006,3,340,113,18,,1,,
2006,4,8,113,18,,2,,
2007,3,1080,113,18,,1,,
2007,4,25,113,18,,2,,
2008,3,1900,113,18,,1,,
2008,4,45,113,18,,2,,
2009,3,4000,113,18,,1,,
2009,4,100,113,18,,2,,
2020,3,90,113,18,,1,,
2020,2,90,113,18,,2,,
2020,4,3,113,18,,2,,
2021,3,160,113,18,,1,,
2021,2,160,113,18,,2,,
2021,4,5,113,18,,2,,
2022,3,340,113,18,,1,,
2022,2,340,113,18,,2,,
2022,4,10,113,18,,2,,
2023,3,205,113,18,,1,,
2023,4,5,113,18,,2,,
2024,3,430,113,18,,1,,
2024,4,10,113,18,,2,,
2025,3,1350,113,18,,1,,
2025,4,30,113,18,,2,,
2026,3,2350,113,18,,1,,
2026,4,50,113,18,,2,,
2027,3,4900,113,18,,1,,
2027,4,100,113,18,,2,,
3001,1005,1,38,18,900002,1,,
3002,100,1,6,5,410011,1,,
3003,100,1,5,5,410012,1,,
3004,100,1,4,5,410013,1,,
3005,100,1,17,5,400000,1,,
30021,100,1,6,5,410011,1,,
30031,100,1,5,5,410012,1,,
30041,100,1,4,5,410013,1,,
30051,100,1,17,5,400000,1,,
3006,100,1,32,5,490026,1,,
3007,100,1,33,4,490027,1,,
3008,100,1,33,5,490037,1,,
3009,100,1,33,5,490038,1,,
3011,1005,1,38,18,900022,1,,
3010,100,1,38,18,900017,1,,
3012,100,1,38,18,911014,1,,
3013,100,1,38,18,911015,1,,
3015,100,10,38,18,911031,1,,
3016,100,1,61,18,470007,1,,
3017,100,1,38,18,911016,1,,
3018,100,1,61,18,470007,1,,
3019,100,10,38,18,911031,1,,
3020,100,1,38,18,919344,1,,
3021,100,1,17,5,400000,1,,
3022,100,1,32,18,490026,1,,
3023,100,1,33,18,490038,1,,
3024,100,1,38,18,919349,1,,
3025,100,1,38,18,919351,1,,
3026,100,10,38,18,919345,1,,
3027,100,1,38,18,919346,1,,
3028,100,1,38,18,919348,1,,
3029,100,1,38,18,919347,1,,
3030,100,1,38,18,911013,1,,
3031,100,1,38,18,919327,1,,
3032,100,1,38,18,919315,1,,
3033,100,1,38,18,919350,1,,
3034,100,1,38,18,919343,1,,
3035,100,1,105,18,490086,1,,
3036,100,1,106,18,490087,1,,
4001,100,20,13,18,440001,1,,
4002,100,200,13,18,440001,1,,
4003,100,20,13,18,440002,1,,
4004,100,200,13,18,440002,1,,
4005,100,20,15,18,440011,1,,
4006,100,200,15,18,440011,1,,
4007,100,20,15,18,440012,1,,
4008,100,200,15,18,440012,1,,
4009,100,500,18,18,400001,1,,
4010,100,5000,18,18,400001,1,,
4013,100,1,39,18,490000,1,,
4014,100,10,39,18,490000,1,,
4018,100,1,39,18,490000,1,,
4019,100,10,39,18,490000,1,,
4020,100,1,51,18,500302,1,,
4021,100,1,51,18,500402,1,,
4022,100,1,51,18,500502,1,,
4023,100,1,51,18,500602,1,,
4024,100,1,51,18,500702,1,,
4025,100,1,51,18,500802,1,,
4026,100,1,51,18,500902,1,,
4027,100,1,51,18,501002,1,,
4036,100,1,51,18,501102,1,,
4037,100,1,51,18,501202,1,,
4040,100,1,51,18,501302,1,,
4041,100,1,51,18,501402,1,,
4044,100,1,51,18,501502,1,,
4046,100,1,51,18,501602,1,,
4048,100,1,51,18,501702,1,,
4028,100,1,51,18,500301,1,,
4029,100,1,51,18,500401,1,,
4030,100,1,51,18,500501,1,,
4031,100,1,51,18,500601,1,,
4032,100,1,51,18,500701,1,,
4033,100,1,51,18,500801,1,,
4034,100,1,51,18,500901,1,,
4035,100,1,51,18,501001,1,,
4038,100,1,51,18,501101,1,,
4039,100,1,51,18,501201,1,,
4042,100,1,51,18,501301,1,,
4043,100,1,51,18,501401,1,,
4045,100,1,51,18,501501,1,,
4047,100,1,51,18,501601,1,,
4049,100,1,51,18,501701,1,,
4100,100,1,43,18,910316,1,,
4101,100,50,40,18,449999,1,,
4102,100,1,11,18,10029,1,,
4103,100,1,11,18,10030,1,,
4104,100,1,11,18,10031,1,,
4105,100,1,64,18,510107,1,,
4106,100,1,64,18,510108,1,,
4107,100,1,64,18,510109,1,,
4108,100,1,64,18,510110,1,,
4109,100,1,11,18,10003,1,,
4110,100,1,11,18,10003,1,,
5002,1001,1,38,18,900008,1,,
5002,5,0,113,18,,2,,
5003,1001,11,38,18,900008,1,,
5003,5,0,113,18,,2,,
5014,1001,1,38,18,900008,1,,
5014,5,7,113,18,,2,,
5015,1001,11,38,18,900008,1,,
5015,5,77,113,18,,2,,
5020,100,1,38,18,919052,1,,
5020,5,7,113,18,,2,,
5021,1101,11,38,18,919052,1,,
5022,100,1,38,18,911048,1,,
5022,5,7,113,18,,2,,
5023,1101,11,38,18,911048,1,,
5016,1101,1,113,18,,1,,
5017,1101,11,113,18,,1,,
5018,1101,1,113,18,,1,,
5018,5,7,113,18,,2,,
5019,1101,11,113,18,,1,,
5019,5,77,113,18,,2,,
5024,100,1,38,18,912103,1,,
5024,5,0,113,18,,2,,
5025,1001,11,38,18,912103,1,,
5025,5,0,113,18,,2,,
5026,100,1,38,18,912103,1,,
5026,5,7,113,18,,2,,
5027,1001,11,38,18,912103,1,,
5027,5,77,113,18,,2,,
5028,1101,1,113,18,,1,,
5029,1101,11,113,18,,1,,
5030,1101,1,113,18,,1,,
5030,5,7,113,18,,2,,
5031,1101,11,113,18,,1,,
5031,5,77,113,18,,2,,
5040,100,1,38,18,915001,1,,
5040,5,5,113,18,,2,,
5041,1101,11,38,18,915001,1,,
5041,5,55,113,18,,2,,
5042,100,1,38,18,919330,1,,
5042,5,7,113,18,,2,,
5043,100,1,38,18,919331,1,,
5044,100,1,38,18,919332,1,,
5044,5,7,113,18,,2,,
5045,100,1,38,18,919333,1,,
5046,100,1,38,18,919334,1,,
5046,5,7,113,18,,2,,
5047,100,1,38,18,919335,1,,
5048,100,1,38,18,919336,1,,
5048,5,5,113,18,,2,,
6002,100,1,20,5,420001,1,,
6003,100,1,3,5,420002,1,,
6004,100,1,1,5,420003,1,,
6005,100,1,19,5,410001,1,,
6006,100,1,2,5,410002,1,,
6007,100,1,0,5,410003,1,,
6008,100,1,17,5,400000,1,,
6015,100,1,38,18,910208,1,,
6020,1005,1,38,18,900023,1,,
6021,1005,1,38,18,900024,1,,
6022,1005,1,38,18,912104,1,,
6009,100,1,38,18,911013,1,,
6011,100,10,38,18,911031,1,,
6012,100,1,61,18,470007,1,,
6023,100,1,61,18,470007,1,,
6024,100,10,38,18,911031,1,,
6025,100,1,17,5,400000,1,,
6026,100,1,38,18,911013,1,,
6027,100,1,19,5,410001,1,,
6028,100,1,2,5,410002,1,,
6029,100,1,0,5,410003,1,,
6030,100,10,38,18,919329,1,,
6031,100,5,38,18,919339,1,,
6032,100,1,38,18,919340,1,,
6033,100,1,38,18,919341,1,,
6034,100,1,38,18,919342,1,,
6035,100,1,11,18,510011,1,,
6036,100,10,38,18,911030,1,,
7001,3,800,113,18,,1,,
7001,3,90,113,18,,4,,
7002,3,1540,113,18,,1,,
