Order,Type,ShopType,Display,Name,IconTexture,BadgeType,IsAnnuity,ButtonShopEffect,AlarmDesc,ShopClosedImage,ShopId
100,3,1,0,소환상자,,90,0,0,,,
200,2,1,1,소환상자,,89,0,0,,,
300,4,1,1,소모품,,91,0,0,,,
400,5,1,1,다이아,,271,0,0,,,
450,29,1,1,스크롤,,271,0,0,,,
500,6,1,1,아데나,,92,0,0,,,
600,1,1,1,우정포인트,,88,0,0,,,
700,7,1,1,토파즈,,93,0,0,,,
800,9,1,1,마일리지,,95,0,0,,,
1300,15,11,1,누적충전,,271,0,0,,,
1400,16,11,0,일일충전,,271,0,0,,,
1500,17,11,0,누적소비,,271,0,0,,,
1600,18,11,0,일일소비,,271,0,0,,,
1800,11,4,1,성장 다이아 I,,81,1,0,,,
1900,21,4,1,성장 다이아 II,,82,1,0,,,
2000,26,4,1,성장 다이아 III,,221,1,0,,,
2100,41,4,1,성장 다이아 IV,,244,1,0,,,
2200,14,4,1,시나리오 I,,178,1,0,,,
2300,22,4,1,시나리오 II,,179,1,0,,,
2400,27,4,1,시나리오 III,,222,1,0,,,
2500,13,4,1,SR 수집,,177,1,0,,,
2600,28,1,0,다이아 교환,,271,0,0,,,
2650,63,14,1,레드다이아 교환,,271,0,0,,,
2700,10,7,1,매일 다이아,,98,0,0,,,7003
2750,10,7,1,네오 매일 다이아,,98,0,0,,,7004
2800,12,7,1,접속 다이아,,99,1,0,,,
2900,20,7,1,매일 아데나,,100,0,0,,,
3000,30,7,1,매일 아데나 II,,101,0,0,,,
3100,38,7,1,매일 퀘스트 혜택,,102,0,0,,,
3200,39,7,1,매일 사냥 혜택,,103,0,0,,,
3250,62,7,0,매일 유물 혜택,,264,0,0,,,
3260,64,7,0,매일 토파즈 혜택,,265,0,0,,,
3300,31,6,1,추천,,271,0,0,,,
3400,32,6,1,모험가 패키지,,271,0,0,,,
3500,33,6,1,캐릭터 패키지,,271,0,0,,,
3600,34,6,1,장비 패키지,,271,0,0,,,
3700,35,6,1,혈맹 패키지,,271,0,0,,,
3800,36,6,1,탑승펫 패키지,,271,0,0,,,
3900,37,6,1,탈리스만 패키지,,271,0,0,,,
4000,40,9,1,정복자의 전당,,271,0,0,,,
90000,49,8,0,오픈 예정,,271,0,0,,UI_DiamondShop_Item_512,
91000,50,8,0,만물상점 코너,,271,0,1,타임세일 만물상점 코너가 열렸습니다.,,
92000,51,8,0,탑승펫 쇼핑코너,,271,0,1,타임세일 탑승펫 쇼핑코너가 열렸습니다.,,
93000,52,8,0,성장재료 코너,,271,0,1,특별할인 성장재료 코너가 열렸습니다,,
94000,53,8,0,이벤트 아이템,,271,0,0,,,
95000,54,8,0,해피 발렌타인,,271,0,0,,,
96000,55,8,0,설맞이 한정,,271,0,0,,,
97000,56,8,0,파수꾼 이벤트,,271,0,1,파수꾼 이벤트 상점이 열렸습니다.,,
