Id,MainCoreId,Name,OrderNumber,Image,CostItemType,Cost,EffectType1,EffectParam1,EffectType2,EffectParam2,EffectType3,EffectParam3,EffectType4,EffectParam4
1,500,마프르의 문양,1,Icon_SubCore_Maphr,100,100,60,533,10,240,67,235,253,
2,500,에바의 문양,2,Icon_SubCore_Eva,100,100,21,214,22,214,29,511,253,
3,501,거인의 문양,1,Icon_SubCore_Giant,100,150,58,672,11,165,51,235,253,
4,501,파아그리오의 문양,2,Icon_SubCore_Paagrio,100,150,1,219,2,219,26,448,253,
5,502,피의 문양,1,Icon_SubCore_Blood,100,200,11,110,29,768,26,830,253,
6,502,어둠의 문양,2,Icon_SubCore_Dark,100,200,60,949,21,323,22,323,253,
7,502,사이하의 문양,3,Icon_SubCore_Sayha,100,200,58,728,1,247,2,247,253,
11,600,마프르의 문양,1,Icon_SubCore_Maphr,100,100,60,533,10,240,67,235,253,
12,600,에바의 문양,2,Icon_SubCore_Eva,100,100,21,214,22,214,29,511,253,
13,601,거인의 문양,1,Icon_SubCore_Giant,100,150,58,672,11,165,51,235,253,
14,601,파아그리오의 문양,2,Icon_SubCore_Paagrio,100,150,1,219,2,219,26,448,253,
15,602,피의 문양,1,Icon_SubCore_Blood,100,200,11,110,29,768,26,830,253,
16,602,어둠의 문양,2,Icon_SubCore_Dark,100,200,60,949,21,323,22,323,253,
17,602,사이하의 문양,3,Icon_SubCore_Sayha,100,200,58,728,1,247,2,247,253,
21,700,마프르의 문양,1,Icon_SubCore_Maphr,100,100,60,533,10,240,67,235,253,
22,700,에바의 문양,2,Icon_SubCore_Eva,100,100,21,214,22,214,29,511,253,
23,701,거인의 문양,1,Icon_SubCore_Giant,100,150,58,672,11,165,51,235,253,
24,701,파아그리오의 문양,2,Icon_SubCore_Paagrio,100,150,1,219,2,219,26,448,253,
25,702,피의 문양,1,Icon_SubCore_Blood,100,200,11,110,29,768,26,830,253,
26,702,어둠의 문양,2,Icon_SubCore_Dark,100,200,60,949,21,323,22,323,253,
27,702,사이하의 문양,3,Icon_SubCore_Sayha,100,200,58,728,1,247,2,247,253,
31,800,마프르의 문양,1,Icon_SubCore_Maphr,100,100,60,533,10,240,67,235,253,
32,800,에바의 문양,2,Icon_SubCore_Eva,100,100,21,214,22,214,29,511,253,
33,801,거인의 문양,1,Icon_SubCore_Giant,100,150,58,672,11,165,51,235,253,
34,801,파아그리오의 문양,2,Icon_SubCore_Paagrio,100,150,1,219,2,219,26,448,253,
35,802,피의 문양,1,Icon_SubCore_Blood,100,200,11,110,29,768,26,830,253,
36,802,어둠의 문양,2,Icon_SubCore_Dark,100,200,60,949,21,323,22,323,253,
37,802,사이하의 문양,3,Icon_SubCore_Sayha,100,200,58,728,1,247,2,247,253,
41,900,마프르의 문양,1,Icon_SubCore_Maphr,100,100,60,533,10,240,67,235,253,
42,900,에바의 문양,2,Icon_SubCore_Eva,100,100,21,214,22,214,29,511,253,
43,901,거인의 문양,1,Icon_SubCore_Giant,100,150,58,672,11,165,51,235,253,
44,901,파아그리오의 문양,2,Icon_SubCore_Paagrio,100,150,1,219,2,219,26,448,253,
45,902,피의 문양,1,Icon_SubCore_Blood,100,200,11,110,29,768,26,830,253,
46,902,어둠의 문양,2,Icon_SubCore_Dark,100,200,60,949,21,323,22,323,253,
47,902,사이하의 문양,3,Icon_SubCore_Sayha,100,200,58,728,1,247,2,247,253,
51,1000,마프르의 문양,1,Icon_SubCore_Maphr,100,100,60,533,10,240,67,235,253,
52,1000,에바의 문양,2,Icon_SubCore_Eva,100,100,21,214,22,214,29,511,253,
53,1001,거인의 문양,1,Icon_SubCore_Giant,100,150,58,672,11,165,51,235,253,
54,1001,파아그리오의 문양,2,Icon_SubCore_Paagrio,100,150,1,219,2,219,26,448,253,
55,1002,피의 문양,1,Icon_SubCore_Blood,100,200,11,110,29,768,26,830,253,
56,1002,어둠의 문양,2,Icon_SubCore_Dark,100,200,60,949,21,323,22,323,253,
57,1002,사이하의 문양,3,Icon_SubCore_Sayha,100,200,58,728,1,247,2,247,253,
101,3500,마프르의 문양,1,Icon_SubCore_Maphr,100,100,60,533,10,240,67,235,253,
102,3500,에바의 문양,2,Icon_SubCore_Eva,100,100,21,214,22,214,29,511,253,
103,3501,거인의 문양,1,Icon_SubCore_Giant,100,150,58,672,11,165,51,235,253,
104,3501,파아그리오의 문양,2,Icon_SubCore_Paagrio,100,150,1,219,2,219,26,448,253,
105,3502,피의 문양,1,Icon_SubCore_Blood,100,200,11,110,29,768,26,830,253,
106,3502,어둠의 문양,2,Icon_SubCore_Dark,100,200,60,949,21,323,22,323,253,
107,3502,사이하의 문양,3,Icon_SubCore_Sayha,100,200,58,728,1,247,2,247,253,
