Id,ManagerGrade,QuestType,GroupType,Name,QuestDesc1,QuestDesc2,TaskType,TaskCondition,TaskCount,TaskContentType,NpcAutoMoveID,ContentsLockId,Help,RewardContribution,Reward1Type,Reward1ItemInfold,Reward1Count,Reward2Type,Reward2ItemInfold,Reward2Count,Reward3Type,Reward3ItemInfold,Reward3Count,GuildRewardType1,GuildRewardItemInfold1,GuildRewardCount1,GuildRewardType2,GuildRewardItemInfold2,GuildRewardCount2
1,1,1,6,말하는 섬 동부 정찰,말하는 섬 동부 몬스터 처치,말하는 섬 동부의 몬스터를 50마리 처치하세요.,81,1,50,149,800001,,0,,6,500001,15,6,500002,10,6,500003,10,7,,,7,,
2,2,1,6,말하는 섬 서부 정찰,말하는 섬 서부 몬스터 처치,말하는 섬 서부의 몬스터를 50마리 처치하세요.,81,2,50,149,800002,,0,,6,500001,15,6,500051,3,1,,10000,7,,,7,,
3,1,1,6,글루딘 가도 정찰,글루딘 가도 몬스터 처치,글루딘 가도의 몬스터를 75마리 처치하세요.,81,3,75,149,800003,,0,,6,500002,10,6,500052,3,1,,10000,7,,,7,,
4,2,1,6,글루디오 평원 정찰,글루디오 평원 몬스터 처치,글루디오 평원의 몬스터를 75마리 처치하세요.,81,4,75,149,800004,,0,,6,500003,10,6,500053,5,1,,10000,7,,,7,,
5,1,1,6,윈다우드 장원 정찰,윈다우드 장원 몬스터 처치,윈다우드 장원의 몬스터를 75마리 처치하세요.,81,5,75,149,800005,,0,,6,500003,10,6,500071,10,6,500119,2,7,,,7,,
6,2,1,6,황무지 정찰,황무지 몬스터 처치,황무지의 몬스터를 75마리 처치하세요.,81,6,75,149,800006,,0,,6,500051,3,6,500071,10,6,500119,2,7,,,7,,
7,1,1,6,디온 목초지 정찰,디온 목초지 처치,디온 목초지의 몬스터를 100마리 처치하세요.,81,7,100,149,800007,,0,,6,500052,3,6,500071,10,6,500119,2,7,,,7,,
8,2,1,6,크루마 늪지 정찰,크루마 늪지 몬스터 처치,크루마 늪지의 몬스터를 100마리 처치하세요.,81,8,100,149,800008,,0,,6,500053,5,6,500071,10,6,400001,1500,7,,,7,,
9,1,1,6,투쟁의 봉우리 정찰,투쟁의 봉우리 몬스터 처치,투쟁의 봉우리의 몬스터를 100마리 처치하세요.,81,9,100,149,800009,,0,,6,500051,3,6,500052,3,6,400001,1500,7,,,7,,
10,2,1,6,절규의 땅 정찰,절규의 땅 몬스터 처치,절규의 땅의 몬스터를 100마리 처치하세요.,81,10,100,149,800010,,0,,6,500052,3,6,500053,5,6,400001,1500,7,,,7,,
