Id,TabType,Name,TemplateName,TemplateDesc,TaskType,TaskCondition,GradeGroupId,MoveContentType,IconTexture,CategoryType,Keyword,PromoteGroupId
101001,2,평균 등급,,,1,10000,1,149,Texture/UI_Btn_Character,-1,,
201001,0,장착 아이템 전투력,,장착 아이템을 성장시켜 전투력을 높일 수 있습니다.,2,1098,1,64,Texture/UI_Btn_BattleField,0,Inventory,1
201002,0,장착 아이템 전투력,,장착 아이템을 성장시켜 전투력을 높일 수 있습니다.,2,1260,1,64,Texture/UI_Btn_BattleField,0,Inventory,1
201003,0,장착 아이템 전투력,,장착 아이템을 성장시켜 전투력을 높일 수 있습니다.,2,1488,1,64,Texture/UI_Btn_BattleField,0,Inventory,1
201004,0,장착 아이템 전투력,,장착 아이템을 성장시켜 전투력을 높일 수 있습니다.,2,1746,1,64,Texture/UI_Btn_BattleField,0,Inventory,1
201005,0,장착 아이템 전투력,,장착 아이템을 성장시켜 전투력을 높일 수 있습니다.,2,2072,1,64,Texture/UI_Btn_BattleField,0,Inventory,1
201006,0,장착 아이템 전투력,,장착 아이템을 성장시켜 전투력을 높일 수 있습니다.,2,2454,1,64,Texture/UI_Btn_BattleField,0,Inventory,1
201007,0,장착 아이템 전투력,,장착 아이템을 성장시켜 전투력을 높일 수 있습니다.,2,2916,1,64,Texture/UI_Btn_BattleField,0,Inventory,1
201008,0,장착 아이템 전투력,,장착 아이템을 성장시켜 전투력을 높일 수 있습니다.,2,3426,1,64,Texture/UI_Btn_BattleField,0,Inventory,1
201009,0,장착 아이템 전투력,,장착 아이템을 성장시켜 전투력을 높일 수 있습니다.,2,4028,1,64,Texture/UI_Btn_BattleField,0,Inventory,1
201010,0,장착 아이템 전투력,,장착 아이템을 성장시켜 전투력을 높일 수 있습니다.,2,4700,1,64,Texture/UI_Btn_BattleField,0,Inventory,1
201011,0,장착 아이템 전투력,,장착 아이템을 성장시켜 전투력을 높일 수 있습니다.,2,5450,1,64,Texture/UI_Btn_BattleField,0,Inventory,1
201012,0,장착 아이템 전투력,,장착 아이템을 성장시켜 전투력을 높일 수 있습니다.,2,6296,1,64,Texture/UI_Btn_BattleField,0,Inventory,1
201013,0,장착 아이템 전투력,,장착 아이템을 성장시켜 전투력을 높일 수 있습니다.,2,7242,1,64,Texture/UI_Btn_BattleField,0,Inventory,1
201014,0,장착 아이템 전투력,,장착 아이템을 성장시켜 전투력을 높일 수 있습니다.,2,8286,1,64,Texture/UI_Btn_BattleField,0,Inventory,1
201015,0,장착 아이템 전투력,,장착 아이템을 성장시켜 전투력을 높일 수 있습니다.,2,8486,1,64,Texture/UI_Btn_BattleField,0,Inventory,1
201016,0,장착 아이템 전투력,,장착 아이템을 성장시켜 전투력을 높일 수 있습니다.,2,8656,1,64,Texture/UI_Btn_BattleField,0,Inventory,1
201017,0,장착 아이템 전투력,,장착 아이템을 성장시켜 전투력을 높일 수 있습니다.,2,9056,1,64,Texture/UI_Btn_BattleField,0,Inventory,1
