Id,GroupId,Type,DialogTexture,NpcName,Message,Animation
101,101,0,Aimel,아이멜,어서와! 수련은 잘 되어가고 있어?<p>혼자 수련하려니까 많이 막막하고 심심하지? 혹시 도움이 될까 싶어서 내가 훈련 매뉴얼을 한 번 짜봤어.<p>훈련 보상으로 적절한 당근도 줄 예정이니 한 번 열심히해보라구!,
102,102,0,Aimel,아이멜,"B등급을 달성했네! 하지만 아직은 걸음마 수준이야, 안 그래?<p>근육바보 러셀은 벌써 A등급이라고!",
103,102,0,ArmorMerchant_01,러셀,자네 요새 너무 풀어진거 아니야~? 좀 더 정진해서 날 따라 잡아보라고! 하하하!,
104,103,0,Aimel,아이멜,A등급을 달성했어! 이제 근육바보랑 동점이네! 자자 좀 더 분발해보자!,
105,104,0,Aimel,아이멜,S등급을 달성! 근육바보 때문에 힘이 좀 들어갔나본데?!,
106,104,0,ArmorMerchant_01,러셀,뭐? 벌써 S등급? 난 아직 A등급인데!<p>으으! 조금만 기다려보게! 금방 따라잡을테니까!,
107,105,0,Aimel,아이멜,R등급을 달성했어!<p>하지만 뛰는 놈 위에 나는 놈이 있다지? 벌써 SR등급을 달성한 사람도 있어.,
108,105,0,HardinsFollower,테오도르,"이제 겨우 R등급이라니, 들뜨지 말고 더 노력하도록.",
109,106,0,Aimel,아이멜,SR등급을 달성! 이제 근육바보 러셀은 따라잡을 꿈도 못 꾸겠는데?<p>하지만 이미 테오도르 님은 UR 등급 막바지야. 힘내라고!,
110,107,0,Aimel,아이멜,"드디어 마지막 UR 등급이네!<p>너무 무리하는 것 아니야~? 어차피 테오도르 님은 진작 끝마치고 가셨고, 근육바보는 저~멀리 있으니 천천히 하라구~",
111,108,0,Aimel,아이멜,"UR 등급까지 모두 완료! 테오도르 님 다음으로 제일 빨랐어!<p>근육바보나 다른 사람들은 거의 포기 상태인데 말이야~<p>다른 단원들도 끝마칠 때까지 기다려야 되니, 심심하면 처음부터 다시 해보는건 어때?",
112,151,0,Aimel,아이멜,"와! 오랜만이야! 못 본 사이에 많이 강해졌는걸?<p>하지만 아직 부족해, 부족해. 테오도르님은 이미 저 앞에 계시다구.<p>그래서 너를 위해 내가 또 훈련 매뉴얼을 짜왔지! 이번엔 저번보다 조금 더 어렵다구! 잘 따라와야해!<p>아, 혹시 날 처음 본다고 해도 너무 걱정하지마! 아마 너라면 잘 해낼 수 있 을거야!",
113,152,0,Aimel,아이멜,"좋아, 이번에도 잘 따라오는걸? 금방 B등급을 달성했네!<p>러셀~! 러셀은 지금 어디쯤이야?",
114,152,0,ArmorMerchant_01,러셀,난 벌써 A등급이라고! 이번에는 절대 지지 않겠어!,
115,153,0,Aimel,아이멜,A등급을 달성했어! 이제 근육바보랑 동점이네! 자자 좀 더 분발해보자!,
116,154,0,Aimel,아이멜,S등급 달성! 저 근육바보 때문에 힘이 좀 들어갔나본데?!,
117,154,0,ArmorMerchant_01,러셀,뭐? 벌써 S등급? 난 아직 A등급인데!<p>으으! 저번에도 분명히 이렇게 졌던 것 같은데…?,
118,155,0,Aimel,아이멜,R등급을 달성했어!<p>하지만 뛰는 놈 위에 나는 놈이 있다지? 벌써 SR등급을 달성한 사람도 있어.,
