Id,Value,ButtonString1,ButtonString2,Order,StayTime,ReNotice,SwipeDelete,Option,Vibration,SoundName
1,[ChatString],,,3,3,,,,,UI_Common_Chat_1
2,서버와의 연결이 끊어져 재접속되었습니다.,,,,3,,,,,UI_Common_Chat_1
3,파티가 생성되었습니다.,,,,3,,,1,,UI_Common_Chat_1
4,파티에 가입되었습니다.,,,,3,,,1,,UI_Common_Chat_1
5,<FontGreen>[Name]</>님이 파티에 참가하였습니다.,,,,3,,,1,,UI_Common_Chat_1
6,파티에서 탈퇴했습니다.,,,,3,,,1,,UI_Common_Chat_1
7,<FontGreen>[Name]</>님이 파티에서 탈퇴했습니다.,,,,3,,,1,,UI_Common_Chat_1
8,파티에서 추방되었습니다.,,,,3,,,1,,UI_Common_Chat_1
9,<FontGreen>[Name]</>님이 파티에서 추방되었습니다.,,,,3,,,1,,UI_Common_Chat_1
10,해당 파티의 파티장이 되었습니다.,,,,3,,,1,,UI_Common_Chat_1
11,<FontGreen>[Name]</>님에게 파티장이 위임되었습니다.,,,,3,,,1,,UI_Common_Chat_1
12,파티가 해산되었습니다.,,,,3,,,1,,UI_Common_Chat_1
13,"<FontGreen>[Name]</>님이 파티에 초대하였습니다.
파티에 참여하시겠습니까? <FontRed>[Seconds]</>초",거절,참여,10,10,,1,1,1,UI_Common_PartyInvited_2
14,파티 참가가 거절되었습니다.,,,,3,3,,,,UI_Common_Chat_1
15,"파티 승인 요청이 있습니다.
승인하시겠습니까? <FontRed>[Seconds]</>초",거절,승인,10,10,,1,1,1,UI_Common_PartyInvited_2
16,자동파티가 취소 되었습니다.,,,10,3,,,1,,UI_Common_Chat_1
17,"장소 : <FontGreen>[DungeonName]</><FontRed>([Difficulty])</>
<FontBlue>[Name]</>님의 모험에 참여하시겠습니까? <FontRed>[Seconds]</>초",거절,수락,10,10,,1,1,1,UI_Common_PartyInvited_2
18,"장소 : <FontGreen>[DungeonName]</><FontRed>([Difficulty])</>
 <FontRed>[Seconds]</>초 후 <FontGreen>[DungeonName]</><FontRed>([Difficulty])</>
에 입장합니다. 전투에 준비하세요",,,10,10,,1,1,1,UI_Common_PartyInvited
19,"장소 : <FontGreen>[WorldName]</>
<FontBlue>[Name]</> 님이 당신을 소집합니다. 이동하시겠습니까? <FontRed>[Seconds]</>초",도보 이동,포탈 이동,10,10,,1,1,1,UI_Common_PartyInvited_2
20,"장소 : <FontGreen>[WorldName]</>
<FontBlue>[Name]</> 님이 당신을 소집합니다. 이동하시겠습니까? <FontRed>[Seconds]</>초",닫기,입장,10,10,,1,1,1,UI_Common_PartyInvited_2
21,"장소 : <FontGreen>[WorldName]</>
파티 집결지로 이동하시겠습니까? <FontRed>[Seconds]</>초",도보 이동,포탈 이동,10,10,,1,1,1,UI_Common_PartyInvited_2
22,"장소 : <FontGreen>[WorldName]</>
파티 집결지로 이동하시겠습니까? <FontRed>[Seconds]</>초",닫기,입장,10,10,,1,1,1,UI_Common_PartyInvited_2
