Group,Type,Day,RewardType,RewardItemInfoId,RewardCount,RewardIcon
22,2,1,6,911133,1,Icon_GachaItem_ArmorS
22,2,2,6,910252,1,Icon_Box_Adena_03
22,2,3,6,430014,1,Icon_SoulCrystal_10
22,2,4,6,910252,1,Icon_Box_Adena_03
22,2,5,6,910004,3,Icon_Box_Scroll_01
22,2,6,6,910006,5,Icon_GachaItem_Transcendence
22,2,7,6,911012,1,Icon_GachaItem_WeaponR
22,0,1,6,910218,3,Icon_Box_EquipLevelMaterial
22,0,2,6,910205,1,Icon_GachaItem_Soulcrystal
22,0,3,6,490112,1,Icon_RidingPetArmor_Saddle_01
22,0,4,6,910237,1,Icon_Gacha_EnchantScroll
22,0,5,6,910252,1,Icon_Box_Adena_03
22,0,6,6,910237,1,Icon_Gacha_EnchantScroll
22,0,7,6,911011,1,Icon_Shop_Gacha_Armor_01
22,1,1,6,911011,1,Icon_Shop_Gacha_Armor_01
22,1,2,6,910252,1,Icon_Box_Adena_03
22,1,3,6,480011,3,Icon_ArmorLevelMaterial_01
22,1,4,6,910252,1,Icon_Box_Adena_03
22,1,5,6,911180,1,Icon_Box_EquipLevelMaterial
22,1,6,6,910258,1,Icon_Box_Adena_03
22,1,7,6,420002,10,Icon_Asset_Upgrade_02
23,2,1,6,911143,1,Icon_GachaItem_ArmorR
23,2,2,6,910252,1,Icon_Box_Adena_03
23,2,3,6,430015,1,Icon_SoulCrystal_11
23,2,4,6,910252,1,Icon_Box_Adena_03
23,2,5,6,910004,5,Icon_Box_Scroll_01
23,2,6,6,910006,10,Icon_GachaItem_Transcendence
23,2,7,6,911056,1,Icon_GachaItem_WeaponR
23,0,1,6,900011,3,Icon_Gacha_EnchantScroll
23,0,2,6,911046,1,Icon_SelectBox_Combine_Asset_Upgrade_01
23,0,3,6,911153,1,Icon_GachaItem_ArmorSR
23,0,4,6,911024,1000,Icon_Combine_Unidentifiy_UpgradeCrystal
23,0,5,6,400000,1,Icon_Asset_Protector_01
23,0,6,6,911022,1,Icon_GachaItem_TranscendenceBox
23,0,7,6,911151,1,Icon_GachaItem_EquipmentSR
23,1,1,6,911011,1,Icon_Shop_Gacha_Armor_01
23,1,2,6,910252,2,Icon_Box_Adena_03
23,1,3,6,911151,1,Icon_GachaItem_EquipmentSR
23,1,4,6,910219,3,Icon_Box_EquipLevelMaterial
23,1,5,6,420001,10,Icon_Asset_Upgrade_01
23,1,6,6,910252,1,Icon_Box_Adena_03
23,1,7,6,420002,15,Icon_Asset_Upgrade_02
24,2,1,6,910257,1,Icon_Shop_Gacha_Armor_01
24,2,2,6,910252,1,Icon_Box_Adena_03
24,2,3,6,910006,10,Icon_GachaItem_Transcendence
24,2,4,6,910205,1,Icon_GachaItem_Soulcrystal
24,2,5,6,910004,10,Icon_Box_Scroll_01
24,2,6,6,910252,1,Icon_Box_Adena_03
24,2,7,6,911056,1,Icon_GachaItem_WeaponR
24,0,1,6,911151,1,Icon_GachaItem_EquipmentSR
24,0,2,6,900011,3,Icon_Gacha_EnchantScroll
24,0,3,6,911022,1,Icon_GachaItem_TranscendenceBox
24,0,4,6,911013,2,Icon_Combine_Unidentifiy_Material02
24,0,5,6,911031,5,Icon_Box_CraftMaterial_01
24,0,6,6,400000,1,Icon_Asset_Protector_01
24,0,7,6,911070,1,Icon_Shop_Gacha_Weapon_01
24,1,1,6,911070,1,Icon_Shop_Gacha_Weapon_01
24,1,2,6,910252,2,Icon_Box_Adena_03
24,1,3,6,910219,3,Icon_Box_EquipLevelMaterial
24,1,4,6,910221,20,Icon_GachaItem_Transcendence
24,1,5,6,900011,3,Icon_Gacha_EnchantScroll
24,1,6,6,910252,2,Icon_Box_Adena_03
24,1,7,6,911153,1,Icon_GachaItem_ArmorSR
