Id,GroupId,ItemId,LimitAchievementId,DiscountPeriodStart,DiscountPeriodEnd,LimitQuantityCount,DiscountType,DiscountValue
3000001,2000002,2000002,,,,,3,
3000002,2000003,2000003,,,,,3,
3000003,2000004,2000004,,,,,3,
3000004,2000005,2000005,,,,,3,
3000005,2000006,2000006,,,,,3,
3000006,2000007,2000007,,,,,3,
3000007,2000008,2000008,,,,,3,
3000008,2000009,2000009,,,,,3,
3000009,2000003,2000003,,,,,3,
3000010,2000003,2000003,,,,,3,
3000011,2000003,2000003,,,,,3,
3000012,2000003,2000003,,,,,3,
3000013,2000003,2000003,,,,,3,
3000014,2000003,2000003,,,,,3,
3000015,2000003,2000003,,,,,3,
3000016,2000010,2000010,,,,,3,
3000017,2000011,2000011,,,,,3,
3900001,2010001,2010001,,,,,3,
