GroupId,SpecificLimitBreakCount,SpecificLimitBreakLevelType,SpecificLimitBreakRequireItemId,SpecificLimitBreakRequireItemCount,SpecificLimitBreakCommonItemId,SpecificLimitBreakCommonItemCount,SpecificLimitBreakAdenaCost,SpecificLimitBreakSuccessRate
71001,1,1,1300010,1,490086,1,21000,10000
71001,2,1,1300010,1,490086,1,22000,9000
71001,3,1,1300010,1,490086,1,23000,8000
71001,4,1,1300010,1,490086,1,24000,7000
71001,5,1,1300010,1,490086,1,26000,6000
71001,6,1,1300010,1,490086,1,27000,5000
71001,7,1,1300010,1,490086,1,28000,4000
71001,8,1,1300010,1,490086,1,30000,3000
71001,9,1,1300010,1,490086,1,31000,2000
71001,10,1,1300010,1,490086,1,33000,1000
71002,1,1,1300002,1,490086,1,22000,10000
71002,2,1,1300002,1,490086,1,24000,9000
71002,3,1,1300002,1,490086,1,27000,8000
71002,4,1,1300002,1,490086,1,29000,7000
71002,5,1,1300002,1,490086,1,32000,6000
71002,6,1,1300002,1,490086,1,35000,5000
71002,7,1,1300002,1,490086,1,39000,4000
71002,8,1,1300002,1,490086,1,43000,3000
71002,9,1,1300002,1,490086,1,47000,2000
71002,10,1,1300002,1,490086,1,52000,1000
71003,1,1,1300003,1,490086,1,22000,10000
71003,2,1,1300003,1,490086,1,24000,9000
71003,3,1,1300003,1,490086,1,27000,8000
71003,4,1,1300003,1,490086,1,29000,7000
71003,5,1,1300003,1,490086,1,32000,6000
71003,6,1,1300003,1,490086,1,35000,5000
71003,7,1,1300003,1,490086,1,39000,4000
71003,8,1,1300003,1,490086,1,43000,3000
71003,9,1,1300003,1,490086,1,47000,2000
71003,10,1,1300003,1,490086,1,52000,1000
71006,1,1,1300006,1,490086,1,24000,10000
71006,2,1,1300006,1,490086,1,29000,9000
71006,3,1,1300006,1,490086,1,35000,8000
71006,4,1,1300006,1,490086,1,41000,7000
71006,5,1,1300006,1,490086,1,50000,6000
71006,6,1,1300006,1,490086,1,60000,5000
71006,7,1,1300006,1,490086,1,72000,4000
71006,8,1,1300006,1,490086,1,86000,3000
71006,9,1,1300006,1,490086,1,103000,2000
71006,10,1,1300006,1,490086,1,124000,1000
71007,1,1,1300007,1,490086,1,24000,10000
71007,2,1,1300007,1,490086,1,29000,9000
71007,3,1,1300007,1,490086,1,35000,8000
71007,4,1,1300007,1,490086,1,41000,7000
71007,5,1,1300007,1,490086,1,50000,6000
71007,6,1,1300007,1,490086,1,60000,5000
71007,7,1,1300007,1,490086,1,72000,4000
71007,8,1,1300007,1,490086,1,86000,3000
71007,9,1,1300007,1,490086,1,103000,2000
71007,10,1,1300007,1,490086,1,124000,1000
71008,1,1,1300008,1,490086,1,24000,10000
71008,2,1,1300008,1,490086,1,29000,9000
71008,3,1,1300008,1,490086,1,35000,8000
71008,4,1,1300008,1,490086,1,41000,7000
71008,5,1,1300008,1,490086,1,50000,6000
71008,6,1,1300008,1,490086,1,60000,5000
71008,7,1,1300008,1,490086,1,72000,4000
71008,8,1,1300008,1,490086,1,86000,3000
