Id,GroupId,Name,Description,Tire,Type,Grade,MaxLevel,LevelMatchGroupId,MaxCastDistance,PrevSkillId,FireCount,LightningEffectInfoId,MpMin,MpMax,MpGrowth,CastingTime,CoolTimeMin,CollisionUnitType,CollisionUnitParam,TargetType,MaxTargetCount,OffsetDistance,EffectFireConditionType,SkillDamageRatio,Animation,Rotatable,WeaponDependent,CameraShake,CameraShakeIntensity,CameraShakeObject,EffectDescription,Texture,HitFX,HitSocket,DirAlign,DirAlignRange,AddForceOnKill,Sound,BasicAttack,DetailType,ShowSkillArea,DashStart,AvailableUnderCC,SkillDialogue,SkillDialogGroupId,GroupRandomFireRate
1,1,하기오스 테스트,테스트용,,0,3,,,5000,,1,,,,,,6,5,"""left"":400, ""right"":400, ""front"":2000, ""back"":0",1,5,,0,10000,CrumaCoreBoss_Skill01,0,,,,,,,,,1,50,0,,0,0,1,0,0,,,10000
2,2,2차 전직 : Q2005601 일반 - 폭탄 터짐,반경 20미터 범위에 그라운드 오브젝트 8개 소환,,0,3,,,5000,,1,,,,,,4,0,"""radius"":250",1,5,,0,10000,,0,,,,,,,,,1,1,0,,0,0,1,0,0,,,10000
3,3,2차 전직 : Q2005601 일반 - 돌 낙하,반경 20미터 범위에 그라운드 오브젝트 5개 소환,,0,3,,,5000,,1,,,,,,8,0,"""radius"":250",1,5,,0,10000,,0,,,,,,,,,1,1,0,,0,0,1,0,0,,,10000
4,4,2차 전직 : Q2005604 보스 - 퀸 스네이크 : 강한 피해,강한 피해 및 디버프 부여,,0,3,,,300,,1,,,,,,12,1,"""radius"":800,""angle"":90",1,5,,0,20000,CaveMaidenBossSkill_01,0,,,,,,,,,1,1,0,,0,0,1,0,0,,,10000
5,5,,즉시 사망,,0,3,,,5000,,1,,,,,,1,0,"""radius"":250",5,5,,0,20000,,0,,,,,,,,,1,1,0,,0,0,0,0,0,,,10000
6,6,,즉시 숨기,,0,3,,,5000,,1,,,,,,1,0,"""radius"":250",5,5,,0,20000,,0,,,,,,,,,1,1,0,,0,0,0,0,0,,,10000
7,7,피격 횟수 보호막,대미지 1 / 피격 횟수에 따라 차감,,0,3,,,5000,,1,,,,,,1,0,"""radius"":5000",5,1,,0,10000,,0,,,,,,,,,0,50,0,,0,2,0,0,0,,,10000
8,8,대미지 보호막,대미지 일정량 감소에 따라 제거,,0,3,,,5000,,1,,,,,,1,0,"""radius"":5000",5,1,,0,10000,,0,,,,,,,,,0,50,0,,0,2,0,0,0,,,10000
9,9,그대 가슴에 하트 20발,직선 범위로 프로젝타일 20개 발사,,0,3,,,5000,,20,,,,,,2.5,2,"""left"":100, ""right"":100, ""front"":1000, ""back"":100",1,10,0,0,13660,FireStatue_01Skill2,0,,,,,,,,,0,50,0,,0,0,1,0,0,,,10000
1101,1101,휴먼 검 콤보 1,검과 방패를 이용한 기본 공격입니다,-1,0,3,,,200,,1,,0,0,1,0,1,1,"""radius"":250,""angle"":120",1,3,0,0,6720,Attack_Sword_A,0,000001,Shake_UpAndDown,1,Caster,,,,,1,2,0,,1,0,0,1,0,,,10000
