Id,Name,DelayTime,Duration,PeriodCount,CollisionUnitType,CollisionUnitParam,AutoIncreaseCollisionArea,Resource,DirAlign,Hide,HideTime,EffectRepeatAble
4653,2차 전직 Q2005601 : 폭탄 폭발,2000,1000,1,0,"""radius"": 300",,BP/BP_PTC_KetraOrcWarriorSkill_02,1,0,,0
4654,2차 전직 Q2005601 : 크루마탑 붕괴 돌 낙하,2000,5000,4,0,"""radius"": 400",,BP/BP_PTC_SkillDivineClap,1,0,,0
11222,썬더 스톰,0,600,4,0,"""radius"": 400",,,1,0,,0
11242,애로우 레인,1350,3000,4,0,"""radius"": 600",,BP/BP_PTC_SkillArrowrain,1,0,,0
11245,라이트닝 애로우,0,4500,4,0,"""radius"": 350",,BP/BP_PTC_SkillLightingArrow,1,0,,0
11251,볼케이노,0,800,5,0,"""radius"": 300",,BP/BP_PTC_Skillvolcano,1,0,,0
112541,프로미넌스,50,3450,1,0,"""radius"": 400",,BP/BP_PTC_SkillProminence,1,0,,0
112542,프로미넌스,3500,50,1,0,"""radius"": 400",,,1,0,,0
112544,프로미넌스,1000,2500,1,0,"""radius"": 400",,,1,0,,0
112545,프로미넌스,2000,1500,1,0,"""radius"": 400",,,1,0,,0
11261,디바인 퍼니쉬먼트,1010,100,0,0,"""radius"": 450",,,1,0,,0
12212,에바스 그레이스,600,5000,6,0,"""radius"": 300",,BP/BP_PTC_SkillEvasGrace,1,0,,0
12214,에바스 윌,801,15000,15,0,"""radius"": 800",,BP/BP_PTC_SkillEvasWill,1,0,,0
12251,아이스 스피어,0,100,1,0,"""radius"": 300",,BP/BP_PTC_SkillIceSpear,1,0,,0
12253,스타폴,750,300,1,0,"""radius"": 200",,BP/BP_PTC_SkillStarFall,0,0,,0
12261,홀리 파이어,0,800,2,0,"""radius"": 350",,BP/BP_PTC_SkillHollyFire,1,0,,0
12265,리저렉션,1501,1000,1,0,"""radius"": 700",,BP/BP_PTC_SkillResurrection,1,0,,0
13252,커럽션,0,4000,4,0,"""radius"": 400",,BP/BP_PTC_SkillCorruption,1,0,,0
14224,인피니티 퀘이크,800,7000,7,0,"""radius"": 500",,BP/BP_PTC_SkillInfinitiQuake,1,0,,1
14234,코인 오브 마프르,1500,1100,1,0,"""radius"": 600",,,1,0,,0
14235,코인 오브 마프르(뒷면),1500,1100,1,0,"""radius"": 600",,,1,0,,0
14236,코인 오브 마프르(히든),1500,1100,1,0,"""radius"": 600",,,1,0,,0
14243,부비 트랩,50,15001,75,0,"""radius"": 180",,BP/BP_PTC_SkillBoobyTrap,0,1,15501,1
14254,디스토션,1000,550,1,0,"""radius"": 350",,BP/BP_PTC_SkillDistortion,1,0,,0
14262,디바인 크랩,800,4000,4,0,"""radius"": 400",,BP/BP_PTC_SkillDivineClap,1,0,,0
14264,힐링 토템,1000,10000,10,0,"""radius"": 700",,,1,0,,0
30005,라이트닝 필드,500,500,4,0,"""radius"": 300",,BP/BP_PTC_SkillLighteningField,1,0,,0
30007,포이즌 스웜,500,4000,4,0,"""radius"": 300",,BP/BP_PTC_SkillPoisonSwamp,1,0,,0
30012,메테오 스톰,750,500,1,0,"""radius"": 300",,BP/BP_PTC_SkillMeteorStorm,1,0,,0
58176,고룡산맥 시반 보스전 폭발 스킬,2000,1,1,0,"""radius"": 300",,BP/BP_PTC_DwarfMDoctorSkill_01,1,0,,0
60096,파이어 브레스,2400,6000,11,2,"left:100, ""right"":100, ""front"":800, ""back"":0",,,1,0,,0
60097,말섬 보레아스,2450,4000,1,0,"""radius"": 200",,BP/BP_PTC_BoreasBossSkill_02,1,0,,0
60100,다크 싸이드 스핀,1940,1500,7,0,"""radius"": 300",,,1,0,,0
60115,골든 파이어 브레스,2950,6147,10,0,"""radius"": 600",,,1,0,,0
60159,엠브리온 장판기,1000,4000,3,0,"""radius"": 300",,BP/BP_PTC_EmbryonSkill_01,1,0,,0
60162,골든 파이어 브레스(지옥),2950,6147,10,0,"""radius"": 600",,,1,0,,0
