Id,Type,Count,RewardGroupInfoId
1,0,2000,10301
1,0,5000,10302
1,0,10000,10303
1,0,30000,10304
1,0,50000,10305
11,1,300,11101
11,1,700,11102
11,1,1500,11103
11,1,3000,11104
11,1,5900,11105
11,1,9600,11106
21,2,500,12101
21,2,1000,12102
21,2,3000,12103
21,2,5000,12104
21,2,10000,12105
21,2,30000,12106
21,2,50000,12107
21,2,100000,12108
21,2,200000,12109
21,2,300000,12110
21,2,400000,12111
21,2,500000,12112
31,3,40,13101
31,3,110,13102
31,3,300,13103
31,3,590,13104
31,3,1500,13105
31,3,3000,13106
31,3,5000,13107
31,3,7500,13108
31,3,11000,13109
31,3,17500,13110
101,0,1000,10101
101,0,2000,10102
101,0,4000,10103
101,0,12000,10104
101,0,20000,10105
102,0,1000,10201
102,0,2000,10202
102,0,4000,10203
102,0,12000,10204
102,0,20000,10205
103,0,1000,10206
103,0,2000,10206
103,0,4000,10207
103,0,12000,10208
103,0,20000,10208
104,0,1000,10209
104,0,2000,10209
104,0,4000,10210
104,0,12000,10211
104,0,20000,10212
