Key,Value,WarningSoundPlay
ACCOUNT_CONFINE,계정이 차단되었습니다,1
ACHIEVEMENT,업적,0
ACHIEVEMENT_CLEAR_ASSETS,자원 업적 달성!,0
ACHIEVEMENT_CLEAR_BATTLE,전투 업적 달성!,0
ACHIEVEMENT_CLEAR_DAILY,일일 업적 달성!,0
ACHIEVEMENT_CLEAR_GROWTH,성장 업적 달성!,0
ACHIEVEMENT_CLEAR_ITEM,장비 수집 완료!,0
ACHIEVEMENT_CLEAR_MONTHLY,월간 업적 달성!,0
ACHIEVEMENT_CLEAR_SOCIAL,소셜 업적 달성!,0
ACHIEVEMENT_CLEAR_WEEKLY,주간 업적 달성!,0
ACHIEVEMENT_LEVELREWARD_ERROR,이미 업적 레벨 보급품을 받았습니다.,0
ACHIEVEMENT_POINT,업적 점수,0
EQUIPMENTACHIEVEMENT,장비 수집,0
EQUIPMENTACHIEVEMENT_COMPLETE,"보상을 획득했습니다. 
캐릭터에 능력이 적용됩니다.",0
EQUIPMENTACHIEVEMENT_COMBATPOWER_AMOUNT,장비 수집 누적 효과,0
ADENA_LOOTED,[Adena] 아데나를 획득하였습니다.,0
SIEGE_FESTIVAL_TICKET_LOOTED,공성전 축제 티켓 [Value]개를 획득하였습니다.,0
ADENA_NOT_ENOUGH,아데나가 부족합니다.,1
AHIEVEMENT_HEROIC_WAY,영웅의길,0
APP_VERSION_UNDER_MIN,최소버전보다 낮은 버전을 사용하고 있습니다.,1
APP_VERSION_UNDER_LATEST,"최신 버전이 있습니다.
다운로드 하시겠습니까?",0
ARMOR_TYPE_HEAVY,중갑,0
ARMOR_TYPE_LIGHT,경갑,0
ARMOR_TYPE_ROBE,로브,0
ASSETS_ACQUIRE_FROM_GUILD_GREETING,[MemberCount]명의 혈맹원에게 인사하여 <FontYellow>[AssetCount] 혈맹 주화</>를 획득하였습니다.,0
ASSETS_ACQUIRE_FROM_RECEIVE_GUILD_GREET,[MemberCount]명의 혈맹원에게 인사를 받아 <FontYellow>[AssetCount] 아데나</>를 획득하였습니다.,0
ATTENDANCE_NO_MORE_REWARD,더 이상 받을 수 있는 보상이 없습니다.,0
ATTENDANCE_REWARD_SENT_TO_MAILBOX,[Param1]일차 보상이 편지함으로 발송되었습니다.,0
AUCTION_COST,비용,0
AUCTION_ESTIMATED_TIME,등록예정 [Time],0
AUCTION_GROUP_ACCESSORY,장신구,0
AUCTION_GROUP_ARMOR,방어구,0
AUCTION_GROUP_ELIXIR,엘릭서/물약재료,0
AUCTION_GROUP_ENCHANT,강화재료,0
AUCTION_GROUP_EquipmentCraft,제작 재료,0
AUCTION_GROUP_ETC,기타,0
AUCTION_GROUP_MONSTERCORE,몬스터 코어,0
AUCTION_GROUP_SKILLBOOK,스킬북/페이지,0
AUCTION_GROUP_SOULSTONE,집혼석,0
AUCTION_GROUP_USEITEM,소모품,0
AUCTION_GROUP_WEAPON,무기,0
AUCTION_GROUP_PET,탑승펫,0
AUCTION_HOUSE,거래소,0
AUCTION_HOUSE_CATEGORY,범주,0
AUCTION_HOUSE_EQ_ITEM_SELL,"[Name]{[Name]|를,을} [Cost]다이아에
등록하시겠습니까?",0
AUCTION_HOUSE_FAVORITE_SELLCANCEL,판매 취소,0
AUCTION_HOUSE_FAVORITE_SELLCOMPLETE,판매 완료,0
AUCTION_HOUSE_FAVORITE_SELLFAILED,만료,0
AUCTION_HOUSE_FAVORITE_SELLING,등록 중,0
AUCTION_HOUSE_FAVORITE_WAITING,등록 대기,0
AUCTION_HOUSE_GRADE,등급,0
AUCTION_HOUSE_GRADE_C,C,0
AUCTION_HOUSE_GRADE_A,A,0
AUCTION_HOUSE_GRADE_B,B,0
AUCTION_HOUSE_GRADE_R,R,0
AUCTION_HOUSE_GRADE_S,S,0
AUCTION_HOUSE_GRADE_SR,SR,0
AUCTION_HOUSE_ITEM_BUY,"[Name]{[Name]|를,을} [Cost]다이아에
구매하시겠습니까?",0
AUCTION_HOUSE_ITEM_FAVORITE,즐겨찾기 등록 하시겠습니까?,0
AUCTION_HOUSE_ITEM_FAVORITE_CANCEL,즐겨찾기 등록을 취소하시겠습니까?,0
AUCTION_HOUSE_ITEM_SELL,"[Name]{[Name]|를,을} [Cost]다이아에
등록하시겠습니까?",0
AUCTION_HOUSE_LOG_GAIN,획득,0
AUCTION_HOUSE_LOG_SPEND,소비,0
AUCTION_HOUSE_LOG_STATE_BUY_COMPLETED,구매 완료,0
AUCTION_HOUSE_LOG_STATE_CANCEL_SELL,판매 취소,0
AUCTION_HOUSE_LOG_STATE_SELL_PARTIAL,부분 판매,0
AUCTION_HOUSE_LOG_STATE_SELL_COMPLETED,판매 완료,0
AUCTION_HOUSE_LOG_STATE_SELL_FAILED,판매 실패,1
AUCTION_HOUSE_LOG_STATE_SELLING,판매 중,0
AUCTION_HOUSE_LOG_STATE_TIMEOVER,시간 만료,0
AUCTION_HOUSE_LOG_STATE_WAITING_REGISTER,등록 대기중,0
AUCTION_HOUSE_MAX_PRICE,최대 가격,0
AUCTION_HOUSE_RESULT_GET,"판매 완료 목록들을 정리하였습니다.
판매 대금은 즉시 획득하며,
판매 유찰 물품은 편지함으로 이동합니다.
<FontRed> 수수료 10% 및 영지 세금이 제외된 후 지급됩니다.</>",0
AUCTION_HOUSE_RESULT_GET_ALL,"모든 판매 물품의 대금을 획득했습니다.
(판매 유찰된 물품은 편지함으로 보내집니다)
<FontRed> 수수료 10% 및 영지 세금이 제외된 후 지급됩니다.</>",0
AUCTION_HOUSE_SALES_TYPE,판매 상태,0
AUCTION_HOUSE_SELECT_CATEGORY,범주를 선택하세요,0
AUCTION_HOUSE_SELECT_GRADE,등급을 선택하세요,0
AUCTION_HOUSE_SELECT_SORT,정렬 방식을 선택하세요,0
AUCTION_HOUSE_SELECT_TYPE,종류를 선택하세요,0
AUCTION_HOUSE_SORT,정렬,0
AUCTION_HOUSE_SORT_CLOSING_DATE,종료 일자,0
AUCTION_HOUSE_SORT_HIGH_PRICE,높은 가격,0
AUCTION_HOUSE_SORT_LATELY_DATE,최근 날짜,0
AUCTION_HOUSE_SORT_LOW_PRICE,낮은 가격,0
AUCTION_HOUSE_TYPE,종류,0
AUCTION_HOUSE_TYPE_ACCESSORY_ALL,장신구 전체,0
AUCTION_HOUSE_TYPE_ACCESSORY_ENCHANT_SCROLL,장신구 강화주문서,0
AUCTION_HOUSE_TYPE_ACCESSORY_UPGRADE_STONE,장신구 승급석,0
