Id,RequiredId,AchievementGroupId,Level,Name,Desc,EventAchievementTypeId,TaskCount,RewardType1,RewardInfold1,RewardCount1,RewardType2,RewardInfold2,RewardCount2,AchievementIcon
1,,1,1일차,소환석 던전 클리어,1일차 소환석 던전을 클리어 하세요.,1,1,6,911008,1,0,,,Icon_Event_Achievement_01
2,1,1,2일차,소환석 던전 클리어,2일차 소환석 던전을 클리어 하세요.,1,2,6,911008,1,0,,,Icon_Event_Achievement_01
3,2,1,3일차,소환석 던전 클리어,3일차 소환석 던전을 클리어 하세요.,1,3,6,911008,1,0,,,Icon_Event_Achievement_01
4,3,1,4일차,소환석 던전 클리어,4일차 소환석 던전을 클리어 하세요.,1,4,6,911008,1,0,,,Icon_Event_Achievement_01
5,4,1,5일차,소환석 던전 클리어,5일차 소환석 던전을 클리어 하세요.,1,5,6,911008,1,0,,,Icon_Event_Achievement_01
6,5,1,6일차,소환석 던전 클리어,6일차 소환석 던전을 클리어 하세요.,1,6,6,470007,1,0,,,Icon_Event_Achievement_01
7,6,1,7일차,소환석 던전 클리어,7일차 소환석 던전을 클리어 하세요.,1,7,6,490087,1,0,,,Icon_Event_Achievement_01
11,,2,1일차,시공의 균열 클리어,"1일차 시공의 균열을 클리어 하세요.
(무료 입장은 카운트되지 않습니다.)",2,1,6,1306001,1,0,,,Icon_Event_Achievement_02
12,11,2,2일차,시공의 균열 클리어,"2일차 시공의 균열을 클리어 하세요.
(무료 입장은 카운트되지 않습니다.)",2,2,6,1306001,1,0,,,Icon_Event_Achievement_02
13,12,2,3일차,시공의 균열 클리어,"3일차 시공의 균열을 클리어 하세요.
(무료 입장은 카운트되지 않습니다.)",2,3,6,1306001,1,0,,,Icon_Event_Achievement_02
14,13,2,4일차,시공의 균열 클리어,"4일차 시공의 균열을 클리어 하세요.
(무료 입장은 카운트되지 않습니다.)",2,4,6,1306001,1,0,,,Icon_Event_Achievement_02
15,14,2,5일차,시공의 균열 클리어,"5일차 시공의 균열을 클리어 하세요.
(무료 입장은 카운트되지 않습니다.)",2,5,6,1306001,1,0,,,Icon_Event_Achievement_02
16,15,2,6일차,시공의 균열 클리어,"6일차 시공의 균열을 클리어 하세요.
(무료 입장은 카운트되지 않습니다.)",2,6,6,1306001,1,0,,,Icon_Event_Achievement_02
17,16,2,7일차,시공의 균열 클리어,"7일차 시공의 균열을 클리어 하세요.
(무료 입장은 카운트되지 않습니다.)",2,7,6,490086,1,0,,,Icon_Event_Achievement_02
21,,3,1단계,용의 심장 사원 탐방,용의 심장 사원을 1회 클리어 하세요.,3,1,6,1301006,30,0,,,Icon_Event_Achievement_03
22,21,3,2단계,용의 심장 사원 탐방,용의 심장 사원을 2회 클리어 하세요.,3,2,6,1301006,35,0,,,Icon_Event_Achievement_03
23,22,3,3단계,용의 심장 사원 탐방,용의 심장 사원을 3회 클리어 하세요.,3,3,6,1301006,40,0,,,Icon_Event_Achievement_03
24,23,3,4단계,용의 심장 사원 탐방,용의 심장 사원을 4회 클리어 하세요.,3,4,6,1301006,45,0,,,Icon_Event_Achievement_03
25,24,3,5단계,용의 심장 사원 탐방,용의 심장 사원을 5회 클리어 하세요.,3,5,6,1301006,50,0,,,Icon_Event_Achievement_03
26,25,3,6단계,용의 심장 사원 탐방,용의 심장 사원을 6회 클리어 하세요.,3,6,6,1301006,50,0,,,Icon_Event_Achievement_03
27,26,3,7단계,용의 심장 사원 탐방,용의 심장 사원을 7회 클리어 하세요.,3,7,1,,8888,0,,,Icon_Event_Achievement_03
31,,4,,드래곤 슬레이어,용의 심장 사원 매우 어려움 난이도를 1회 클리어 하세요.,4,1,1,,8888,6,490022,1,Icon_Event_Achievement_04
