Id,Type,GroupId,SwapPrint,SideType,ItemInfoId,LimitPeriod,LimitCount,ResultName,Param1,Param2,Param3,ItemCount,CostType,CostValue,EventId,MainType,UseConditionType,UseConditionParam,EventItemPeriodId
1,0,1,0,2,451001,0,,,,,,1,25,,,18,2,,
2,0,1,0,1,450001,0,,,,,,1,25,,,18,2,,
3,0,1,0,1,450002,0,,,,,,1,25,,,18,2,,
4,0,1,0,1,450003,0,,,,,,1,25,,,18,2,,
5,0,1,0,1,450004,0,,,,,,1,25,,,18,2,,
6,0,1,0,1,452001,0,,,,,,1,25,,,18,2,,
7,0,1,0,0,,0,,,,,,,0,1600,,18,2,,
8,0,2,0,2,451002,0,,,,,,1,25,,,18,2,,
9,0,2,0,1,450001,0,,,,,,1,25,,,18,2,,
10,0,2,0,1,450002,0,,,,,,1,25,,,18,2,,
11,0,2,0,1,450003,0,,,,,,1,25,,,18,2,,
12,0,2,0,1,450004,0,,,,,,1,25,,,18,2,,
13,0,2,0,1,452002,0,,,,,,1,25,,,18,2,,
14,0,2,0,0,,0,,,,,,,0,1600,,18,2,,
15,0,3,0,2,451003,0,,,,,,1,25,,,18,2,,
16,0,3,0,1,450001,0,,,,,,1,25,,,18,2,,
17,0,3,0,1,450002,0,,,,,,1,25,,,18,2,,
18,0,3,0,1,450003,0,,,,,,1,25,,,18,2,,
19,0,3,0,1,450004,0,,,,,,1,25,,,18,2,,
20,0,3,0,1,452003,0,,,,,,1,25,,,18,2,,
21,0,3,0,0,,0,,,,,,,0,1600,,18,2,,
22,0,4,0,2,451004,0,,,,,,1,25,,,18,2,,
23,0,4,0,1,450001,0,,,,,,1,25,,,18,2,,
24,0,4,0,1,450002,0,,,,,,1,25,,,18,2,,
25,0,4,0,1,450003,0,,,,,,1,25,,,18,2,,
26,0,4,0,1,450004,0,,,,,,1,25,,,18,2,,
27,0,4,0,1,452004,0,,,,,,1,25,,,18,2,,
28,0,4,0,0,,0,,,,,,,0,1600,,18,2,,
29,0,5,0,2,451005,0,,,,,,1,25,,,18,2,,
