Id,GroupId,Effect,ItemInfoId1,MinCount1,MaxCount1,ItemInfoId2,MinCount2,MaxCount2,ItemInfoId3,MinCount3,MaxCount3,ItemInfoId4,MinCount4,MaxCount4,ItemInfoId5,MinCount5,MaxCount5
1,110013,0,510104,150,150,711101,2,2,,,,,,,,,
2,110023,0,510104,150,150,711101,2,2,,,,,,,,,
3,110033,0,510104,150,150,711101,2,2,,,,,,,,,
4,110043,0,510104,225,225,711101,2,2,711102,2,2,,,,,,
5,110053,0,510104,150,150,711101,2,2,,,,,,,,,
6,110063,0,510104,225,225,711101,2,2,711102,2,2,,,,,,
7,120013,0,510104,150,150,711101,2,2,,,,,,,,,
8,120023,0,510104,150,150,711101,2,2,,,,,,,,,
9,120033,0,510104,150,150,711101,2,2,,,,,,,,,
10,120043,0,510104,225,225,711101,2,2,711102,2,2,,,,,,
11,120053,0,510104,150,150,711101,2,2,,,,,,,,,
12,120063,0,510104,225,225,711101,2,2,711102,2,2,,,,,,
13,130013,0,510104,150,150,711101,2,2,,,,,,,,,
14,130023,0,510104,150,150,711101,2,2,,,,,,,,,
15,130033,0,510104,150,150,711101,2,2,,,,,,,,,
16,130043,0,510104,225,225,711101,2,2,711102,2,2,,,,,,
17,130053,0,510104,150,150,711101,2,2,,,,,,,,,
18,130063,0,510104,225,225,711101,2,2,711102,2,2,,,,,,
19,140013,0,510104,150,150,712101,2,2,,,,,,,,,
20,140023,0,510104,150,150,712101,2,2,,,,,,,,,
21,140033,0,510104,150,150,712101,2,2,,,,,,,,,
22,140043,0,510104,225,225,712101,2,2,712102,2,2,,,,,,
23,140053,0,510104,150,150,712101,2,2,,,,,,,,,
24,140063,0,510104,225,225,712101,2,2,712102,2,2,,,,,,
25,150013,0,510104,150,150,712101,2,2,,,,,,,,,
26,150023,0,510104,150,150,712101,2,2,,,,,,,,,
27,150033,0,510104,150,150,712101,2,2,,,,,,,,,
28,150043,0,510104,225,225,712101,2,2,712102,2,2,,,,,,
29,150053,0,510104,150,150,712101,2,2,,,,,,,,,
30,150063,0,510104,225,225,712101,2,2,712102,2,2,,,,,,
31,160013,0,510104,150,150,713101,2,2,,,,,,,,,
32,160023,0,510104,150,150,713101,2,2,,,,,,,,,
33,160033,0,510104,150,150,713101,2,2,,,,,,,,,
34,160043,0,510104,225,225,713101,2,2,713102,2,2,,,,,,
35,160053,0,510104,150,150,713101,2,2,,,,,,,,,
36,160063,0,510104,225,225,713101,2,2,713102,2,2,,,,,,
37,210013,0,510105,150,150,711201,2,2,,,,,,,,,
38,220013,0,510105,150,150,711201,2,2,,,,,,,,,
39,230013,0,510105,150,150,711201,2,2,,,,,,,,,
40,240013,0,510105,150,150,711201,2,2,,,,,,,,,
41,210023,0,510105,150,150,712201,2,2,,,,,,,,,
42,220023,0,510105,150,150,712201,2,2,,,,,,,,,
43,230023,0,510105,150,150,712201,2,2,,,,,,,,,
44,240023,0,510105,150,150,712201,2,2,,,,,,,,,
45,210033,0,510105,150,150,713201,2,2,,,,,,,,,
46,220033,0,510105,150,150,713201,2,2,,,,,,,,,
