GroundObjectId,Id,CollisionUnitType,CollisionUnitParam,EffectType,EffectTypeName,EffectParam,EffectGrowth1,EffectGrowth2
4653,46531,6,,17,,"0,0,25000,25000",1,1
4653,46532,6,,8,,1003,1,1
4654,46541,6,,17,,"0,0,15000,15000",1,1
4654,46542,6,,8,,1011,1,1
11222,112221,6,,16,,"1922,103744,17000,26900",1.6,1
11222,112222,6,,8,썬더 스톰:스턴,11222,,
11242,112421,6,,16,,"532,30940,4000,6900",1.6,1
11242,112422,6,,16,,"424,25705,3000,5900",1.6,1
11242,112423,6,,8,,11242,,
11242,112424,6,,8,,112424,1,1
11251,112511,6,,17,,"741,40041,5400,9500",1.6,1
112541,1125411,6,,8,,112541,1,1
112541,1125412,6,,17,,"87260,606221,26000,44200",1,1
112542,1125421,6,,17,,"174520,1212442,52000,88400",1,1
112542,1125422,6,,8,,1001,1,1
112544,1125441,6,,8,,112544,1,1
112545,1125451,6,,8,,112545,1,1
11261,112611,6,,17,,"2967,192200,15400,25300",1.6,1
11261,112612,6,,8,,11261,,
12212,122121,6,,16,,"637,38411,3600,8500",1.6,1
12212,122122,6,,16,,"637,38411,3600,8500",1.6,1
12212,122123,6,,8,,12212,,
12212,122124,6,,8,,1011,,
12212,122125,6,,8,,122125,,
12214,122141,6,,8,,12214,,
12251,122511,6,,17,,"0,0,0,0",1,1
12253,122531,6,,17,,"56096,433015,19500,33200",1,1
12253,122532,6,,8,,122531,1,1
12261,122611,6,,17,,"494,26694,4400,14300",1.6,1
13252,132521,6,,17,,"604,32626,4400,12300",1.6,1
13252,132522,6,,8,커럽션:방어 감소,13252,,
14224,142241,6,,16,,"60770,344007,18000,30600",1,1
14224,142242,6,,8,짧은 스턴,14224,1,1
14234,142341,6,,16,,"132222,927879,50000,85000",1,1
14234,142342,6,,8,실명,14234,1,1
14235,142351,6,,8,중독,142351,1,1
14235,142352,6,,8,침묵,142352,1,1
14236,142361,6,,16,,"132222,927879,50000,85000",1,1
14236,142362,6,,8,실명,14234,1,1
14236,142363,6,,8,중독,142351,1,1
14236,142364,6,,8,침묵,142352,1,1
14243,142431,6,,16,,"104897,809737,42000,71400",1,1
14243,142432,6,,8,기절,1012,1,
14254,142541,6,,17,,"79562,747540,26000,47500",1,1
14254,142542,6,,8,이속감소25%,142542,1,1
14254,142543,6,,8,이속감소25%,142543,1,1
14254,142544,6,,8,이속감소25%,142544,1,1
14254,142545,6,,8,이속감소25%,142545,1,1
14262,142621,6,,17,,"500,21571,3000,12900",1.6,1
14262,142622,6,,8,디바인 크랩:스턴,14262,,
14262,142623,6,,17,,"400,17976,2000,11900",1.6,1
14264,142641,6,,45,,"7776,64923,200,1000",1,1
14264,142642,6,,8,,14264,,
30005,300051,6,,17,,"0,0,30000,60000",1,1
30007,300071,6,,16,,"0,0,40000,400000",1,1
30012,300121,6,,16,,"0,0,15000,42500",1,1
30012,300122,6,,17,,"0,0,15000,42500",1,1
30012,300123,6,,8,화염 도트,30004,,
30012,300124,6,,8,넉다운,1001,,
58176,581761,6,,16,,"0,0,30000,30000",,
60096,600961,6,,17,,"0,0,9200,9200",1,1
60097,600971,6,,17,,"0,0,36800,36800",1,1
60100,601001,6,,16,,"0,0,7600,7600",1,1
60115,601151,6,,17,,"0,0,7300,7300",1,1
60159,601591,6,,17,,"0,0,15000,15000",,
60162,601621,6,,17,,"0,0,7300,7300",1,1
60162,601622,6,,8,,601622,1,1
71032,710321,6,,16,,"0,0,7600,7600",1,1
71072,710721,6,,17,,"0,0,9200,9200",1,1
71073,710731,6,,17,,"0,0,36800,36800",1,1
71073,710732,6,,8,넉다운,1001,,
71472,714721,6,,17,,"0,0,15000,15000",1,1
71580,715801,6,,16,,"0,0,40000,40000",,
71580,715802,6,,8,,71580,,
73012,730121,6,,17,,"0,0,15000,15000",,
73012,730122,6,,16,,"0,0,35000,35000",1,1
73012,730123,6,,16,,"0,0,15000,15000",1,1
73012,730124,6,,8,,122614,,
73032,730321,6,,16,,"0,0,12000,12000",1,1
73032,730322,6,,16,,"0,0,9000,9000",1,1
74031,740311,6,,17,,"0,0,33000,33000",1,1
74032,740321,6,,8,,74032,,
74051,740511,6,,8,,74051,,
74062,740621,6,,16,,"0,0,45000,45000",1,1
74062,740622,6,,8,,74062,,
74071,740711,6,,17,,"0,0,35000,35000",1,1
74132,741321,6,,16,,"0,0,12000,13000",1,1
1504021,15040211,6,,17,,"0,0,20000,20000",,
720231,7202311,6,,16,,"0,0,40000,40000",,
720231,7202312,6,,8,,720232,,
720231,7202313,6,,8,,720233,,
720231,7202314,6,,8,,720234,,
1720231,17202311,6,,16,,"0,0,40000,40000",,
1720231,17202312,6,,8,,1720232,,
1720231,17202313,6,,8,,1720233,,
1720231,17202314,6,,8,,1720234,,
7204311,7204311,6,,84,,,,
7204321,7204321,6,,84,,,,
7204331,7204331,6,,84,,,,
601252,6012521,6,,17,,"0,0,6000,6000",,
601451,6014511,6,,17,,"0,0,7500,7500",,
741352,7413521,6,,16,,"0,0,8500,8500",,
741352,7413522,6,,8,,741352,,
8010441,8010441,6,,19,,5000,,
805000,8050001,6,,16,,"0,0,10000,10000",1,1
805000,8050002,6,,17,,"0,0,10000,10000",1,1
805001,8050011,6,,16,,"0,0,10000,10000",1,1
805001,8050012,6,,17,,"0,0,10000,10000",1,1
805002,8050021,6,,16,,"0,0,10000,10000",1,1
805002,8050022,6,,17,,"0,0,10000,10000",1,1
805003,8050031,6,,16,,"0,0,10000,10000",1,1
805003,8050032,6,,17,,"0,0,10000,10000",1,1
60177,601771,6,,16,,"0,0,6000,6000",,
60177,601772,6,,8,,601771,,
72040,72040,6,,16,,"0,0,10000,10000",,
1720223,17202231,6,,17,,"0,0,16000,16000",,
1720223,17202232,6,,8,,17200022,,
17203181,17203181,6,,16,,"0,0,30000,30000",,
411004,4110041,6,,17,,"0,0,5000,5000",,
412004,4120041,6,,17,,"0,0,5000,5000",,
413004,4130041,6,,17,,"0,0,5000,5000",,
413012,4130121,6,,19,,7000,,
413023,4130232,6,,17,,"0,0,25000,25000",,
413023,4130233,6,,8,,413018,,
414004,4140041,6,,17,,"0,0,5000,5000",,
414012,4140121,6,,19,,15000,,
414023,4140232,6,,17,,"0,0,25000,25000",,
414023,4140233,6,,8,,414018,,
30015,30015,6,,8,,300151,,
401023,4010231,6,,17,,"0,0,9000,9000",,
401008,4010081,6,,20,,"4000,4000,1",,
401008,4010082,6,,8,넉다운,1001,,
401016,4010161,6,,20,,"7000,7000,1",,
4011021,40110211,6,,17,,"0,0,9000,9000",,
401114,4011141,6,,17,,"0,0,9000,9000",,
2000001,2000001,6,,84,,,,
2000002,2000002,6,,84,,,,
2000003,2000003,6,,84,,,,
2000004,2000004,6,,84,,,,
2000005,2000005,6,,84,,,,
2000006,2000006,6,,84,,,,
2000007,2000007,6,,84,,,,
2000008,2000008,6,,84,,,,
730212,7302121,6,,16,,"0,0,20000,20000",,
731351,7313511,6,,16,,"0,0,50000,50000",,
731401,7314011,6,,16,,"0,0,10000,10000",,
1540031,15400311,6,,17,,"0,0,4000,4000",,
601651,6016511,6,,17,,"0,0,10000,10000",,
58182,581821,6,,16,,"0,0,7600,7600",1,1
415004,4150041,6,,17,,"0,0,5000,5000",,
415012,4150121,6,,19,,7000,,
415023,4150232,6,,17,,"0,0,25000,25000",,
415023,4150233,6,,8,,415018,,
40020101,400201011,6,,8,,40020101,,
40020109,400201091,6,,16,,"0,0,60000,60000",,
40020109,400201092,6,,8,,1001,,
40020111,400201111,6,,17,,"0,0,40000,40000",,
40020111,400201112,6,,8,,1001,,
40020126,400201261,6,,17,,"0,0,30000,30000",,
40020129,400201291,6,,17,,"0,0,100000,100000",,
40020155,400201551,6,,17,,"0,0,40000,40000",,
40020161,400201611,6,,17,,"0,0,150000,150000",,
40020162,400201621,6,,17,,"0,0,150000,150000",,
40020163,400201631,6,,17,,"0,0,150000,150000",,
40020164,400201641,6,,17,,"0,0,150000,150000",,
40020167,400201671,6,,8,,"40020167,40020124",,
40020131,400201311,6,,17,,"0,0,30000,30000",,
40020173,400201731,6,,16,,"0,0,45000,45000",,
40020201,400202011,6,,8,,40020201,,
40020209,400202091,6,,16,,"0,0,60000,60000",,
40020209,400202092,6,,8,,1001,,
40020211,400202111,6,,17,,"0,0,40000,40000",,
40020211,400202112,6,,8,,1001,,
40020226,400202261,6,,17,,"0,0,30000,30000",,
40020229,400202291,6,,17,,"0,0,100000,100000",,
40020255,400202551,6,,17,,"0,0,40000,40000",,
40020261,400202611,6,,17,,"0,0,150000,150000",,
40020262,400202621,6,,17,,"0,0,150000,150000",,
40020263,400202631,6,,17,,"0,0,150000,150000",,
40020264,400202641,6,,17,,"0,0,150000,150000",,
40020267,400202671,6,,8,,"40020267,40020224",,
40020231,400202311,6,,17,,"0,0,30000,30000",,
40020273,400202731,6,,16,,"0,0,45000,45000",,
40020301,400203011,6,,8,,40020301,,
40020309,400203091,6,,16,,"0,0,60000,60000",,
40020309,400203092,6,,8,,1001,,
40020311,400203111,6,,17,,"0,0,40000,40000",,
40020311,400203112,6,,8,,1001,,
40020326,400203261,6,,17,,"0,0,30000,30000",,
40020329,400203291,6,,17,,"0,0,100000,100000",,
40020355,400203551,6,,17,,"0,0,40000,40000",,
40020361,400203611,6,,17,,"0,0,300000,300000",,
40020362,400203621,6,,17,,"0,0,300000,300000",,
40020363,400203631,6,,17,,"0,0,300000,300000",,
40020364,400203641,6,,17,,"0,0,300000,300000",,
40020367,400203671,6,,8,,"40020367,40020324",,
40020331,400203311,6,,17,,"0,0,30000,30000",,
40020373,400203731,6,,16,,"0,0,45000,45000",,
40020401,400204011,6,,8,,40020401,,
40020409,400204091,6,,16,,"0,0,60000,60000",,
40020409,400204092,6,,8,,1001,,
40020411,400204111,6,,17,,"0,0,40000,40000",,
40020411,400204112,6,,8,,1001,,
40020426,400204261,6,,17,,"0,0,30000,30000",,
40020429,400204291,6,,17,,"0,0,50000,50000",,
40020455,400204551,6,,17,,"0,0,40000,40000",,
40020461,400204611,6,,17,,"0,0,300000,300000",,
40020462,400204621,6,,17,,"0,0,300000,300000",,
40020463,400204631,6,,17,,"0,0,300000,300000",,
40020464,400204641,6,,17,,"0,0,300000,300000",,
40020467,400204671,6,,8,,"40020467,40020424",,
40020431,400204311,6,,17,,"0,0,30000,30000",,
40020473,400204731,6,,16,,"0,0,45000,45000",,
24500502,245005021,6,,17,,"0,0,20000,20000",,
24500901,245009011,6,,17,,"0,0,26000,26000",,
24601904,246019041,6,,20,,"5000,5000,1",,
24601604,246016041,6,,17,,"0,0,30000,30000",,
245015071,2.45015e+09,6,,17,,"0,0,44000,44000",,
24501602,245016021,6,,16,,"0,0,21600,21600",,
24801002,248010021,6,,17,,"0,0,70000,70000",,
24801004,248010041,6,,17,,"0,0,48000,48000",,
990131,9901311,6,,16,,"0,0,1890,2040",,
990131,9901312,6,,17,,"0,0,1890,2040",,
990131,9901313,6,,8,,9901311,,
990132,9901321,6,,16,,"0,0,1930,2080",,
990132,9901322,6,,17,,"0,0,1930,2080",,
990132,9901323,6,,8,,9901311,,
990133,9901331,6,,16,,"0,0,1970,2120",,
990133,9901332,6,,17,,"0,0,1970,2120",,
990133,9901333,6,,8,,9901311,,
990134,9901341,6,,16,,"0,0,2010,2160",,
990134,9901342,6,,17,,"0,0,2010,2160",,
990134,9901343,6,,8,,9901311,,
